データセット_件名,データセット_公表組織名,データセット_連絡先,データセット_作成者,データセット_説明,データセット_作成頻度,リソース_リソース名,リソース_データ型,リソース_説明,リソース_URL
消費者白書_平成26年版,消費者調査課,消費者調査課,消費者白書_平成26年版,1年,消費者庁,（1）情報通信技術（ICT）関連市場の進展,HTML,（1）情報通信技術（ICT）関連市場の進展,http://www.caa.go.jp/information/hakusyo/2014/honbun_1_2_1_1.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,労働経済白書 平成13年版労働経済の分析 要約版,HTML,労働経済白書 平成13年版労働経済の分析 要約版,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,前書,HTML,前書,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/maegaki.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第1節 雇用・失業情勢,HTML,第１節 雇用・失業情勢,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/1-1.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第2節 賃金、労働時間の動向,HTML,第２節 賃金、労働時間の動向,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/1-2.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第3節 物価、勤労者家計の動向,HTML,第３節 物価、勤労者家計の動向,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/1-3.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第1節 情報通信技術革新の特徴,HTML,第１節 情報通信技術革新の特徴,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/2-1.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第2節 アメリカにおける情報通信技術革新と雇用,HTML,第２節 アメリカにおける情報通信技術革新と雇用,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/2-2.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第3節 情報通信技術革新の雇用量への影響,HTML,第３節 情報通信技術革新の雇用量への影響,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/2-3.html
平成13年版労働経済白書（労働経済の分析）,政策統括官付労働政策担当参事官室,政策統括官付労働政策担当参事官室,平成13年版労働経済白書は、「情報通信技術（IT）の革新と雇用」をテーマとして取り上げるとともに、前年の労働経済の動向や長期的な視点から捉えた労働経済問題の分析を掲載したものである。,1年,厚生労働省,第4節 情報通信技術革新による仕事の変化,HTML,第４節 情報通信技術革新による仕事の変化,http://www.mhlw.go.jp/wp/hakusyo/roudou/01/2-4.html
