投資事項ID,組織名,投資事項名,投資内訳_年（西暦）,投資内訳_費目,投資内訳_投資額
82,総務省,電子調達システムのシステム開発,2011,調査研究等経費,299999000
82,総務省,電子調達システムのシステム開発,2011,設計経費,209786000
82,総務省,電子調達システムのシステム開発,2011,プロジェクト管理支援経費,30156000
82,総務省,電子調達システムのシステム開発,2012,設計経費,267623000
82,総務省,電子調達システムのシステム開発,2012,開発経費,357386000
82,総務省,電子調達システムのシステム開発,2012,プロジェクト管理支援経費,67872000
82,総務省,電子調達システムのシステム開発,2012,施設設備等経費,1026000
82,総務省,電子調達システムのシステム開発,2013,設計経費,21926000
82,総務省,電子調達システムのシステム開発,2013,開発経費,9978000
82,総務省,電子調達システムのシステム開発,2013,テスト経費,305145000
82,総務省,電子調達システムのシステム開発,2013,移行経費,1793000
82,総務省,電子調達システムのシステム開発,2013,プロジェクト管理支援経費,67872000
82,総務省,電子調達システムのシステム開発,2014,設計経費,93945000
82,総務省,電子調達システムのシステム開発,2014,開発経費,46653000
82,総務省,電子調達システムのシステム開発,2014,テスト経費,97722000
82,総務省,電子調達システムのシステム開発,2014,移行経費,5400000
82,総務省,電子調達システムのシステム開発,2015,設計経費,93895000
82,総務省,電子調達システムのシステム開発,2015,開発経費,46709000
82,総務省,電子調達システムのシステム開発,2015,テスト経費,97707000
82,総務省,電子調達システムのシステム開発,2016,設計経費,93895000
82,総務省,電子調達システムのシステム開発,2016,開発経費,46709000
82,総務省,電子調達システムのシステム開発,2016,テスト経費,97707000
10073,総務省,電子調達システムの改修,2011,調査研究等経費,299999000
10073,総務省,電子調達システムの改修,2011,設計経費,209786000
10073,総務省,電子調達システムの改修,2011,プロジェクト管理支援経費,30156000
10073,総務省,電子調達システムの改修,2012,設計経費,267623000
10073,総務省,電子調達システムの改修,2012,開発経費,357386000
10073,総務省,電子調達システムの改修,2012,プロジェクト管理支援経費,67872000
10073,総務省,電子調達システムの改修,2012,施設設備等経費,1026000
10073,総務省,電子調達システムの改修,2013,設計経費,21926000
10073,総務省,電子調達システムの改修,2013,開発経費,9978000
10073,総務省,電子調達システムの改修,2013,テスト経費,305145000
10073,総務省,電子調達システムの改修,2013,移行経費,1793000
10073,総務省,電子調達システムの改修,2013,プロジェクト管理支援経費,67872000
10073,総務省,電子調達システムの改修,2014,設計経費,93945000
10073,総務省,電子調達システムの改修,2014,開発経費,46653000
10073,総務省,電子調達システムの改修,2014,テスト経費,97722000
10073,総務省,電子調達システムの改修,2014,移行経費,5400000
10073,総務省,電子調達システムの改修,2015,設計経費,72513000
10073,総務省,電子調達システムの改修,2015,開発経費,51538000
10073,総務省,電子調達システムの改修,2015,据付調整経費,1460000
10073,総務省,電子調達システムの改修,2015,テスト経費,59999000
10073,総務省,電子調達システムの改修,2016,設計経費,93895000
10073,総務省,電子調達システムの改修,2016,開発経費,46709000
10073,総務省,電子調達システムの改修,2016,テスト経費,97707000
10111,法務省,登記情報システムの整備,2012,設計経費,355263000
10111,法務省,登記情報システムの整備,2012,開発経費,196529000
10111,法務省,登記情報システムの整備,2012,据付調整経費,222866000
10111,法務省,登記情報システムの整備,2012,テスト経費,204087000
10111,法務省,登記情報システムの整備,2012,移行経費,15871000
10111,法務省,登記情報システムの整備,2012,廃棄経費,53000
10111,法務省,登記情報システムの整備,2012,施設設備等経費,47776000
