8,2014,内閣官房,12-01,情報提供ネットワークシステムの設計・開発,社会保障・税番号制度については、平成25年３月１日、「行政手続における特定の個人を識別するための番号の利用等に関する法律案」及び関係法律案が閣議決定の上、国会に提出され、同年５月24日に可決・成立した。社会保障・税番号制度の柱の一つとして、「情報連携」の仕組みの構築があり、今後は平成29年１月から国の機関間の連携開始、平成29年７月から地方公共団体等との連携開始に向けて、情報提供ネットワークシステムのシステム開発を進める。,継続,より公平・公正な社会保障や税制、また情報化社会の基盤となる番号制度の導入に伴い、複数の機関間の情報を相互に紐付け活用するための情報提供ネットワークシステムの設計及び調達を内閣官房において行うもの。,少子高齢化による労働力人口の減少や、負担と給付の公平性確保等の課題に対して、より公平・公正で国民にとって利便性の高い社会を実現するため、複数の機関において管理している同一人の情報を紐づけし、相互に活用する情報提供の仕組みを実現する。,2012,2016,8649978000,13054386000
9,2014,内閣官房,13-01,工程管理支援業務,社会保障・税番号制度については、平成25年３月１日、「行政手続における特定の個人を識別するための番号の利用等に関する法律案」及び関係法律案が閣議決定の上、国会に提出され、同年５月24日に可決・成立した。社会保障・税番号制度の柱の一つとして、「情報連携」の仕組みの構築があり、今後は平成29年１月から国の機関間の連携開始、平成29年７月から地方公共団体等との連携開始に向けて、情報提供ネットワークシステム及び情報提供等記録開示システムのシステム開発の工程管理業務を委託するもの。,継続,より公平・公正な社会保障や税制、また情報化社会の基盤となる番号制度の導入に伴い、複数の機関間の情報を相互に紐付け活用するための情報提供ネットワークシステム及び情報提供ネットワークシステムを通じた個人情報のやり取りを国民が確認できるほか、行政機関からのお知らせを受け取ったり、各種行政手続きを行うことが可能な情報提供等記録開示システムの設計に係る工程管理支援業務を内閣官房において行うもの。,情報連携基盤、マイ・ポータル及び特定個人情報保護委員会システムはソフトウエア、ハードウエア、運用など、複数に分割して調達することを想定しているが、個々の受託者の進捗状況を的確かつ画一的な視点で評価するためには品質管理及びプロジェクトマネジメントに関する高度な専門知識が必要であるほか、受託者間で発生する問題の原因は設計、製造、機器など多岐にわたる場合があり、これらの切り分け及び解決策の検討にはシステム開発全般に関する極めて高度な専門知識が不可欠であるため、これらを職員のみで行うことは極めて困難であることから、問題等の責任分界及び利害調整を発注者である職員が行うこととし、その判断に必要な評価及び助言を外部専門家に委託することとする。,2013,2016,462857000,1027143000
10,2014,内閣官房,13-02,情報保護評価書受付システムの設計・開発,特定個人情報を取扱う国の行政機関や地方公共団体から提出される「特定個人情報保護評価書」を受付・公表するためのシステムを委員会のホームページと併せて設計・開発することとしている。,継続,行政手続における特定の個人を識別するための番号の利用等に関する法律に基づき導入される社会保障・税番号制度は、国民ひとりひとりに番号を付番し、行政事務等において当該番号を利用することにより、例えば行政機関への給付申請時に必要であった書類の添付が不要になるなど、国民の利便性向上及び行政の効率化に資するものである。特定個人情報（個人番号を含む個人情報）は、その利用により個人のプライバシー等に影響を与えるおそれがあることから、その適切な取扱いを確保するために、国の行政機関や地方公共団体を監視・監督する特定個人情報保護委員会が新設されたところ。,特定個人情報保護委員会は、国の行政機関や地方公共団体等といった番号を利用する機関の監視・監督等を行うほか、各情報保有機関が特定個人情報を保有する前に実施することとされている特定個人情報保護評価（プライバシーに与える影響を事前評価する仕組み）に関する事務を所掌している。それら事務を効率的に実施するため、特定個人情報を取扱う国の行政機関や地方公共団体から提出される「特定個人情報保護評価書」をシステムにより受付・公表する。,2013,2014,64454000,223808000
12,2014,内閣官房,12-02,情報提供等記録開示システムの設計・開発,社会保障・税番号制度については、平成25年３月１日、「行政手続における特定の個人を識別するための番号の利用等に関する法律案」及び関係法律案が閣議決定の上、国会に提出され、同年５月24日に可決・成立した。社会保障・税番号制度の柱の一つとして、「情報連携」の仕組みの構築があり、今後は平成29年１月から国の機関間の連携開始、平成29年７月から地方公共団体等との連携開始に向けて、情報提供等記録開示システムのシステム開発を進める。,継続,より公平・公正な社会保障や税制、また情報化社会の基盤となる番号制度の導入に伴い、情報提供ネットワークシステムを通じた個人情報のやり取りを国民が確認できるほか、行政機関からのお知らせを受け取ったり、各種行政手続きを行うことが可能な情報提供等記録開示システムの設計及び調達を内閣官房において行うもの。,少子高齢化による労働力人口の減少や、負担と給付の公平性確保等の課題に対して、より公平・公正で国民にとって利便性の高い社会を実現するため、複数の機関において管理している同一人の情報を紐づけし、相互に活用する情報提供の仕組みが必要であり、IT化を通じ効率的かつ安全に情報提供を行える仕組みにより、国民生活を支える社会的基盤を構築し、ITを活用した国民の利便性の更なる向上を図る。,2012,2016,4159111000,5481750000
17,2014,人事院,03-01,人事・給与業務関係情報システムの改修等,最適化計画に基づき人事・給与関係業務情報システムを各府省で導入することにより、年間約12.6億円の経費削減が、また、年間約1050万時間の業務処理時間の短縮が見込まれる。平成26年度においては、SEABIS連携に係る改修等を実施すると共に、政府共通プラットフォームでの人事・給与関係業務情報システムの機器構築やデータ移行等を実施する。,継続,人事・給与等業務・システム最適化計画（平成16年2月27日・各府省情報化統括責任者（CIO）連絡会議決定、最終改定平成24年1月17日）に基づき、人事・給与等業務の共通化・効率化を図るとともに、システムの運用等に係る政府全体の経費の最小限化を行う。また同時に、安全性・信頼性の確保及び個人情報の保護を実現する。,現在各府省等が必要に応じて個別にシステム化を実施している人事・給与等業務について、上記「人事・給与等業務・システム最適化計画」に基づき、各府省が共同で利用する「人事・給与関係業務情報システム」を新たに構築することにより、情報システムの統一化・集中化、情報の電子化と処理の自動化等による業務の効率化を目指す。平成22年度から各府省でのシステム導入作業が開始されたことに伴い、運用センター業務、ヘルプデスク業務等を開始すると共に必要となるハードウェアの調達や各府省の移行支援等を実施した。平成25年度、26年度においては、人事・給与システムの機器を設置しているデータセンターの運用が平成26年10月に終了することから、政府共通プラットフォームに必要な機器構築を行うとともにデータ移行作業を実施している。,2003,2015,2369442000,15719157000
18,2014,内閣府,14-02,災害管理業務・システムの整備(総合防災情報システムの整備),２．に掲げる政策を実行し、情報の統合化、視覚化、共有化を推進し、共有する災害情報のコンテンツの充実を図る必要性から、関係府省等との連携体制の確立、機能改善等を図るとともに、中央防災会議防災対策推進検討会議等の議論やＩＴ新戦略の決定を踏まえ、防災情報の共有化を一層進める。具体的には、ライフライン復旧状況等の状況早期把握のため、他機関情報システムとの連携を図るとともに、民間が保有する情報の活用を図るため、民間団体との連携を推進する。また、被災地の現地により近い情報を収集・共有するため、都道府県の防災に関する情報システムと総合防災情報システムとを既存の回線を介して接続し、都道府県が保有する防災情報の自動的な収集及び共有を図る。なお、本投資は、「世界最先端ＩＴ国家創造宣言」において、「IT利活用による世界一安全で経済的な社会インフラの実現」として宣言されている取組の中核をなすものであり、実現が強く求められている。,新規,災害発生時には、政府は、災害対策基本法第51条の規定に基づき、災害に関する情報の収集及び伝達に努めることとされている。平成15年3月に「中央防災会議防災情報の共有化に関する専門調査会」においてとりまとめられ、中央防災会議で決定された「防災情報システム整備の基本方針」では、防災機関が横断的に共有すべき防災情報について、国、地方公共団体等の各機関の情報を共通のシステムに集約し、その情報にいずれからもアクセスできる共通プラットフォームを構築することとされた。本方針に基づき、平成17年度より情報共有プラットフォームの構築を行い、運用してきたところである。平成23年5月には、内閣府が運用してきた地震防災情報システム(DIS)、人工衛星等を活用した早期被害把握システム(RAS)及び防災情報共有プラットフォームの3システムを統合し、総合防災情報システムとして運用を開始したところである。本システムは、災害発生時に政府等が被災状況を早期に把握し、迅速・的確な意思決定を支援するため、防災関係機関間で防災情報を地理空間情報として共有することを目的としている。なお、本システムの整備・運用は、「世界最先端ＩＴ国家創造宣言」において、「IT利活用による世界一安全で経済的な社会インフラの実現」として宣言されている取組の中核をなすものであり、その推進が強く求められている。,災害発生時、防災関係機関が保有する災害(風水害・地震・火山等）情報の収集、確認、集約並びに対策の実施に関わる情報について、他機関が保有するシステムとの連携による情報の自動収集や、地理情報システムを活用して共通の地図に集約することで、情報の統合化、視覚化、防災関係機関間での共有化を図っている。具体的には以下の機能を有している。①地震防災情報システム機能（ＤＩＳ）：最大震度4以上の地震発生時に、建築物の全壊棟数、それに伴う死者数を自動的に推計する②人工衛星等を活用した早期被害把握機能（ＲＡＳ）：発災前後の人工衛星画像を比較することで、実被害情報を早期に把握する③防災情報共有プラットフォーム機能（ＰＦ）：自動的あるいは手動により入力された防災情報を地理空間情報により共通の地図に集約し、関係機関で横断的に共有するこれらの機能により、地震発生直後には、観測震度情報や統計情報等をもとに地震被害を概ね自動的に推計し、被災状況の早期把握を行うほか、被害推計結果に基づき、緊急災害対策本部設置等の判断に活用している。また、応急・復旧期には、関係機関により報告される被害報や活動状況等を地図上に重畳し、視覚的に把握させることで、状況の把握支援を行うとともに、関係省庁会議等において情報共有を図っている。,2014,2016,228511000,526797000
21,2014,内閣府,11-01,国民経済計算システムの整備,内閣府では、内閣府本府情報化推進委員会で決定した「経済財政政策関係業務等に必要なシステムに係わる業務・システム最適化計画」（平成22年最終改定）に基づき、国民経済計算や景気統計を作成する加工統計作成業務や計量モデルを用いた経済分析等の業務及びそれらの業務を処理するためのシステムについて、合理化・効率化を推進しているところである。本件は、当該計画の一部である国民経済計算及びそれに関する統計情報を作成する「国民経済計算（SNA）業務」にかかる推計システムの最適化を図るためのシステム開発、加えて推計精度向上に係る効率的なシステム構築のためのシステム設計・プログラム開発に必要な投資である。当該最適化計画は、それまで大型電子計算機を中心に構成されたシステムから、処理性能や信頼性が著しく向上したオープン系技術を用いたオープンシステムによるシステム構築への移行を行い、業務・システムの見直しを図るものであり、これによって、業務の効率性・合理性の向上や経費削減の実現などを目指すものである。なお、現行の国民経済計算システムは平成26年度に廃止し、平成27年度より現在開発中の新たなオープンシステムによる業務に移行する予定であり、その後、節減等の効果が発現できる見込みである。,継続,経済社会の政策課題に対応した研究や経済財政運営に資する国民経済計計算の推計等による政策判断の基礎的材料を提供することを目的としている。,国連の示す国民経済計算体系の基準に則して、国民経済計算の推計を行い、四半期別GDP速報（QE）、国民経済計算年報を公表するとともに、地域経済計算やサテライト勘定の調査研究を行っており、国民経済計算関連統計を作成・整備する。,2011,2014,51463000,144371000
23,2014,内閣府,14-01,次期内閣府ＬＡＮ（共通システム）設計構築等,内閣府LAN(共通システム)は、内閣府、内閣官房、復興庁(本庁、復興局等含む)、特定個人情報保護委員会（内閣府外局）の4組織が共同で利用する基盤システムであり、集約による効率化が図られたシステムである。平成27年1月のシステム更新により、更に利用者数が増加することによる行政端末の増加、利用拠点数の増加、セキュリティ脅威対策の強化、災害時及び非常時における業務継続性の確保のための機能拡充等を図りつつ、外部との情報共有ツールとして共有ストレージサービスを導入することにより、職員の利便性向上も図るものである。更新にあたっては、単に機器等の切替えではなく、職員や拠点が増加(規模が拡大)する中、投入コストを最小限に抑え、利便性を追求すると共に、新しい情報処理技術を取り入れることにより、業務の効率化に役立てるものである。,新規,内閣府LAN(共通システム)は、内閣府、内閣官房、復興庁(本庁、復興局等含む)、特定個人情報保護委員会(内閣府外局)の4組織が、電子メールや電子掲示板、インターネット、ファイルサーバ等のシステムを活用して、各々の行政事務を遂行するために、利用する基盤システムである。4組織で1つの内閣府LAN(共通システム)を利用することにより、ハードウェアやソフトウェアの共用化、インターネットの回線の集約化、機器等賃貸料や保守料の削減、運用管理業務の大幅な効率化を実現するものである。,内閣府の業務は、経済財政政策、防災、原子力防災、沖縄及び北方対策、科学技術政策、宇宙政策、地方分権改革、規制改革、消費者及び食品安全、少子化対策、男女共同参画、栄典、政府広報、公文書管理等あり、内閣官房の業務は、内閣の庶務、安全保障、危機管理、情報調査、広報、情報セキュリティ、ＩＴ総合戦略、知的財産戦略、総合海洋政策、地域活性化、新型インフルエンザ対策、日本経済再生、拉致問題対策、行政改革、ＴＰＰ政府対策等あり、復興庁の業務は、東日本大震災からの復旧復興を本庁含め12拠点で行っており、特定個人情報保護委員会の業務は、特定個人情報を適切に管理するために必要な指針の作成及び漏えいその他の事態の発生の危険性・影響に関する評価等を行うなど、幅広い分野に及んでおり、政権を直接支える立場から、政府の時々の重要課題に応じ弾力的に企画立案・総合調整等の業務を実施している。このような多岐にわたる業務を職員が円滑かつ迅速・安全に遂行するための情報基盤として、高度化・多様化するサイバー攻撃から、内閣府ＬＡＮ（共通システム）利用組織の重要な情報資産を守るというセキュリティ対策に万全を期すると共に、安全性・信頼性の確保、運用管理の効率化・合理化を図り、職員の利便性向上を目指したシステム運用を実施している。,2014,2014,280069000,280069000
31,2014,宮内庁,14-01,特定歴史公文書等ファイル検索システムの図書寮文庫所蔵資料目録・画像公開システムへ統廃合,平成26年10月末に特定歴史公文書等ファイル検索システム廃止に伴い，本システムに登録している約9万件のデータを図書寮文庫所蔵資料目録・画像公開システムに移行しシステムの統合を図り，高価なサーバの設置，維持管理費等にかかる運用，メンテナンス費用の削減を行うもの。,新規,「公文書等の管理に関する法律（H23.4)」に基づき歴史的資料の目録の作成及び公表を行っている。,宮内庁において作成，取得した行政文書（公文書）を歴史的文書として保存管理し，また一般の方々への閲覧等の利用に供している。,2014,2014,1080000,1080000
34,2014,警察庁,13-01,情報処理センターの庁舎移転,警察庁が運用するシステムは、万一障害等により停止した場合、第一線警察活動ひいては国民生活に多大な影響を及ぼすことが懸念されることから、システムの移行に当たっては、リスクの低減を最優先するとともに、当該移行に係る経費の削減及び平準化を図りつつ、迅速かつ的確な移行を行う必要がある。平成26年度は、運転者管理業務用電子計算機、指掌紋業務用電子計算機、組織犯罪対策統合検索システム、特定金融情報データベースシステム、運転免許証認証局及び人事・給与関係業務情報システムを新庁舎へ移行（更新）する。なお、組織犯罪対策統合検索システム及び特定金融情報データベースシステムについては、システムの移行に合わせて、ハードウェアの統合を図る。,継続,情報処理センターでは、全国の運転者に関する情報を一元的に管理し、都道府県警察の運転免許センター等からの照会、登録に応じるシステムや犯罪捜査に必要な各種情報を迅速かつ的確に第一線の捜査担当者に提供するシステム等を整備・運用しているところ、当該情報処理センターの庁舎を移転する。,警察では警察業務を迅速かつ的確に行うためコンピュータを利用した情報システムを構築・活用している。同システムは犯罪関係の情報運転免許証に関する情報などの各種情報を警察庁のコンピュータに登録し第一線の警察官からの様々な照会に対し迅速に回答することにより第一線の警察官が必要な時に必要な場所で必要な情報を活用できるようにするなど適正かつ効率的な警察活動を支えている。,2013,2014,564080000,724888000
