省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道札幌市,北海道防衛局,29113007,1614.34,29113007,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道千歳市,北海道防衛局,171407957,9976.26,171407957,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,宿舎,北海道幌泉郡えりも町,北海道防衛局,15550453,2433.18,15550453,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,北海道財務局,本局小樽出張所,一般会計,普通財産,迂回路敷地,北海道積丹郡積丹町大字美国字小泊８６８番,小樽開発建設部,17969,17.44,17969,0,0,0,0,0,0,都市計画区域外,-,-,-
財務省,北海道財務局,本局北見出張所,一般会計,普通財産,宿舎,北海道網走郡美幌町,帯広防衛支局,2144842,214.27,2144842,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,宿舎,北海道函館市,北海道防衛局,86957849,4584.57,86957849,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,巡回路敷地,北海道稚内市大字宗谷村字富磯２５９番１地先,稚内開発建設部,15720,119.86,15720,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,-,-
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,宿舎,北海道帯広市,帯広防衛支局,37256036,7157.74,37256036,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,管理用道路（木道）敷地,北海道釧路市安原,釧路開発建設部,771,1110.37,771,0,0,0,0,0,0,市街化調整区域,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,宿舎,北海道釧路市,帯広防衛支局,21443822,1472.79,21443822,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,仮設道路敷地,北海道厚岸郡厚岸町別寒辺牛,釧路開発建設部,812,1642.23,812,0,0,0,0,0,0,非線引,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,探勝歩道等敷地,北海道阿寒郡鶴居村字幌呂原野及び温根内,北海道地方環境事務所,8908,17640.83,8908,0,0,0,0,0,0,都市計画区域外,-,-,-
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,工事用道路敷地,北海道標津郡標津町字崎無異１２番３地先、１１番５地先,釧路開発建設部,14326,4363.81,14326,0,0,0,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,東北財務局,本局,一般会計,普通財産,宿舎,宮城県東松島市,東北防衛局,97979652,5385.21,97979652,0,0,0,0,0,0,市街化区域,近隣商業地域,80,200
財務省,東北財務局,本局,一般会計,普通財産,北貞山運河災害復旧事業の作業ヤード,宮城県仙台市若林区荒浜字南官林１６−１,宮城県,20827889,10540.43,20827889,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,東北財務局,盛岡財務事務所,一般会計,普通財産,宿舎,岩手県盛岡市青山三丁目９番１,東北防衛局,69488158,1590.30,69488158,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,東北財務局,福島財務事務所,一般会計,普通財産,原子力損害賠償紛争解決センター福島事務所会津支所,福島県会津若松市一箕町松長一丁目１７番６２,文部科学本省,16573851,1161.61,16573851,0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市大字河原木字八太郎山官地,東北防衛局,236889287,22016.37,236889287,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市,東北防衛局,96371938,7298.14,96371938,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,宿舎,青森県八戸市大字河原木字八太郎山,東北防衛局,161647057,11967.78,161647057,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
