省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
防衛省,一般会計,公用財産,大臣官房会計課,防衛省市ヶ谷庁舎,東京都新宿区市谷本村町４２,東京都新宿区市谷本村町５−１,320467748830,庁舎,246052.47,244151714669,2000.4.1,所属替 外,市街化区域,第二種住居地域,60,300,49,事務庁舎,57,49273.64,361800.15,56150078742,0,庁舎Ａ棟,ＳＲＣ,19,6798.15,112761.18,21011140007,2000.4.1,所属替,500174022,19665781397,0,0,0,0,0,0,0,0
防衛省,一般会計,公用財産,防衛大学校,防衛大学校,神奈川県横須賀市走水１—１０—２０,神奈川県横須賀市走水１丁目１０−２０,37452867,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,4803548,42,30123888,3,2525431,0,0,0,0
防衛省,一般会計,公用財産,防衛研究所,防衛研究所,東京都目黒区中目黒２—２—１,東京都目黒区中目黒２丁目２−１,19812065,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,104,19812065
防衛省,一般会計,公用財産,陸上幕僚監部,陸上幕僚監部,東京都新宿区市谷本村町４２,東京都新宿区市谷本村町５−１,59251547742,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,427,59251547742,0,0,0,0
防衛省,一般会計,公用財産,海上幕僚監部,海上幕僚監部,東京都新宿区市谷本村町４２,東京都新宿区市谷本村町４２,170307456420,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,298,170307456420,0,0,0,0
防衛省,一般会計,公用財産,航空幕僚監部,航空幕僚監部,東京都新宿区市谷本村町４２,東京都新宿区市谷本村町４２,285310508336,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,777,285310508336,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊大湊地方総監部,海上自衛隊大湊地方総監部,青森県むつ市大湊町,青森県むつ市大湊町,48730778166,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,50161720,32,48680616446,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊横須賀地方総監部,海上自衛隊横須賀地方総監部,神奈川県横須賀市西逸見町無番地,神奈川県横須賀市西逸見町無番地,373946394081,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,86867321,71,373859526760,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊横須賀地方総監部,海上自衛隊館山航空基地隊,千葉県館山市宮城,千葉県館山市宮城,6844933,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,6844933,0,0,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊横須賀地方総監部,海上自衛隊横須賀教育隊,神奈川県横須賀市御幸浜,神奈川県横須賀市御幸浜,2265763,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,564209,14,1701554,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊横須賀地方総監部,海上自衛隊硫黄島航空基地隊,東京都小笠原村硫黄島,東京都小笠原村硫黄島,77493976,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,77493976,0,0,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊舞鶴地方総監部,海上自衛隊舞鶴地方総監部,京都府舞鶴市字余部下１１９０,京都府舞鶴市字余部下１１９０,161173329476,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,8757803,45,161164571673,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊呉地方総監部,広島県呉市幸町８—１,広島県呉市幸町８−１,343831115229,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,3940231946,74,339890883283,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊阪神基地隊,兵庫県神戸市東灘区魚崎浜町,兵庫県神戸市東灘区魚崎浜町,944381672,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,3,944381672,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊由良基地分遣隊,和歌山県日高郡由良町７０８—５,和歌山県日高郡由良町７０８−５,3,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,2,1,1,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊呉地方総監部関連施設,兵庫県淡路市久留麻,兵庫県淡路市,835167,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,835167,0,0,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊呉教育隊,広島県呉市幸町１—１,広島県呉市幸町１−１,2224811,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,10,2224811,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊小松島航空隊,徳島県小松島市和田島町,徳島県小松島市和田島町,1686630,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,1,1686630,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊佐伯基地分遣隊,大分県佐伯市長島,大分県佐伯市長島,1199022364,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,42762455,3,1156259909,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊呉地方総監部,海上自衛隊岩国航空基地隊,山口県岩国市三角町,山口県岩国市三角町,153896799,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,51810917,3,102085882,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊佐世保地方総監部,長崎県佐世保市平瀬町,長崎県佐世保市平瀬町１８番地,215556971113,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,8,22,215556971105,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊佐世保地方総監部関連施設,長崎県佐世保市崎辺町無番地,長崎県佐世保市崎辺町無番地,3,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,3,0,0,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊対馬防備隊,長崎県対馬市竹敷,長崎県対馬市美津島町竹敷４−１９１,4,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,3,1,1,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊下関基地隊,山口県下関市永田本町,山口県下関市永田本町４−８−１,1937378550,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,3,2,1937378547,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊鹿屋航空基地隊,鹿児島県鹿屋市西原３丁目,鹿児島県鹿屋市西原３丁目,3054035,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,1,1,3054034,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊大村航空基地隊,長崎県大村市今津町,長崎県大村市今津町１０番地,37320578,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,37320577,1,1,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊佐世保警備隊,長崎県佐世保市崎辺町,長崎県佐世保市崎辺町無番地,4605955577,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,79715807,30,4526239770,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊奄美基地分遣隊,鹿児島県大島郡瀬戸内町古仁屋,鹿児島県大島郡瀬戸内町古仁屋船津２７,1686630,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,1,1686630,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊壱岐警備所,長崎県壱岐市若宮島,長崎県壱岐市勝本町東触２７７６−６,65833147,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,1,1,65833146,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊佐世保教育隊,長崎県佐世保市崎辺町,長崎県佐世保市崎辺町無番地,2249036,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,13,2249036,0,0,0,0,0,0
防衛省,一般会計,公用財産,海上自衛隊佐世保地方総監部,海上自衛隊佐世保造修補給所,長崎県佐世保市立神町,長崎県佐世保市立神町無番地,113961,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,1,113961,0,0,0,0,0,0
