省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,警察法 附則第１２項,中央警察署庁舎及び車庫敷地,北海道札幌市中央区北１条西５丁目４番２,北海道,2453825836,2493.82,2453825836,0,0,0,0,0,0,市街化区域,商業地域,80,600
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,斗南病院敷地,北海道札幌市中央区北１条西６丁目３番２先,国家公務員共済組合連合会,564036115,1329.97,564036115,0,0,0,0,0,0,市街化区域,商業地域,80,600
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,桑園公園敷地,北海道札幌市中央区北７条西１８丁目２８番１９０、３６番,札幌市,6715236,770.28,6715236,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,中島公園敷地,北海道札幌市中央区中島公園１８、１９、２０,札幌市,59411543,8031.12,59411543,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,七条公園敷地,北海道札幌市中央区南７条西１１丁目１２８２−８,札幌市,75551518,708.18,75551518,0,0,0,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,南１６条くりの木公園敷地,北海道札幌市中央区南１６条西８丁目５７８−６,札幌市,35145549,388.4,35143179,0,0,0,2369,1,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,272720248,4314.04,272720248,0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,南２３条こぶし公園敷地,北海道札幌市中央区南２３条西１１丁目１１９２番２４,札幌市,12027094,147.99,12027094,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,177381982,4330.30,177381981,0,0,0,0,1,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,153737305,3525.62,153737305,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
