省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
外務省,一般会計,公用財産,外務省大臣官房会計課,外務本省,東京都千代田区霞が関２−２−１,東京都千代田区霞が関２−２−１,172209653728,庁舎等,34423.73,168833249208,1948.11.11,所管換,市街化区域,商業地域,80,500,46,事務庁舎　外,10,11884.84,80753.53,1592912940,0,事務庁舎,ＳＲＣ,8,9888.64,63114.82,94619085,1960.4.25,新築,4034739,1779456841,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,麻布台別館,東京都港区麻布台１−３１３−１５,東京都港区麻布台１−８−１８,1230740389,庁舎等,750.38,921619717,1953.3.31,購入,市街化区域,第二種住居地域,60,300,72,事務庁舎　外,1,456.58,1629.91,274722898,0,事務庁舎　外,ＲＣ,3,456.58,1629.91,274722898,1997.7.29,新築,1779661,32618113,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,船橋分室,千葉県船橋市西船７−５５−１,千葉県船橋市西船７−１１−２,230076640,庁舎等,2869.26,190627500,1941.10.1,購入,市街化区域,第一種中高層住居専用地域,60,200,16,事務庁舎　外,1,549,974.25,31882727,0,事務庁舎,ＲＣ,2,549,974.25,31882727,1973.3.28,新築,0,7566413,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,飯倉別館,東京都港区麻布台１−３１４−４,東京都港区麻布台１−５−３,14256719854,庁舎等,9585.81,13969209196,1968.12.24,購入,市街化区域,第二種住居地域,60,300,22,事務庁舎　外,3,2506.01,6464.03,222456136,0,事務庁舎　外,ＲＣ,3,2172.70,5850.50,202346367,1971.2.27,新築,1180963,63873559,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,目黒住宅,東京都目黒区三田２−３７−１,東京都目黒区三田２−１０−１９,815313952,宿舎,1494.84,774624200,1984.3.5,所管換,市街化区域,第一種中高層住居専用地域,60,200,27,宿舎,2,276.06,828.18,25175401,34,宿舎,ＲＣ,3,137.86,413.58,12747755,1985.3.27,新築,9594,15504757,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,外務省研修所,神奈川県相模原市南区相模大野４−４００９−５９,神奈川県相模原市南区相模大野４−２−１,3559839622,庁舎等,18000.28,2160033600,1992.3.5,所管換,市街化区域,第一種中高層住居専用地域,60,200,34,事務庁舎　外,5,3875.77,12405.56,913038592,0,事務庁舎　外,ＲＣ,5,2941.04,9857.52,560171153,1993.12.20,所管換,15419542,471347888,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,池尻大橋寮,東京都目黒区東山３−４８７,東京都目黒区東山３−６−３,431210126,宿舎,640.26,354825689,1992.7.17,所管換,市街化区域,準工業地域,60,300,79,宿舎,2,261.91,1528.71,74984049,63,宿舎,ＲＣ,7,255.01,1521.81,74493423,1993.3.31,新築,0,1400388,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,高島平寮,東京都板橋区高島平１−５５−１２,東京都板橋区高島平１−５５−２０,245320386,宿舎,495.96,170610240,1993.9.8,所管換,市街化区域,準住居地域,60,300,68,宿舎,2,280.76,1023.90,73102589,29,宿舎,ＲＣ,4,276.76,1019.90,72862585,1995.2.28,新築,0,1607557,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,外務省桜台寮,東京都練馬区桜台３−４４−８,東京都練馬区桜台３−４４−６,483330942,宿舎,1258.44,371983432,1995.2.1,所管換,市街化区域,第一種中高層住居専用地域,50,150,74,宿舎,1,370.31,1403.96,110013321,46,宿舎,ＲＣ,4,370.31,1403.96,110013321,1996.3.29,新築,324003,1010186,0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,立石在外職員子弟育英寮,東京都葛飾区立石２−１１６２−１,東京都葛飾区立石２−２９−１２,643436960,庁舎等,1706.23,396097882,1995.7.10,所管換,市街化区域,準工業地域,60,200,70,事務庁舎　外,2,896.84,2407.51,212568234,0,事務庁舎　外,ＲＣ,1,891.12,2401.79,212282222,1997.10.31,新築,966908,33803936,0,0,0,0,0,0,0,0
