省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
法務省,一般会計,公用財産,法務省本省,アジア極東犯罪防止研修所,東京都府中市晴見町１−２６,東京都府中市晴見町１丁目２６,1618978828,庁舎等,10393.02,1465415820,1980.3.10,所属替,市街化区域,第一種中高層住居専用地域,60,200,24,研修施設,5,2649.70,5130.71,153356309,0,研修施設,ＲＣ,3,2317.53,4679.86,152264096,1982.3.31,新築,20471,186228,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,登記情報センター,千葉県船橋市海神２−３−３４,千葉県船橋市海神町２丁目３−３４,722757311,庁舎等,3678.28,231731640,1986.2.1,所管換,市街化区域,準工業地域,60,200,57,事務庁舎,3,1589.21,4258.03,239366511,0,事務庁舎,ＲＣ,3,1284.00,3803.32,173185317,2011.4.1,所属替（無償）,0,251659160,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,中央合同庁舎第６号館,東京都千代田区霞が関１−１−１,東京都千代田区霞が関１丁目１−１,228529198198,庁舎等,46544.71,216342358198,1990.11.15,所管換,市街化区域,商業地域,80,500,74,事務庁舎,10,13124.56,173468.56,10916176126,0,事務庁舎,Ｓ,20,5043.49,126171.87,6161463558,1990.6.30,所管換,31917244,1238746630,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,法務省浦安総合センター,千葉県浦安市日の出１１,千葉県浦安市日の出２−１−１６,4030864091,庁舎等,16960.83,1882652130,1996.3.25,購入,市街化区域,第二種住居地域,60,200,75,研修施設,8,5802.08,25488.76,1962622327,0,研修施設,ＲＣ,7,1325.09,9209.67,614417927,1998.2.3,所管換,16114465,169475169,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,中央合同庁舎第６号館赤れんが棟,東京都千代田区霞が関１−１−１,東京都千代田区霞が関１丁目１−１,103980702,-,0,0,-,-,-,-,-,-,-,事務庁舎,2,3469.19,9967.33,5700232,0,事務庁舎,レンガ造,2,3369.25,9867.39,1,1997.12.16,整理替,20886920,77393550,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,国際法務総合センター,東京都昭島市中神町字東武蔵野１３５５−４,東京都昭島市中神町字東武蔵野１３５５−４,3982317,庁舎等,89.03,3982317,2012.3.26,所管換（無償）,市街化区域,第二種住居地域,60,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,国際法務総合センター敷地,東京都昭島市中神町のうち外,東京都昭島市中神町のうち外,8542497488,庁舎等,190978.92,8542497488,2014.3.13,所管換（無償）,市街化区域,第二種住居地域,60,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,国際法務総合センター宿舎敷地,東京都昭島市中神町のうち外,東京都昭島市中神町のうち外,1881131385,宿舎,42055.20,1881131385,2014.3.13,所管換（無償）,市街化区域,第二種住居地域,60,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,宿舎,東京都目黒区,東京都目黒区,367355408,宿舎,667.07,366888500,1963.2.6,交換,市街化区域,第一種低層住居専用地域,60,200,15,宿舎,2,167.75,204.94,2,0,宿舎,Ｗ,2,151.23,188.42,1,1963.2.6,交換,0,466906,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,宿舎,東京都台東区,東京都台東区,43649997,-,0,0,-,-,-,-,-,-,-,宿舎,1,0,1452.70,43479712,55,宿舎,ＲＣ,1,0,1452.70,43479712,1987.3.15,新築,0,170285,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,宿舎,東京都練馬区,東京都練馬区,21235322,-,0,0,-,-,-,-,-,-,-,宿舎,2,179.19,489.78,21235313,6,宿舎,ＲＣ,3,169.39,479.98,21235312,1991.3.29,新築,0,9,0,0,0,0,0,0,0,0
法務省,一般会計,公用財産,法務省本省,宿舎,千葉県船橋市,千葉県船橋市,188137909,宿舎,752.22,147194409,1995.3.8,所管換,市街化区域,第一種低層住居専用地域,50,150,60,宿舎,1,274.78,678.95,38658592,20,宿舎,ＲＣ,3,274.78,678.95,38658592,1996.2.15,新築,884708,1400200,0,0,0,0,0,0,0,0
