省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,理財局,一般会計,普通財産,日本銀行,東京都千代田区霞が関３−１−１,-,21725000000,-,-,-,-,-,-,-,-,-,-,21725000000,-
財務省,理財局,一般会計,普通財産,預金保険機構,東京都千代田区霞が関３−１−１,一般勘定,150000000,東日本大震災事業者再生支援勘定,18678078266,地域経済活性化支援勘定,2994549306,-,-,-,-,-,-,21822627572,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は34799007898円である。
財務省,理財局,一般会計,普通財産,農水産業協同組合貯金保険機構,東京都千代田区霞が関３−１−１,一般勘定,75000000,東日本大震災事業者再生支援勘定,1319878448,-,-,-,-,-,-,-,-,1394878448,-
財務省,理財局,一般会計,普通財産,日本中央競馬会,東京都千代田区霞が関３−１−１,一般勘定,1111597055995,-,-,-,-,-,-,-,-,-,-,1111597055995,-
財務省,理財局,一般会計,普通財産,国際復興開発銀行,東京都千代田区霞が関３−１−１,-,366013079511,-,-,-,-,-,-,-,-,-,-,366013079511,-
財務省,理財局,一般会計,普通財産,国際金融公社,東京都千代田区霞が関３−１−１,-,185646809962,-,-,-,-,-,-,-,-,-,-,185646809962,-
財務省,理財局,一般会計,普通財産,国際開発協会,東京都千代田区霞が関３−１−１,-,3114416216248,-,-,-,-,-,-,-,-,-,-,3114416216248,-
財務省,理財局,一般会計,普通財産,アジア開発銀行,東京都千代田区霞が関３−１−１,-,327088467597,-,-,-,-,-,-,-,-,-,-,327088467597,-
財務省,理財局,一般会計,普通財産,アフリカ開発基金,東京都千代田区霞が関３−１−１,-,277582247124,-,-,-,-,-,-,-,-,-,-,277582247124,-
財務省,理財局,一般会計,普通財産,米州開発銀行,東京都千代田区霞が関３−１−１,-,151591793820,-,-,-,-,-,-,-,-,-,-,151591793820,-
財務省,理財局,一般会計,普通財産,アフリカ開発銀行,東京都千代田区霞が関３−１−１,-,59574354808,-,-,-,-,-,-,-,-,-,-,59574354808,-
財務省,理財局,一般会計,普通財産,米州投資公社,東京都千代田区霞が関３−１−１,-,3840969098,-,-,-,-,-,-,-,-,-,-,3840969098,-
財務省,理財局,一般会計,普通財産,多数国間投資保証機関,東京都千代田区霞が関３−１−１,-,5900939396,-,-,-,-,-,-,-,-,-,-,5900939396,-
財務省,理財局,一般会計,普通財産,日本製鉄株式会社,東京都千代田区霞が関３−１−１,-,0,-,-,-,-,-,-,-,-,-,-,0,-
財務省,理財局,一般会計,普通財産,帝国燃料興業株式会社,東京都千代田区霞が関３−１−１,-,75457,-,-,-,-,-,-,-,-,-,-,75457,-
財務省,理財局,一般会計,普通財産,南方開発金庫,東京都千代田区霞が関３−１−１,-,3666001378,-,-,-,-,-,-,-,-,-,-,3666001378,-
財務省,理財局,一般会計,普通財産,外資金庫,東京都千代田区霞が関３−１−１,-,5277197362,-,-,-,-,-,-,-,-,-,-,5277197362,-
財務省,理財局,一般会計,普通財産,欧州復興開発銀行,東京都千代田区霞が関３−１−１,-,168386507244,-,-,-,-,-,-,-,-,-,-,168386507244,-
財務省,理財局,一般会計,普通財産,日本私立学校振興・共済事業団,東京都千代田区霞が関３−１−１,助成勘定,111460470535,-,-,-,-,-,-,-,-,-,-,111460470535,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は117529562108円である。
財務省,理財局,一般会計,普通財産,独立行政法人　国立公文書館,東京都千代田区霞が関３−１−１,-,4546225813,-,-,-,-,-,-,-,-,-,-,4546225813,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　情報通信研究機構,東京都千代田区霞が関３−１−１,一般勘定,93860190004,-,-,-,-,-,-,-,-,-,-,93860190004,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は96292178033円である。
財務省,理財局,一般会計,普通財産,独立行政法人　酒類総合研究所,東京都千代田区霞が関３−１−１,-,4701772794,-,-,-,-,-,-,-,-,-,-,4701772794,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　物質・材料研究機構,東京都千代田区霞が関３−１−１,-,66017534229,-,-,-,-,-,-,-,-,-,-,66017534229,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　防災科学技術研究所,東京都千代田区霞が関３−１−１,-,53742020018,-,-,-,-,-,-,-,-,-,-,53742020018,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　放射線医学総合研究所,東京都千代田区霞が関３−１−１,-,27654174698,-,-,-,-,-,-,-,-,-,-,27654174698,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立特別支援教育総合研究所,東京都千代田区霞が関３−１−１,-,5854354993,-,-,-,-,-,-,-,-,-,-,5854354993,-
財務省,理財局,一般会計,普通財産,独立行政法人　大学入試センター,東京都千代田区霞が関３−１−１,-,11961981681,-,-,-,-,-,-,-,-,-,-,11961981681,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立青少年教育振興機構,東京都千代田区霞が関３−１−１,-,86669206058,-,-,-,-,-,-,-,-,-,-,86669206058,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立女性教育会館,東京都千代田区霞が関３−１−１,-,2097181192,-,-,-,-,-,-,-,-,-,-,2097181192,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立科学博物館,東京都千代田区霞が関３−１−１,-,70974875916,-,-,-,-,-,-,-,-,-,-,70974875916,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立美術館,東京都千代田区霞が関３−１−１,-,182456416607,-,-,-,-,-,-,-,-,-,-,182456416607,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立文化財機構,東京都千代田区霞が関３−１−１,-,211784259425,-,-,-,-,-,-,-,-,-,-,211784259425,-
財務省,理財局,一般会計,普通財産,独立行政法人　教員研修センター,東京都千代田区霞が関３−１−１,-,4811579681,-,-,-,-,-,-,-,-,-,-,4811579681,-
財務省,理財局,一般会計,普通財産,独立行政法人　労働安全衛生総合研究所,東京都千代田区霞が関３−１−１,一般勘定,232699622,-,-,-,-,-,-,-,-,-,-,232699622,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は9961952121円である。
財務省,理財局,一般会計,普通財産,独立行政法人　農林水産消費安全技術センター,東京都千代田区霞が関３−１−１,-,7596273380,-,-,-,-,-,-,-,-,-,-,7596273380,-
財務省,理財局,一般会計,普通財産,独立行政法人　種苗管理センター,東京都千代田区霞が関３−１−１,-,8795318258,-,-,-,-,-,-,-,-,-,-,8795318258,-
財務省,理財局,一般会計,普通財産,独立行政法人　家畜改良センター,東京都千代田区霞が関３−１−１,-,37853370657,-,-,-,-,-,-,-,-,-,-,37853370657,-
財務省,理財局,一般会計,普通財産,独立行政法人　水産大学校,東京都千代田区霞が関３−１−１,-,10201416378,-,-,-,-,-,-,-,-,-,-,10201416378,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業・食品産業技術総合研究機構,東京都千代田区霞が関３−１−１,農業技術研究業務勘定,236106444083,基礎的研究業務勘定,8576154726,農業機械化促進業務勘定,13951549756,-,-,-,-,-,-,258634148565,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は263266936829円である。
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業生物資源研究所,東京都千代田区霞が関３−１−１,-,30321520826,-,-,-,-,-,-,-,-,-,-,30321520826,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業環境技術研究所,東京都千代田区霞が関３−１−１,-,31891055668,-,-,-,-,-,-,-,-,-,-,31891055668,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　国際農林水産業研究センター,東京都千代田区霞が関３−１−１,-,7322038681,-,-,-,-,-,-,-,-,-,-,7322038681,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　森林総合研究所,東京都千代田区霞が関３−１−１,研究・育種勘定,43201282501,特定地域整備等勘定,5654955777,水源林勘定,865216300581,-,-,-,-,-,-,914072538859,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　水産総合研究センター,東京都千代田区霞が関３−１−１,試験研究・技術開発勘定,42585307161,海洋水産資源開発勘定,2043143582,-,-,-,-,-,-,-,-,44628450743,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　産業技術総合研究所,東京都千代田区霞が関３−１−１,-,301688650597,-,-,-,-,-,-,-,-,-,-,301688650597,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は302817649036円である。
財務省,理財局,一般会計,普通財産,独立行政法人　製品評価技術基盤機構,東京都千代田区霞が関３−１−１,-,27265544460,-,-,-,-,-,-,-,-,-,-,27265544460,-
財務省,理財局,一般会計,普通財産,独立行政法人　交通安全環境研究所,東京都千代田区霞が関３−１−１,一般勘定,4925214907,-,-,-,-,-,-,-,-,-,-,4925214907,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は14960895873円である。
財務省,理財局,一般会計,普通財産,国立研究開発法人　海上技術安全研究所,東京都千代田区霞が関３−１−１,-,33504146394,-,-,-,-,-,-,-,-,-,-,33504146394,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　港湾空港技術研究所,東京都千代田区霞が関３−１−１,-,10986298062,-,-,-,-,-,-,-,-,-,-,10986298062,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は11101090640円である。
財務省,理財局,一般会計,普通財産,国立研究開発法人　電子航法研究所,東京都千代田区霞が関３−１−１,-,3534734438,-,-,-,-,-,-,-,-,-,-,3534734438,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は4585187632円である。
財務省,理財局,一般会計,普通財産,独立行政法人　航海訓練所,東京都千代田区霞が関３−１−１,-,3427149508,-,-,-,-,-,-,-,-,-,-,3427149508,-
財務省,理財局,一般会計,普通財産,独立行政法人　海技教育機構,東京都千代田区霞が関３−１−１,-,10430498713,-,-,-,-,-,-,-,-,-,-,10430498713,-
財務省,理財局,一般会計,普通財産,独立行政法人　航空大学校,東京都千代田区霞が関３−１−１,-,3846118715,-,-,-,-,-,-,-,-,-,-,3846118715,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は3924595364円である。
財務省,理財局,一般会計,普通財産,国立研究開発法人　土木研究所,東京都千代田区霞が関３−１−１,-,30616895154,-,-,-,-,-,-,-,-,-,-,30616895154,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　建築研究所,東京都千代田区霞が関３−１−１,-,12849486442,-,-,-,-,-,-,-,-,-,-,12849486442,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　国立環境研究所,東京都千代田区霞が関３−１−１,-,28667289252,-,-,-,-,-,-,-,-,-,-,28667289252,-
財務省,理財局,一般会計,普通財産,独立行政法人　駐留軍等労働者労務管理機構,東京都千代田区霞が関３−１−１,-,847426450,-,-,-,-,-,-,-,-,-,-,847426450,-
財務省,理財局,一般会計,普通財産,独立行政法人　造幣局,東京都千代田区霞が関３−１−１,-,78597116975,-,-,-,-,-,-,-,-,-,-,78597116975,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立印刷局,東京都千代田区霞が関３−１−１,-,210208340137,-,-,-,-,-,-,-,-,-,-,210208340137,-
財務省,理財局,一般会計,普通財産,独立行政法人　国民生活センター,東京都千代田区霞が関３−１−１,-,7740670674,-,-,-,-,-,-,-,-,-,-,7740670674,-
財務省,理財局,一般会計,普通財産,独立行政法人　北方領土問題対策協会,東京都千代田区霞が関３−１−１,一般業務勘定,288429788,-,-,-,-,-,-,-,-,-,-,288429788,-
財務省,理財局,一般会計,普通財産,独立行政法人　国際交流基金,東京都千代田区霞が関３−１−１,-,73476914958,-,-,-,-,-,-,-,-,-,-,73476914958,-
財務省,理財局,一般会計,普通財産,独立行政法人　国際協力機構,東京都千代田区霞が関３−１−１,一般勘定,52141677382,有償資金協力勘定,9267091129793,-,-,-,-,-,-,-,-,9319232807175,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　科学技術振興機構,東京都千代田区霞が関３−１−１,一般勘定,66967307914,文献情報提供勘定,4293963626,-,-,-,-,-,-,-,-,71261271540,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は86504154021円である。
財務省,理財局,一般会計,普通財産,国立研究開発法人　理化学研究所,東京都千代田区霞が関３−１−１,-,177298626147,-,-,-,-,-,-,-,-,-,-,177298626147,-
財務省,理財局,一般会計,普通財産,独立行政法人　日本芸術文化振興会,東京都千代田区霞が関３−１−１,-,232091486353,-,-,-,-,-,-,-,-,-,-,232091486353,-
財務省,理財局,一般会計,普通財産,独立行政法人　日本学術振興会,東京都千代田区霞が関３−１−１,一般勘定,447723475,-,-,-,-,-,-,-,-,-,-,447723475,-
財務省,理財局,一般会計,普通財産,独立行政法人　日本スポーツ振興センター,東京都千代田区霞が関３−１−１,一般勘定,212119819972,特定業務勘定,18777288116,-,-,-,-,-,-,-,-,230897108088,-
財務省,理財局,一般会計,普通財産,国立研究開発法人　宇宙航空研究開発機構,東京都千代田区霞が関３−１−１,-,144450842255,-,-,-,-,-,-,-,-,-,-,144450842255,-
財務省,理財局,一般会計,普通財産,独立行政法人　福祉医療機構,東京都千代田区霞が関３−１−１,一般勘定,17455011472,-,-,-,-,-,-,-,-,-,-,17455011472,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は926800148816円である。
財務省,理財局,一般会計,普通財産,独立行政法人　国立重度知的障害者総合施設のぞみの園,東京都千代田区霞が関３−１−１,-,13353191599,-,-,-,-,-,-,-,-,-,-,13353191599,-
財務省,理財局,一般会計,普通財産,独立行政法人　高齢・障害・求職者雇用支援機構,東京都千代田区霞が関３−１−１,高齢・障害者雇用支援勘定,12780444,障害者職業能力開発勘定,925429,障害者雇用納付金勘定,519646945,-,-,-,-,-,-,533352818,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は386157133414円である。
