省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,財務省大臣官房政策金融課,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関３−１−１,国民一般向け業務勘定,89695676393,信用保険等業務勘定,250098848719,危機対応円滑化業務勘定,21147233887,-,-,-,-,-,-,360941758999,※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4787276757819円である。
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　農林漁業成長産業化支援機構,東京都千代田区霞が関３−１−１,-,27154621077,-,-,-,-,-,-,-,-,-,-,27154621077,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関３−１−１,農林水産業者向け業務勘定,118932026386,中小企業者向け融資・証券化支援保証業務勘定,334691099503,中小企業者向け証券化支援買取業務勘定,24803637888,国民一般向け業務勘定,7469699422,-,-,-,-,485896463199,※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4787276757819円である。
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　国際協力銀行,東京都千代田区霞が関３−２−１外,-,2436819325834,-,-,-,-,-,-,-,-,-,-,2436819325834,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は2472367383103円である。
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　商工組合中央金庫,東京都千代田区霞が関３−１−１,-,166487559185,-,-,-,-,-,-,-,-,-,-,166487559185,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,沖縄振興開発金融公庫,東京都千代田区霞が関３−１−１,-,10640599425,-,-,-,-,-,-,-,-,-,-,10640599425,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は78936919689円である。
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,日本たばこ産業株式会社,東京都千代田区霞が関３−１−１,-,3126667292000,-,-,-,-,-,-,-,-,-,-,3126667292000,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,日本電信電話株式会社,東京都千代田区霞が関３−１−１,-,3576845673600,-,-,-,-,-,-,-,-,-,-,3576845673600,-
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,新関西国際空港株式会社,東京都千代田区霞が関３−１−１,-,49227182708,-,-,-,-,-,-,-,-,-,-,49227182708,※当該法人へは、他の特別会計からも出資が行われており、国有財産の総額は580537901090円である。
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,預金保険機構,東京都千代田区霞が関３−１−１,地域経済活性化支援勘定,12976380326,-,-,-,-,-,-,-,-,-,-,12976380326,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は34799007898円である。
