省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
環境省,一般会計,公用財産,環境省廃棄物・リサイクル対策部,第４９００７０７号「Ｒｅ—Ｓｔｙｌｅ」,東京都千代田区霞ヶ関１−２−２,東京都千代田区,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,1,0
環境省,一般会計,公用財産,環境省総合環境政策局,総合環境政策局,東京都千代田区霞が関１−２−２,東京都千代田区霞が関１−２−２,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,5,0
環境省,一般会計,公用財産,環境省地球環境局,地球環境局,東京都千代田区霞が関１−２−２,東京都千代田区霞が関１−２−２,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,2,0
環境省,一般会計,公用財産,環境省水・大気環境局,新潟市浜町地盤沈下観測局,新潟県新潟市東区浜町２９−１,新潟県新潟市東区浜町２９−１,77818646,その他,3897.62,77172876,2012.5.31,所管換（無償）,市街化区域,準工業地域,60,200,0,その他,4,66.39,66.39,182395,0,地盤沈下観測所　４９０ｍ級井戸用,Ｗ,1,17.39,17.39,5513,2012.3.30,所管換（有償）,0,463375,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,尼崎大気環境測定所,兵庫県尼崎市東難波町４−２３８−１Ｃ,兵庫県尼崎市東難波町４—２３８−１Ｃ,3149913,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,16.32,16.32,2475237,0,測定所,Ｓ,1,16.32,16.32,2475237,1999.3.29,新築,0,674676,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,大牟田大気環境測定所,福岡県大牟田市有明町２—３,福岡県大牟田市有明町２−３,98394,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,32.32,32.32,1,0,測定所,Ｓ,1,32.32,32.32,1,1971.7.1,新築,0,98393,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,箟岳大気環境測定所,宮城県遠田郡涌谷町小塚字桜清水２—１—５,宮城県遠田郡涌谷町小塚字桜清水２丁目１−５,145369,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,45.78,45.78,1,0,測定所,Ｓ,1,45.78,45.78,1,1975.3.25,新築,0,145368,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,名古屋大気環境測定所,愛知県名古屋市千種区鹿子殿２１—１,愛知県名古屋市千種区鹿子殿２１−１,436433,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,27.48,27.48,347728,0,測定所,Ｓ,1,27.48,27.48,347728,1988.3.29,新築,0,88705,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,前橋自動車排出ガス測定所,群馬県前橋市元総社町字寺田８０—７,群馬県前橋市元総社町字寺田８０−７,230759,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,7.95,7.95,65546,0,測定所,Ｓ,1,7.95,7.95,65546,1986.3.15,新築,155864,9349,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,四條畷自動車交通環境測定所,大阪府四條畷市江瀬美町１２−１１,大阪府四條畷市江瀬美町１２−１１,2690924,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,34.5,34.5,2069162,0,測定所,ＲＣ,1,34.5,34.5,2069162,1996.3.26,新築,43058,578704,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,国設入間自動車交通環境測定所,埼玉県入間市高倉５—４９１,埼玉県入間市高倉５−４９１,4934642,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17.16,17.16,3295791,0,測定所,Ｓ,1,17.16,17.16,3295791,2001.10.26,新築,0,1638851,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,国設飛島自動車交通環境測定所,愛知県海部郡飛島村飛島新田竹之郷５番地,愛知県海部郡飛島村飛島新田竹之郷５番地,1725551,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,2,17.82,17.82,522672,0,測定所,その他,2,17.22,17.22,495136,2002.1.1,新築,0,1202879,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,国設尼崎自動車交通環境測定所,兵庫県尼崎市東本町４丁目,兵庫県尼崎市東本町４丁目,1586734,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,10.59,10.59,326256,0,測定所,その他,1,10.59,10.59,326256,2001.12.1,新築,0,1260478,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,国設野田自動車交通環境測定所,千葉県野田市宮崎１３７—１,千葉県野田市宮崎１３７−１,5091980,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17.16,17.16,3297261,0,測定所,Ｓ,1,17.16,17.16,3297261,2001.10.26,新築,0,1794719,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,松江大気環境測定所,島根県松江市西浜佐陀町５８２—１,島根県松江市西浜佐陀町５８２−１,3012360,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17,17,2466270,0,測定所,Ｓ,1,17,17,2466270,1999.3.29,新築,0,546090,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,利尻酸性雨測定所,北海道利尻郡利尻町仙法志神磯１９３,北海道利尻郡利尻町仙法志神磯１９３,1350004,その他,311,282,2010.10.1,所属替（無償）,都市計画区域外,都市計画用途地域指定なし,-,-,-,その他,1,18,18,458485,0,測定所,Ｓ,1,18,18,458485,2010.10.1,所属替（無償）,0,891237,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,竜飛岬酸性雨測定所,青森県東津軽郡外ヶ浜町字三厩字鉄山国有林８４林班り２小班,青森県東津軽郡外ヶ浜町字三厩字鉄山国有林８４林班り２小班,1292150,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,14,14,1292148,0,測定所,Ｓ,1,14,14,1292148,2010.10.1,所属替（無償）,0,2,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,赤城酸性雨測定所,群馬県前橋市富士見町赤城山１−２,群馬県前橋市富士見町赤城山１−２,2287603,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,15,15,2287601,0,測定所,Ｓ,1,15,15,2287601,2010.10.1,所属替（無償）,0,2,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,新潟巻酸性雨測定所,新潟県新潟市西蒲区越前浜５５９７の１及び５８７６の２,新潟県新潟市西蒲区越前浜５５９７の１及び５８７６の２,1393122,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,35,35,1,0,測定所,その他,1,35,35,1,2010.10.1,所属替（無償）,0,1393121,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,佐渡関酸性雨測定所,新潟県佐渡市関２０４,新潟県佐渡市関２０４,727841,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,45.09,45.09,1,0,測定所,その他,1,45.09,45.09,1,2010.10.1,所属替（無償）,0,727840,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,小笠原酸性雨離島局,東京都小笠原村父島字旭山地内,東京都小笠原村父島字旭山地内,14503229,庁舎等,2452.00,13748895,2010.10.1,所属替（無償）,都市計画区域外,都市計画用途地域指定なし,-,-,-,事務庁舎　外,1,17,17,752578,0,測定所,Ｓ,1,17,17,752578,2010.10.1,所属替（無償）,0,1756,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,福井・越前岬酸性雨測定所,福井県丹生郡越前町血ヶ平９字上丸山２−２,福井県丹生郡越前町血ヶ平９字上丸山２−２,2197935,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,15,15,2197933,0,測定所,Ｓ,1,15,15,2197933,2010.10.1,所属替（無償）,0,2,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,八方尾根酸性雨測定所,長野県北安曇郡白馬村大字北城４４８７−２２７番地,長野県北安曇郡白馬村大字北城４４８７−２２７番地,1237164,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,14,14,1237163,0,測定所,Ｓ,1,14,14,1237163,2010.10.1,所属替（無償）,0,1,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,伊自良湖酸性雨測定所,岐阜県山県市長滝字釜ヶ谷２７−７−３,岐阜県山県市長滝字釜ヶ谷２７−７−３,3946180,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17.2,17.2,3601655,0,測定所,Ｓ,1,17.2,17.2,3601655,2010.10.1,所属替（無償）,0,344525,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,潮岬酸性雨測定所,和歌山県東牟婁郡串本町潮岬,和歌山県東牟婁郡串本町潮岬,1265965,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,14,14,1265963,0,測定所,Ｓ,1,14,14,1265963,2010.10.1,所属替（無償）,0,2,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,隠岐酸性雨測定所,島根県隠岐郡隠岐の島町北方福浦１７００,島根県隠岐郡隠岐の島町北方福浦１７００,1714704,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,36,36,1673755,0,測定所,ＲＣ,1,36,36,1673755,2010.10.1,所属替（無償）,0,40949,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,蟠竜湖酸性雨測定所,島根県益田市高津町イ２３４０−３,島根県益田市高津町イ２３４０−３,3357786,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17.2,17.2,1447029,0,測定所,Ｓ,1,17.2,17.2,1447029,2010.10.1,所属替（無償）,1300237,610520,0,0,0,0,0,0,0,0
環境省,一般会計,公用財産,環境省水・大気環境局,檮原酸性雨測定所,高知県高岡郡檮原町太郎川３７５７−２,高知県高岡郡檮原町太郎川３７５７−２,587152,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,1,17,17,1,0,測定所,その他,1,17,17,1,2010.10.1,所属替（無償）,0,587151,0,0,0,0,0,0,0,0
