省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
経済産業省,一般会計,公用財産,大臣官房会計課,本省庁舎,東京都千代田区霞が関１—９,東京都千代田区霞が関１−３−１,145253548565,庁舎等,24533.05,137766887857,2001.1.6,省庁再編に伴う所管換増,市街化区域,商業地域,80,500,91,事務庁舎,6,5936.32,112731.67,6684699765,0,事務庁舎,ＳＲＣ,11,4077.78,59741.01,4405417253,2001.1.6,省庁再編に伴う所管換増,11076384,790884559,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,研修所庁舎,東京都東村山市富士見町５—４—３６,東京都東村山市富士見町５丁目４−３６,4803195945,庁舎等,35666.83,3317015191,1980.3.27,整理替,市街化区域,第一種中高層住居専用地域,60,200,20,研修施設,8,5485.36,14743.89,1147398194,0,研修施設,ＲＣ,6,858.08,4507.85,324701135,1998.10.29,新築,5908395,332874165,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,東村山独身寮,東京都東村山市富士見町５—４—７１,東京都東村山市富士見町５丁目４−３７,498220621,宿舎,3659.31,340315829,2001.1.6,省庁再編に伴う所管換増,市街化区域,第一種中高層住居専用地域,60,200,46,宿舎,2,742.22,3372.21,155421793,99,宿舎,ＲＣ,5,731.72,3361.71,154817866,2001.1.6,省庁再編に伴う所管換増,304939,2178060,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,玉川台独身寮,東京都世田谷区玉川台１—２２９−２,東京都世田谷区玉川台１丁目１３−２３,552441529,宿舎,1411.01,552410415,2001.1.6,省庁再編に伴う所管換増,市街化区域,第二種低層住居専用地域,60,150,67,宿舎,1,516.66,1435.06,1,36,宿舎,ＲＣ,1,516.66,1435.06,1,2001.1.6,省庁再編に伴う所管換増,31094,19,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,目黒独身寮,東京都目黒区中目黒４—７５６,東京都目黒区中目黒４丁目８−１７,904364834,宿舎,2296.80,869109120,2001.1.6,省庁再編に伴う所管換増,市街化区域,近隣商業地域,80,200,44,宿舎,1,600.65,2026.05,35200455,101,宿舎,ＲＣ,1,600.65,2026.05,35200455,2001.1.6,省庁再編に伴う所管換増,4742,50517,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,上北沢独身寮,東京都世田谷区上北沢５—１１７６−７,東京都世田谷区上北沢５丁目８−１３,308053022,宿舎,853.24,256654592,2001.1.6,省庁再編に伴う所管換増,市街化区域,第一種中高層住居専用地域,60,200,60,宿舎,2,468.48,1037.79,50760830,27,宿舎,ＲＣ,3,465.24,1034.55,50760829,2001.1.6,省庁再編に伴う所管換増,0,637600,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,大臣官房会計課,千歳船橋独身寮,東京都世田谷区船橋１—３０３—３,東京都世田谷区船橋１丁目４９−９,658776422,宿舎,1585.77,581343282,2001.1.6,省庁再編に伴う所管換増,市街化区域,第一種低層住居専用地域,50,100,88,宿舎,1,626.28,1406.21,74430899,39,宿舎,ＲＣ,3,626.28,1406.21,74430899,2001.1.6,省庁再編に伴う所管換増,671587,2330654,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,北海道経済産業局,北海道経済産業局,北海道札幌市北区北８条西２,北海道札幌市北区北８条西２丁目,2248104,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,2248104,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,東北経済産業局,仙台第１合同庁舎増築棟（東北経済産業局）,宮城県仙台市青葉区本町３−３−１,宮城県仙台市青葉区本町３−３−１,4630608,-,0,0,-,-,-,-,-,-,-,事務庁舎,1,0,0,4630608,0,-,ＳＲＣ,17,0,0,4630608,2015.11.18,従物新設,0,0,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,関東経済産業局,新潟分室庁舎,新潟県新潟市中央区八千代１—５—１５,新潟県新潟市中央区八千代１丁目５−１５,167493198,庁舎等,1266.97,156181925,2001.1.10,所属替,市街化区域,第二種住居地域,60,200,14,その他,1,181.88,363.76,10406431,0,庁舎等,ＲＣ,2,181.88,363.76,10406431,2001.1.10,所属替,0,904842,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,中部経済産業局,中部経済産業局庁舎,愛知県名古屋市中区三の丸２—５—２,愛知県名古屋市中区三の丸２丁目５−２,1349617068,庁舎等,5869.41,1303572483,1960.4.25,所管換,市街化区域,第二種住居地域,60,400,42,事務庁舎,3,2716.57,10033.59,3,0,事務庁舎,ＲＣ,4,1995.70,9312.72,1,1960.12.1,新築,107927,45936655,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,中部経済産業局,明月町公務員宿舎,愛知県名古屋市昭和区明月町１—３１—３,愛知県名古屋市昭和区明月町１丁目３１−３,29493854,宿舎,221.83,29493851,2001.4.1,所属替,市街化区域,第二種中高層住居専用地域,60,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,3,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,近畿経済産業局,近畿経済産業局大阪合同庁舎第１号館,大阪府大阪市中央区大手前１—５—４４,大阪府大阪市中央区大手前１丁目５−４４,5823,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,5823,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,近畿経済産業局,寝屋川公務員宿舎,大阪府寝屋川市成田町７１４—１,大阪府寝屋川市成田町８−１１,122956084,宿舎,1129.15,85465363,2001.4.1,所属替,市街化区域,第一種中高層住居専用地域,60,150,29,宿舎,1,256.22,497.69,31694239,0,宿舎,ＲＣ,2,256.22,497.69,31694239,2001.4.1,所属替,0,5796482,0,0,0,0,0,0,0,0
経済産業省,一般会計,公用財産,中国経済産業局,（中国経済産業局）,広島県広島市中区上八丁堀６番ほか,広島県広島市中区上八丁堀６−３０,1092760,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,1092760,0,0,0,0,0,0,0,0
