省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
国土交通省,一般会計,公用財産,大臣官房会計課,代々木宿舎,東京都渋谷区渋谷区元代々木町３４,東京都渋谷区元代々木町３４−６,553242478,宿舎,940.23,552855240,1959.9.30,引受,市街化区域,第一種低層住居専用地域,60,150,13,宿舎,4,112.03,192.06,34073,0,宿舎,Ｓ,1,64,104,1,1965.3.31,新築,224805,128360,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,中央合同庁舎第３号館,東京都千代田区霞ヶ関２—１—３,東京都千代田区霞ヶ関２−１−３,72352385289,庁舎等,14126.11,66927249002,1966.7.1,所管換,市街化区域,商業地域,80,500,99,その他,6,8275.49,70576.49,4387950237,0,事務庁舎,ＳＲＣ,12,7810.09,70111.09,4361083640,1966.6.1,新築,11633769,134198052,0,0,7,891354229,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,国土交通本省,東京都千代田区霞ヶ関２—１—３,東京都千代田区霞ヶ関２丁目１−３,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,24,0
国土交通省,一般会計,公用財産,大臣官房会計課,上大崎宿舎,東京都品川区上大崎３−３５３−３他４筆,東京都品川区上大崎３丁目１３−３４,43102,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,43102,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,南荻窪住宅,東京都杉並区南荻窪４—２９,東京都杉並区南荻窪４丁目２９,463132152,宿舎,1046.67,436656070,1983.3.30,整理替,市街化区域,第一種住居地域,60,200,46,宿舎,1,282.79,967.4,25570109,40,宿舎,ＲＣ,4,282.79,967.4,25570109,1983.3.30,新築,0,905973,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,柏研修センター,千葉県柏市柏の葉３—１１—３,千葉県柏市柏の葉３丁目１１−３,3893987586,庁舎等,37239.18,2681220960,1999.7.12,所管換,市街化区域,第二種住居地域,60,200,17,事務庁舎　外,4,6333.33,12908.48,999696982,0,研修施設,ＳＲＣ,3,1602.84,4806.07,394204052,1997.2.10,所管換,24211889,188857755,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,中央合同庁舎第３号館,東京都千代田区霞が関２−１−３,東京都千代田区霞が関２−１−３,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,2,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合事務所,東京都小笠原村父島,東京都小笠原村父島字東町,135333982,宿舎,1701.00,77276430,2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,9,宿舎,2,319.36,319.7,50958804,0,宿舎,ＲＣ,2,245.98,247.33,50958803,2011.7.1,所属替（無償）,0,7098748,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合事務所（宿舎）,東京都小笠原村父島,東京都小笠原村父島字宮之浜道,88929388,宿舎,2375.85,68471997,2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,2,宿舎,3,48.71,139.25,13258015,0,宿舎,ＲＣ,1,46.85,137.39,13022475,2011.7.1,所属替（無償）,0,7199376,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合庁舎,東京都小笠原村父島字東町,東京都小笠原村父島字東町,191247901,庁舎,1150.15,52251314,2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,61,事務庁舎,3,495.77,1409.87,135416741,0,事務庁舎,ＲＣ,3,468.64,1382.74,130817812,2011.7.1,所属替（無償）,741030,2838816,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所旭,茨城県つくば市旭１,茨城県つくば市旭１,21420389005,庁舎等,917951.94,14397761669,2001.4.1,所属替,市街化区域,第二種住居地域,60,200,4,事務庁舎　外,70,53044.82,81733.52,2780384183,0,研究本館,ＳＲＣ,9,1710.88,15920.12,588822229,2001.4.1,所属替,110474234,4131768919,0,0,0,0,0,0,218,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所立原,茨城県つくば市立原１,茨城県つくば市立原１,1749543475,庁舎等,21000.50,499475892,2001.4.1,所属替,市街化区域,第二種住居地域,60,200,45,事務庁舎　外,8,4478.90,19151.57,1150613858,0,管理研究本館,ＳＲＣ,8,637.36,5050.60,642810346,2001.4.1,所属替,6363941,93089784,0,0,0,0,0,0,6,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所横須賀,神奈川県横須賀市長瀬３丁目１番１号,神奈川県横須賀市長瀬３丁目１番１号,1714958358,庁舎等,15418.23,693820350,2001.4.1,所属替,市街化区域,工業地域,60,200,31,事務庁舎　外,8,5258.20,9660.29,688483195,0,管理庁舎,ＲＣ,3,1696.85,4844.12,560035355,2004.3.25,新築,1911658,330743155,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,横須賀第二庁舎,神奈川県横須賀市神明町１番１２,神奈川県横須賀市神明町１番１２,621751017,庁舎等,10014.60,360525600,2001.4.1,所属替,市街化区域,第一種住居地域,60,200,18,研修施設,3,1754.06,3643.00,165336586,0,管理研修棟,ＲＣ,2,1034.82,2082.44,101935161,2001.4.1,所属替,1313904,94574927,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土交通大学校,国土交通大学校,東京都小平市喜平町２—２—１,東京都小平市喜平町２丁目２−１,10737251831,庁舎等,61920.18,7430421600,1964.3.27,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,研修施設,15,10279.36,30179.15,2809999428,0,その他,ＲＣ,5,2532.54,11387.88,979127095,1998.3.31,新築,7796330,489034473,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土交通大学校,国土交通大学校小平宿舎,東京都小平市喜平町２—９,東京都小平市喜平町２丁目９−１,471290788,宿舎,3994.52,467358840,1965.3.30,用途変更,市街化区域,第一種中高層住居専用地域,60,200,29,宿舎,5,674.72,2320.91,3699881,0,宿舎,ＲＣ,0,301.48,1205.95,3699877,1965.2.25,新築,84679,147388,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,国土地理院,茨城県つくば市北郷１,茨城県つくば市北郷１,11757807333,庁舎等,182440.59,5601473434,1989.3.8,所管換,市街化区域,第二種住居地域,60,200,14,事務庁舎　外,44,23250.39,52369.66,4464608585,0,研究合同庁舎（本館棟）,ＳＲＣ,6,2770.27,19682.16,2511175947,1976.9.30,所属替,21739555,689145606,2,5020,1,50146986,0,0,1692240.00,930688147
国土交通省,一般会計,公用財産,国土地理院,関東地方測量部,東京都千代田区九段南１丁目１—１５,東京都千代田区九段南１丁目１—１５,771397,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,771397,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,水沢測地観測所,岩手県奥州市水沢区黒石町字内熊ヶ沢４２—２,岩手県奥州市,9044900,庁舎等,52537.00,2364165,1968.6.10,寄附,非線引,都市計画用途地域指定なし,70,200,0,事務庁舎　外,9,263.84,263.84,5874812,0,事務庁舎,ＲＣ,1,106.4,106.4,2346285,1969.2.6,寄附,0,805923,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,水沢測地観測所江刺観測場,岩手県奥州市江刺区米里字戸中１８３—８,岩手県奥州市,15712128,庁舎等,58857.65,1648014,1980.3.28,購入,都市計画区域外,都市計画用途地域指定なし,-,-,-,事務庁舎　外,4,83.55,83.55,5338949,0,記録計室,ＲＣ,1,22.65,22.65,2831648,1980.3.28,新築,8310956,414209,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,鹿野山測地観測所,千葉県君津市鹿野山,千葉県君津市,112532095,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,7,626.05,1170.89,89192811,0,庁舎,ＲＣ,3,498.94,1043.78,82611382,1995.9.19,新築,0,23339284,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,宇宙測地観測場,北海道樺戸郡新十津川町総進２０９—４,北海道樺戸郡新十津川町,4584846,-,0,0,-,-,-,-,-,-,-,その他,2,55.05,55.05,2366089,0,観測室,ＲＣ,1,39.26,39.26,2037005,1981.12.1,新築,0,2218757,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,日本経緯度原点,東京都港区麻布台２丁目１８−１,東京都港区麻布台２丁目２−１,1527716938,その他,2990.93,1516269909,1964.3.31,所管換 外,市街化区域,第二種住居地域,60,300,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,2446399,9000630,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,ＧＰＳ衛星父島追跡局,東京都小笠原村父島字西町７６,東京都小笠原村,25184,庁舎等,54.63,25184,2002.3.1,所管換,非線引,都市計画用途地域指定なし,70,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,父島ＶＬＢＩ観測局,東京都小笠原村父島字洲崎３１,東京都小笠原村,212116014,庁舎等,4887.37,34944695,1997.3.21,所管換,非線引,都市計画用途地域指定なし,70,200,2,その他,1,165.39,204.75,44356658,0,庁舎,ＲＣ,1,165.39,204.75,44356658,1997.6.9,新築,0,132814661,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,石岡ＶＬＢＩ観測局,茨城県石岡市根小屋１２３４,茨城県石岡市根小屋１２３４,938969900,-,0,0,-,-,-,-,-,-,-,その他,2,449.94,413.38,122310587,0,観測局舎,ＲＣ,1,441.69,405.13,118037124,2016.2.29,新築,1018440,815640873,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,御前崎地殻活動観測場,静岡県御前崎市御前崎字手水遣場６２３,静岡県御前崎市御前崎字手水遣場６２３,7220034,-,0,0,-,-,-,-,-,-,-,その他,1,17.25,17.25,165289,0,計測室,Ｂ,1,17.25,17.25,165289,1980.3.31,報告洩,0,7054745,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,御前崎長距離水管傾斜計観測施設,静岡県御前崎市御前崎２８２５—１,静岡県御前崎市御前崎２８２５—１,362619,-,0,0,-,-,-,-,-,-,-,その他,2,12.42,12.42,251674,0,観測小屋（東）,Ｗ,1,6.21,6.21,127165,2003.1.14,新築,0,110945,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,御前崎地中地殻活動観測施設,静岡県御前崎市御前崎字カキ岩３１０５,静岡県御前崎市御前崎字カキ岩３１０５,29634868,-,0,0,-,-,-,-,-,-,-,その他,1,9.72,9.72,1552820,0,観測室,ＲＣ,1,9.72,9.72,1552820,1996.10.31,新築,0,28082048,0,0,0,0,0,0,0,0
