省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,厚生労働本省庁舎,東京都千代田区霞が関１−５,東京都千代田区霞が関１−２−２,1456546,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,3,1456546
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,中央合同庁舎第５号館,東京都千代田区霞が関１−５,東京都千代田区霞が関１−２−２,63846813296,庁舎等,13511.46,57137262048,1983.9.30,所管換,市街化区域,商業地域,80,500,151,事務庁舎,6,6424.30,102530.00,5678108654,0,事務庁舎,ＳＲＣ,26,6178.80,101301.33,5593083056,1983.9.30,新築,15962068,1015480526,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,厚生労働本省庁舎白金台分室,東京都港区白金台２−２−１５４,東京都港区白金台２−６−２１,759105595,庁舎等,951.55,713091570,1947.3.25,購入,市街化区域,第一種中高層住居専用地域,60,200,74,研修施設,1,484.17,1415.63,42483934,0,研修施設,ＲＣ,3,484.17,1415.63,42483934,1980.3.26,新築,415503,3114588,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,心身障害児総合医療療育センター,東京都板橋区小茂根１−２９９８−１,東京都板橋区小茂根１−１−１０,9602145879,庁舎等,40120.97,6860685870,1959.7.20,寄附,市街化区域,第一種中高層住居専用地域,60,200,30,医療施設,22,11446.61,24366.64,2221914314,0,事務庁舎,ＲＣ,3,2719.24,8933.70,761975404,1996.3.27,新築,2261427,517284268,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（清瀬）,東京都清瀬市竹丘３−１２０７−８,東京都清瀬市竹丘３−１−３０,6749512456,庁舎等,59120.40,5143474800,1985.10.18,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,教育施設,12,10639.74,29404.57,1524145359,0,教育施設,ＳＲＣ,6,2581.32,10427.07,462801100,1989.1.31,所管換,8867184,73025113,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（梅園）,東京都清瀬市梅園１−１６８４−６,東京都清瀬市梅園１−２−５０,893653612,庁舎等,8205.46,748023480,1987.12.25,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,教育施設,2,1843.37,3975.18,139366054,0,寄宿舎棟,ＲＣ,2,1145.89,3066.61,96609436,1989.3.24,所管換,631063,5633015,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（前沢）,東京都小平市花小金井４−２０７−５７ほか,東京都小平市花小金井４−３９−１０,321384641,庁舎等,2041.82,266484053,1988.6.29,所管換,市街化区域,第一種低層住居専用地域,40,80,75,教育施設,2,443.16,1225.58,51973984,0,宿泊棟,ＲＣ,3,435.38,1217.80,51776506,1989.9.12,所管換,1222858,1703746,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本点字図書館,東京都新宿区高田馬場１−２１２−５,東京都新宿区高田馬場１−２３−４,458172142,-,0,0,-,-,-,-,-,-,-,図書館,2,928.46,3939.68,431836144,0,図書館,ＳＲＣ,5,678.1,2723.33,296906190,1996.3.28,新築,2302738,24033260,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,昭和館,東京都千代田区九段南１−５−７,東京都千代田区九段南１−６−１,2373696719,-,0,0,-,-,-,-,-,-,-,資料館,1,1444.86,8514.11,2182012834,0,資料館,ＳＲＣ,7,1444.86,8514.11,2182012834,1998.12.25,新築,0,191683885,0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,硫黄島戦没者の碑,東京都小笠原村硫黄島,東京都小笠原村硫黄島,45290570,その他,9076.53,10600974,2006.3.23,購入,非線引,都市計画用途地域指定なし,70,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,456359,34233237,0,0,0,0,0,0,0,0
