省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
宮内庁,一般会計,公用財産,宮内庁管理部,皇居内宿舎,東京都千代田区千代田１—１,東京都千代田区千代田１−１,19200023,-,0,0,-,-,-,-,-,-,-,宿舎　外,2,371.03,675.95,18038876,15,宿舎,ＲＣ,2,304.92,609.84,18038875,1984.3.31,新築,381196,779951,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,宮内庁分室,東京都千代田区三番町６—１８外,東京都千代田区三番町６−１８外,10551012908,庁舎,5767.58,10252203872,1947.5.3,引受 外,市街化区域,第二種住居地域,60,400,9,会議施設　外,7,1274.04,2124.21,240945185,0,会議施設,ＲＣ,2,506.71,911.81,6039929,1965.4.1,種目変更,7183051,50680800,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,赤坂宿舎,東京都港区元赤坂２丁目１０１—１外,東京都港区元赤坂２丁目１−３外,120209859,-,0,0,-,-,-,-,-,-,-,宿舎,9,1264.61,3647.99,84650684,82,宿舎,ＲＣ,4,250.41,911.69,31575111,1976.11.30,新築,0,35559175,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,常盤松宿舎,東京都渋谷区東４丁目１０１—１,東京都渋谷区東４丁目２−１０外,2062728,-,0,0,-,-,-,-,-,-,-,宿舎,3,150.14,150.14,1525805,3,宿舎,Ｂ,1,57.42,57.42,593373,1976.12.20,新築,0,536923,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,高輪宿舎,東京都港区高輪１丁目７０１—２０,東京都港区高輪１丁目１４−１,396841,-,0,0,-,-,-,-,-,-,-,その他,2,116.13,116.13,396835,0,その他,Ｂ,1,62.91,62.91,218568,1973.7.31,新築,0,6,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,新浜宿舎,千葉県市川市新浜２丁目７７３—１,千葉県市川市新浜２丁目５−１,14812387,-,0,0,-,-,-,-,-,-,-,宿舎　外,2,144.97,144.97,14135184,4,宿舎,ＲＣ,1,143.8,143.8,14073108,2001.3.30,新築,0,677203,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,須崎宿舎,静岡県下田市須崎字尾竹５０—１,静岡県下田市須崎字尾竹５０−１,839203,-,0,0,-,-,-,-,-,-,-,宿舎,4,199.53,199.53,267194,3,宿舎,Ｂ,1,54.87,54.87,1,1971.3.29,新築,0,572009,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,那須宿舎,栃木県那須郡那須町大字湯本字石塚２０７—１,栃木県那須郡那須町大字湯本字石塚２０７−１,283735,-,0,0,-,-,-,-,-,-,-,宿舎,3,176.84,176.84,3,0,宿舎,Ｗ,1,64.12,64.12,1,1985.1.23,新築,0,283732,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,宮内庁管理部,東京都千代田区千代田１—１,東京都千代田区千代田１−１,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,162,0
宮内庁,一般会計,公用財産,宮内庁管理部,埼玉鴨場宿舎,埼玉県越谷市北越谷５丁目５３３—２外,埼玉県越谷市北越谷５丁目４−３９,12161273,-,0,0,-,-,-,-,-,-,-,宿舎,1,141.62,141.62,11271462,4,宿舎,ＲＣ,1,141.62,141.62,11271462,1999.3.26,新築,190816,698995,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,御料牧場宿舎,栃木県塩谷郡高根沢町大字上高根沢字台ノ原３２２６,栃木県塩谷郡高根沢町大字上高根沢字台ノ原３２２６,228687906,-,0,0,-,-,-,-,-,-,-,宿舎,1,412.83,759.14,169150441,11,宿舎,ＲＣ,2,412.83,759.14,169150441,2016.3.31,新築,0,59537465,0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,皇居,東京都千代田区千代田１—１,東京都千代田区千代田１−１外,306582552851,その他,1150436.87,297966715603,1947.5.3,引受,市街化区域,第一種住居地域,60,300,3,その他,160,62034.30,107852.26,5725018860,0,その他,ＳＲＣ,2,11852.50,24175.73,3750302370,1968.10.15,新築,429884304,2460934083,1,1,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,赤坂御用地,東京都港区元赤坂２丁目１０１—１外,東京都港区元赤坂２丁目１−８外,176898535875,その他,508920.96,174882449051,1947.5.3,引受,市街化区域,第一種中高層住居専用地域,60,200,2,その他,90,15253.50,22044.87,1063123936,0,その他,ＲＣ,2,3648.90,5555.38,4382922,1960.4.21,新築,100607408,852355479,1,1,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,常盤松御用邸,東京都渋谷区東４丁目１０１—１,東京都渋谷区東４丁目３−２５,15658368997,その他,19854.54,15435222800,1947.5.3,引受,市街化区域,第二種中高層住居専用地域,60,300,3,その他,7,1333.99,1872.08,116788762,0,その他,ＲＣ,2,966.11,1383.60,112743774,1976.11.15,新築,15430035,90927400,0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,須崎御用邸,静岡県下田市須崎字嵐ノ尾１２０６—１外,静岡県下田市須崎字嵐ノ尾１２０６−１,1638502494,その他,384413.22,1399345243,1968.6.27,購入,非線引,都市計画用途地域指定なし,60,200,0,その他,11,2841.82,5232.70,96650116,0,その他,ＲＣ,1,1547.87,3263.66,92094495,1971.10.22,新築,14864244,127642891,0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,御料牧場,栃木県塩谷郡高根沢町大字上高根沢字台ノ原６０２０外,栃木県塩谷郡高根沢町大字上高根沢字台ノ原６０２０,3163506097,その他,2518500.38,1907618063,1970.1.23,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,0,その他,78,17475.56,20521.96,654809042,0,その他,ＲＣ,1,418.08,418.08,179077570,1970.1.23,所管換,41767498,559311494,0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,葉山御用邸,神奈川県三浦郡葉山町一色字打鯖２０３８−１外,神奈川県三浦郡葉山町一色字打鯖２０３８−１外,3235130705,その他,95796.46,2984450369,1947.5.3,引受,市街化区域,第一種低層住居専用地域,40,80,3,その他,19,2992.81,3625.70,159662715,0,その他,ＲＣ,2,1278.95,1426.53,96459342,1981.8.31,新築,8338607,82679014,0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,新浜鴨場,千葉県市川市新浜２丁目７７３—１外,千葉県市川市新浜２丁目５−１,485273226,その他,195832.16,52304408,1947.5.3,引受,市街化調整区域,都市計画用途地域指定なし,40,80,0,その他,19,1062.83,1091.95,58556361,0,その他,Ｗ,2,424.26,440.78,1816555,1947.5.3,引受,4547350,369862945,4,2162,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,埼玉鴨場,埼玉県越谷市大字大林字海道西３９外,埼玉県越谷市大林３９,258751183,その他,116415.57,211395588,1947.5.3,引受,市街化区域,第一種低層住居専用地域,30,60,0,その他,25,1110.76,1110.76,7545075,0,その他,Ｗ,1,281.81,281.81,833911,1947.5.3,引受,20771920,19032681,3,5919,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,那須御用邸,栃木県那須郡那須町大字湯本字石塚２０７—１外,栃木県那須郡那須町大字湯本字石塚２０７−１,432499914,その他,6625665.10,172789145,1947.5.3,引受,非線引,都市計画用途地域指定なし,20,40,0,その他,24,5661.68,6953.20,162357669,0,その他,Ｗ,3,1946.18,2840.94,20179532,1947.5.3,引受,6754615,73201944,0,0,0,0,1056.99,17396541,0,0
