省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
文部科学省,一般会計,公用財産,文部科学本省,研究交流センター,茨城県つくば市竹園２丁目２０−５,茨城県つくば市竹園２丁目２０−５,1499768199,庁舎等,12628.98,1398280665,1990.5.25,所管換,市街化区域,商業地域,80,400,7,試験研究施設,1,1555.60,3663.63,94618210,0,試験研究施設,ＲＣ,3,1555.60,3663.63,94618210,1975.11.11,新築,2938373,3930951,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,外国人研究者宿泊施設,茨城県つくば市松代１丁目２４−１,茨城県つくば市松代１−２４,443192276,庁舎等,8314.09,364157142,1987.7.1,購入,市街化区域,第一種中高層住居専用地域,60,200,16,試験研究施設,12,2228.16,2802.48,76965827,0,試験研究施設,ＲＣ,2,185.68,233.54,6426612,1987.7.1,所管換,873752,1195555,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,中央合同庁舎第７号館,東京都千代田区霞が関３丁目９４外,東京都千代田区霞が関３丁目２−２,184754479460,庁舎等,20001.56,150806321975,2004.12.22,権利変換,市街化区域,商業地域,70,1000,93,事務庁舎,5,13279.00,188013.26,29315587843,0,事務庁舎,ＳＲＣ,33,5907.91,117200.69,17498400485,2007.9.28,帰属,31953827,4583535492,0,0,0,0,0,0,1886.00,17080323
文部科学省,一般会計,公用財産,文部科学本省,タイムカプセルＥＸＰＯ’７０,大阪府大阪市中央区大阪城１−１,大阪府大阪市中央区大阪城１,24068655,庁舎等,36,248176,1971.5.27,所管換,市街化区域,第二種住居地域,80,200,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,23820479,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,文部科学省資料保管所,東京都文京区白山２丁目１４２−８,東京都文京区白山２丁目３１−４,285203446,庁舎等,437.05,201455575,1996.4.12,用途変更,市街化区域,第一種住居地域,60,300,45,事務庁舎　外,1,226.48,595.79,80599022,0,書庫,ＲＣ,2,226.48,595.79,80599022,1997.3.19,新築,1991727,1157122,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,久里浜宿舎,神奈川県横須賀市久里浜６丁目６４２−１５　外,神奈川県横須賀市久里浜６−１１−３,33354,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,33354,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,大雪青年の家旭町宿舎,北海道上川郡美瑛町旭町２丁目３７４番地,北海道上川郡美瑛町旭町２丁目３７４番地,73548934,宿舎,2167.85,16096286,2001.4.1,所属替,非線引,第一種低層住居専用地域,40,60,75,宿舎,4,425.85,995,49816918,14,宿舎,ＲＣ,3,244.97,639.04,29984309,2001.4.1,所属替,0,7635730,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,磐梯青年の家宿舎,福島県耶麻郡猪苗代町西６４−１,福島県耶麻郡猪苗代町字町西６４−１,38618901,-,0,0,-,-,-,-,-,-,-,宿舎　外,2,310.63,995.03,38379589,10,宿舎,ＲＣ,4,303.38,987.78,38085816,2001.4.1,所属替,0,239312,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,中央青年の家玉穂宿舎,静岡県御殿場市中畑５１９−１４,静岡県御殿場市中畑５１９−１３,169714164,宿舎,3032.66,111444189,2001.4.1,所属替,市街化調整区域,都市計画用途地域指定なし,60,200,16,宿舎,1,348.3,984.66,52097221,11,宿舎,ＲＣ,3,348.3,984.66,52097221,2001.4.1,所属替,0,6172754,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,淡路青年の家宿舎,兵庫県南あわじ市５６９−１,兵庫県南あわじ市阿万西町５６９−１,8294522,-,0,0,-,-,-,-,-,-,-,宿舎,7,641.63,641.63,7913078,10,宿舎,ＲＣ,1,96.04,96.04,1333702,2001.4.1,所属替,0,381444,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,江田島青年の家宿舎,広島県江田島市江田島町中央一丁目１７９５５−５,広島県江田島市江田島町中央一丁目１５−６,49701339,宿舎,1352.64,18011754,2001.4.1,所属替,非線引,第一種住居地域,60,200,30,宿舎,3,301.45,813.15,30163055,5,宿舎,ＲＣ,3,271.25,782.95,29879731,2001.4.1,所属替,589114,937416,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,阿蘇青年の家宿舎,熊本県阿蘇市一の宮町坂梨３０３５−３,熊本県阿蘇市一の宮町坂梨３０３５−３,27318760,-,0,0,-,-,-,-,-,-,-,宿舎,2,140.19,546.27,26995271,8,宿舎,ＲＣ,5,135.36,541.44,26291441,2001.4.1,所属替,0,323489,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,沖縄青年の家宿舎,沖縄県島尻郡渡嘉敷村字渡嘉敷７４,沖縄県島尻郡渡嘉敷村字渡嘉敷７４,82062930,-,0,0,-,-,-,-,-,-,-,宿舎,3,554.46,1099.81,75784718,16,宿舎,ＲＣ,2,266.61,528.85,37786364,2001.4.1,所属替,0,6278212,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,日高少年自然の家宿舎,北海道沙流郡日高町若葉町１丁目９９番３,北海道沙流郡日高町若葉町１丁目９９番３,22782303,-,0,0,-,-,-,-,-,-,-,宿舎,4,478.53,860.31,22712795,13,宿舎,Ｂ,2,141.26,278.57,7226996,2001.4.1,所属替,0,69508,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,花山少年自然の家宿舎,宮城県栗原市字本沢北の前１０２−３,宮城県栗原市字本沢北の前１０２−３,15693569,-,0,0,-,-,-,-,-,-,-,宿舎,10,667.37,667.37,14906611,10,宿舎,Ｂ,1,85.61,85.61,2828345,2001.4.1,所属替,0,786958,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,那須甲子少年自然の家上野原宿舎,福島県西白河郡西郷村大字小田倉字上野原３８６,福島県西白河郡西郷村大字小田倉字上野原３８６,38496486,宿舎,1144.51,12721228,2001.4.1,所属替,非線引,第一種住居地域,60,200,27,宿舎,1,207.87,623.61,24843574,18,宿舎,ＲＣ,3,207.87,623.61,24843574,2001.4.1,所属替,0,931684,0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,妙高少年自然の家宿舎,新潟県妙高市大字関山字大坪２１１８−１　外,新潟県妙高市大字関山２１１８−１,48725853,-,0,0,-,-,-,-,-,-,-,宿舎,3,300.51,811.73,47597209,7,宿舎,ＲＣ,3,283.55,794.77,46897900,2001.4.1,所属替,0,1128644,0,0,0,0,0,0,0,0
