省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府本府,東京都千代田区永田町１丁目６２−１　外,東京都千代田区永田町１丁目６−１,44083475159,庁舎等,16852.21,42299268814,1963.3.29,所管換 外,市街化区域,商業地域,80,500,22,事務庁舎　外,3,2671.42,19013.39,1336887891,0,事務庁舎,ＲＣ,6,2616.52,18481.38,1053151266,1962.10.15,新築,3075574,444242880,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,迎賓館,東京都港区元赤坂２丁目１０１番１　外,東京都港区元赤坂２−１,68068554331,庁舎等,117062.19,66916400395,1968.2.16,所管換,市街化区域,第一種中高層住居専用地域,60,200,10,事務庁舎　外,25,9679.24,24688.99,486850443,0,本館,石造,2,5153.71,15378.51,11754121,1968.2.16,所管換,320357176,344946317,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区北の丸公園３−２,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,1,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府三軒茶屋宿舎,東京都世田谷区下馬２—３６—２,東京都世田谷区下馬２丁目３６−２,1441136881,宿舎,2422.53,1304144800,1956.2.8,所管換,市街化区域,第一種中高層住居専用地域,60,200,67,宿舎,2,698.35,3250.97,125299645,95,宿舎,ＲＣ,0,655.05,3207.67,124985460,1995.2.6,所管換,2809484,8882952,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府柏宿舎,千葉県柏市八幡町２—２０,千葉県柏市八幡町２−２０,188890550,宿舎,2021.36,151747537,1973.11.27,所管換,市街化区域,第一種低層住居専用地域,50,100,67,宿舎,3,506.6,1356.68,34573359,35,宿舎,ＲＣ,0,470.64,1320.72,34281520,1975.3.13,新築,822926,1746728,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府山手宿舎,神奈川県横浜市中区山手町４番１　外１筆,神奈川県横浜市中区山手町４番１　外１筆,660026337,宿舎,2552.85,625759697,1976.3.11,所管換,市街化区域,第一種低層住居専用地域,40,80,76,宿舎,2,671.94,1561.67,27648098,0,宿舎,ＲＣ,3,630.54,1520.27,27116651,1977.3.22,新築,6197369,421173,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区永田町１−６−１,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,2,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区永田町１丁目６−１,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,2,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,立川防災合同庁舎,東京都立川市緑町３５６７,東京都立川市緑町３５６７番地,5043224338,庁舎等,14403.11,4508173430,1987.3.13,所管換,市街化調整区域,都市計画用途地域指定なし,40,50,114,事務庁舎　外,4,2825.64,8225.70,409665727,0,庁舎,ＲＣ,3,1789.02,5100.64,286987148,1998.3.27,新築,5428278,119956903,0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区,東京都千代田区,18897613,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,18897613,0,0,0,0,0,0,0,0
