省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,中央合同庁舎第１号館,東京都千代田区霞が関１—２—１,東京都千代田区霞が関１丁目２−１,91680090604,庁舎等,19167.64,89229197728,1965.7.8,所管換,市街化区域,商業地域,80,500,77,事務庁舎　外,8,9168.06,74676.50,1383561809,0,事務庁舎,ＳＲＣ,8,4712.58,36581.44,82263909,1954.9.30,新築,26563776,1040767291,0,0,0,0,0,0,12,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,中央合同庁舎第１号館,東京都千代田区霞ヶ関１−２−２,東京都千代田区霞ヶ関１−２−２,2067642000,庁舎等,466,2067642000,2014.4.30,所管換（無償）,市街化区域,商業地域,80,500,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,農林水産省分庁舎,東京都千代田区九段南２—１—５,東京都千代田区九段南２丁目１−５,4017191149,庁舎等,2489.00,4014277632,1925.4.1,引受,市街化区域,第二種住居地域,60,400,7,事務庁舎　外,5,567.28,712.01,2886552,0,車庫,ＲＣ,1,220.5,220.5,2886548,1981.3.29,新築,9785,17180,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,農林水産省青山分室,東京都港区南青山５丁目２８５番,東京都港区南青山５丁目２８５番,4798897835,庁舎等,3211.06,4798171359,1972.3.21,所属替,市街化区域,第二種中高層住居専用地域,60,300,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,726476,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,深川寮,東京都江東区塩浜１−２−６,東京都江東区塩浜１丁目４−４４,536423590,宿舎,1293.41,452693500,2007.4.1,所属替,市街化区域,準工業地域,60,300,26,宿舎,1,258.82,1032.48,77530902,40,宿舎,ＲＣ,4,258.82,1032.48,77530902,2007.4.1,所属替,0,6199188,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,浦和寮,埼玉県さいたま市浦和区岸町５—９１番外,埼玉県さいたま市浦和区岸町５丁目１６−６,305602481,宿舎,1064.35,247170807,2007.4.1,所属替,市街化区域,第一種住居地域,60,200,35,宿舎,2,346.61,765.97,58328462,37,宿舎,ＲＣ,3,315.42,734.78,57972454,1993.11.12,新築,0,103212,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,南青山寮,東京都港区南青山５丁目２８５番,東京都港区南青山５丁目７−１１,673652,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,673652,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,柏宿舎,千葉県柏市根戸字高野台４６７—８,千葉県柏市根戸字高野台４６７−８,99738716,宿舎,988.07,64787749,1990.3.19,所管換,市街化区域,工業地域,60,200,41,宿舎,1,276.4,829.2,30687073,34,宿舎,ＲＣ,3,276.4,829.2,30687073,1990.3.28,新築,0,4263894,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,港南台住宅,神奈川県横浜市港南区日野６—８５６—３外,神奈川県横浜市港南区日野６丁目１１−３１,369545156,宿舎,2442.90,320821171,2001.3.30,所管換,市街化区域,第一種中高層住居専用地域,60,150,32,宿舎,3,322.51,1197.39,48461041,61,宿舎,ＲＣ,4,295.36,1170.24,48279778,1992.2.20,新築,168863,94081,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,農林水産省大臣官房参事官（経理）,溝の口寮,神奈川県川崎市高津区久本２—４—４外,神奈川県川崎市高津区久本２丁目４−４,1223527200,宿舎,6816.60,1124739000,1987.3.31,所管換,市街化区域,工業地域,60,200,25,宿舎,4,737.6,3526.15,95001078,142,宿舎,ＲＣ,5,284.71,1400.31,47935722,1990.4.18,新築,1215871,2571251,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,消費・安全局,多賀城宿舎,宮城県多賀城市中央２丁目,宮城県多賀城市中央２丁目１６−１１,62714858,宿舎,908.81,55833651,2001.4.1,所管換,市街化区域,第一種中高層住居専用地域,60,200,29,宿舎,4,160.23,531.63,6609813,8,宿舎,ＲＣ,4,123.8,495.2,6609810,2001.4.1,所管換,0,271394,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター北海道中央農場宿舎,北海道北広島市西の里,北海道北広島市西の里１０９７,102507496,宿舎,25657.84,99347156,2011.9.1,所属替（無償）,市街化調整区域,都市計画用途地域指定なし,70,400,0,宿舎,10,924.37,924.37,1129530,0,宿舎,Ｂ,1,120.73,120.73,1,2011.9.1,所属替（無償）,0,2030810,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター胆振農場宿舎,北海道勇払郡安平町字富岡５００,北海道勇払郡安平町字富岡５００,26977654,宿舎,15263.42,5674939,2011.9.1,所属替（無償）,市街化調整区域,都市計画用途地域指定なし,70,400,1,宿舎,8,815.76,815.76,19544190,0,宿舎,Ｂ,1,120.72,120.72,2893601,2011.9.1,所属替（無償）,0,1758525,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター北海道中央農場後志分場宿舎,北海道虻田郡真狩村字美原２７５,北海道虻田郡真狩村字美原２７５,12036743,宿舎,30391.73,8658603,2011.9.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,400,0,宿舎,9,546.54,546.54,1541222,0,宿舎,Ｂ,1,68.13,68.13,940690,2011.9.1,所属替（無償）,0,1836918,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター十勝農場宿舎,北海道帯広市幸福町東４線２１１−５,北海道帯広市幸福町東４線２１１−５,28665162,宿舎,35027.06,8091250,2011.9.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,400,1,宿舎,32,1618.80,1618.80,18593589,0,宿舎,ＲＣ,1,109.92,109.92,1331966,2011.9.1,所属替（無償）,0,1980323,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター上北農場宿舎,青森県上北郡七戸町字柳平４３−９９,青森県上北郡七戸町字柳平４３−９９,82770407,宿舎,33330.90,66361821,2011.9.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,400,0,宿舎,12,520.05,520.05,10123762,0,宿舎,Ｂ,1,74.16,74.16,1502051,2011.9.1,所属替（無償）,0,6284824,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター嬬恋農場宿舎,群馬県吾妻郡嬬恋村大字田代１０１７−１,群馬県吾妻郡嬬恋村大字田代１０１７−１,87687368,宿舎,28070.84,60211951,2011.9.1,所属替（無償）,非線引,都市計画用途地域指定なし,50,100,2,宿舎,13,819.82,819.82,15165417,0,宿舎,Ｂ,1,95.3,95.3,1064665,2011.9.1,所属替（無償）,0,12310000,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター八岳農場宿舎,長野県茅野市玉川１１４０１—１,長野県茅野市玉川１１４０１−１,4797745,-,0,0,-,-,-,-,-,-,-,宿舎,6,437.57,437.57,4748972,0,宿舎,Ｂ,1,129.29,129.29,2015048,2011.9.1,所属替（無償）,0,48773,0,0,0,0,0,0,0,0
農林水産省,一般会計,公用財産,食料産業局,種苗管理センター雲仙農場宿舎,長崎県雲仙市西郷丁１９２２—１,長崎県雲仙市西郷丁１９２２−１,125468367,宿舎,5411.84,11689574,2011.9.1,所属替（無償）,都市計画区域外,都市計画用途地域指定なし,70,400,7,宿舎,6,665.89,1608.40,104123378,0,宿舎,ＲＣ,1,281.14,824.34,47398084,2011.9.1,所属替（無償）,0,9655415,0,0,0,0,0,0,0,0
