省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,ＦＡＣ１０５４キヤンプ千歳,北海道千歳市祝梅ほか,3274175778,3738331.37,3251770987,0,0,0,22404791,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００６八戸貯油施設,青森県八戸市大字河原木字宇兵エ河原ほか,239700210,27176.36,167255244,819.85,819.85,22820098,963508,48661360,0,0,0,市街化区域,工業専用地域,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０１２三沢対地射爆撃場,青森県三沢市大字天ケ森字天ケ森ほか,174392653,3277571.45,51057996,1021.98,1237.98,69375815,1160752,52798090,0,0,0,非線引,-,-,-
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００１三沢飛行場,青森県三沢市大字三沢字平畑ほか,150134654218,14983004.87,114732915232,342322.26,517100.76,23939733447,226475423,11235530116,0,0,0,非線引,-,-,-
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０７０車力通信所,青森県つがる市豊富町屏風山,68897806,134868.29,68470682,0,0,0,0,427124,0,0,0,都市計画区域外,都市計画用途地域指定なし,70,200
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３００４赤坂プレス・センター,東京都港区六本木,19956791415,26937.87,19814419649,3217.98,14085.29,113997662,0,28374104,0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３１８１硫黄島通信所,東京都小笠原村硫黄島,2680978919,492289.40,75974813,12559.42,19159.99,1203974017,0,1401030089,0,0,0,都市計画区域外,-,-,-
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３１６２由木通信所,東京都八王子市別所,285747696,3890.90,285747696,0,0,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１６府中通信施設,東京都府中市浅間町,1954805136,9929.35,1921825692,725.05,725.05,21152315,2028392,9798737,0,0,0,市街化区域,第一種低層住居専用地域,30,50
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１３横田飛行場,東京都福生市大字熊川ほか,540866901049,6089211.59,493232227986,456985.13,914833.34,33338687114,445513919,13850472030,0,0,0,市街化調整区域,-,-,-
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１９多摩サービス補助施設,東京都稲城市ほか,77244765361,1957190.46,76839297456,11818.44,12827.31,200878450,42442395,162147060,0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６７横浜ノース・ドック,神奈川県横浜市神奈川区瑞穂町ほか,18307043207,425992.09,17701675307,52884.92,57541.21,170098510,247213,435022177,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６６根岸住宅地区,神奈川県横浜市中区寺久保ほか,27139437429,272699.79,26682856349,16305.51,21384.51,361544560,29520267,65516253,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８４相模総合補給廠,神奈川県相模原市中央区矢部新田ほか,129196812370,1963931.77,127667348640,312206.57,331651.85,1149280917,8366805,371816008,0,0,0,市街化区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３１０２相模原住宅地区,神奈川県相模原市南区上鶴間,35412154924,506548.03,34555693509,47534.02,62276.09,728461868,39002762,88996785,0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０７９キャンプ座間,神奈川県座間市座間ほか,138422493643,2274047.50,129290970612,174622.56,259642.23,6855554083,35882833,2240086115,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８３厚木海軍飛行場,神奈川県綾瀬市蓼川ほか,173453828610,2485854.29,130852883969,356165.10,562408.58,25421470940,173364745,17006108956,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３１１７浦郷倉庫地区,神奈川県横須賀市浦郷町,1233944999,179774.17,1057843408,4613.62,4613.62,59836200,0,116265391,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９０吾妻倉庫地区,神奈川県横須賀市箱崎町ほか,13947692576,802255.39,11670598460,9025.91,9227.90,73342408,0,2203751708,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９９横須賀海軍施設,神奈川県横須賀市本町ほか,418475851899,2358325.24,364923420954,446656.99,976449.17,33012132320,131872032,20408426593,0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０８７池子住宅地区及び海軍補助施設,神奈川県逗子市池子ほか,73169230731,2879243.18,54775165432,64015.81,191673.45,12562104535,173495228,5658465536,0,0,0,市街化調整区域,-,-,-
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,ＦＡＣ３０３３木更津飛行場,千葉県木更津市吾妻ほか,19566651439,2099929.49,19220854078,20707.33,24453.61,274955451,0,70841910,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４９所沢通信施設,埼玉県所沢市並木ほか,98436395060,966243.25,98409942526,0,0,0,0,26452534,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,100
財務省,関東財務局,本局,一般会計,普通財産,ＦＡＣ３０４８キャンプ朝霞,埼玉県和光市南ほか,7470300866,115794.23,7410830720,270.25,270.25,17903914,0,41566232,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
