省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,工作物価格　（円）,貸付料　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,月寒公民館敷地,北海道札幌市豊平区月寒中央通７丁目,札幌市,103316597,2287.79,103316597,0,0,0,0,4427792,市街化区域,商業地域,80,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,東小学校敷地,北海道岩見沢市東町２条７丁目１０１１番１,岩見沢市,13615944,4330.58,13615944,0,0,0,0,543848,非線引,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,高層改良住宅敷地,北海道苫小牧市山手町２丁目１０７,苫小牧市,2037513,335.65,2037513,0,0,0,0,29541,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,市立やまて保育園及び市営住宅敷地,北海道苫小牧市山手町２丁目１０６のうち,苫小牧市,582991,96.04,582991,0,0,0,0,8508,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,公営住宅敷地,北海道赤平市茂尻春日町１丁目２番１、２丁目４番１,赤平市,2335947,2233.98,2335947,0,0,0,0,95831,非線引,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,登別小学校敷地,北海道登別市登別本町３丁目２５番７,登別市,2935743,726.97,2935743,0,0,0,0,39385,市街化区域,第二種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,幌別小学校敷地,北海道登別市中央町６丁目１９−２のうち,登別市,70503115,4516.57,70503115,0,0,0,0,690063,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,公営住宅敷地,北海道登別市柏木町１丁目２３−２,登別市,3918788,724.64,3918788,0,0,0,0,40897,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,登別中学校敷地,北海道登別市登別本町１丁目１−８,登別市,453669,713.58,453669,0,0,0,0,44561,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,石狩小学校敷地,北海道石狩市横町５４番２外８筆,石狩市,19190510,5818.66,19190510,0,0,0,0,306260,市街化区域,第一種住居地域,60,200
