省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,最高裁判所庁舎,東京都千代田区隼町９—３,東京都千代田区隼町４−２,87475649202,庁舎等,36624.93,83812856061,1964.3.31,交換,市街化区域,商業地域,80,500,32,事務庁舎　外,6,18105.63,59673.99,3243951744,0,事務庁舎,ＳＲＣ,6,4040.29,11348.22,933353176,1974.3.28,新築,52129901,342321488,0,0,0,0,0,0,197,24390008
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,司法研修所庁舎,埼玉県和光市南２—１５３５—１６,埼玉県和光市南２丁目３−８,13099581365,庁舎等,64680.65,7616793344,1993.1.27,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,46,事務庁舎　外,21,16409.80,60113.76,4834719547,0,研修施設,ＲＣ,7,2244.09,15179.88,973735612,1994.3.15,所管換,113277672,534790802,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,裁判所職員総合研修所庁舎,埼玉県和光市南２—１５３５—２８,埼玉県和光市南２丁目３−５,10537496283,庁舎等,40925.00,4692460206,2001.3.30,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,48,研修施設　外,14,10866.30,40077.25,4680271729,0,研修施設,ＳＲＣ,6,2508.36,10833.36,1348392421,2004.2.26,所管換,18695096,1146069252,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,司法研修所別館,埼玉県和光市南２−１５３５−２０,埼玉県和光市南２−３−５,5872464630,庁舎等,18952.71,748336816,2009.4.1,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,53,研修施設,8,6469.40,20240.33,3539284779,0,研修施設,ＳＲＣ,4,3140.53,10817.48,1986744687,2013.9.13,新築,13901760,1570941275,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都新宿区,東京都新宿区,2583207121,宿舎,3837.15,2566232199,1947.12.19,購入,市街化区域,第一種中高層住居専用地域,60,300,10,宿舎　外,6,1036.25,1251.46,156822,0,宿舎,Ｗ,1,798.8,980.95,1,1947.12.19,購入,15841410,976690,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都文京区,東京都文京区,468161730,宿舎,988.92,458957772,1950.3.24,購入,非線引,第一種低層住居専用地域,60,150,15,宿舎　外,5,236.7,236.7,7546792,1,宿舎,ＲＣ,1,210.52,210.52,7320267,1977.3.26,新築,753704,903462,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都品川区,東京都品川区,600587715,宿舎,1644.18,590188276,1950.5.11,購入,市街化区域,第一種低層住居専用地域,60,150,8,宿舎　外,2,221.87,221.87,6578225,1,宿舎,ＳＲＣ,1,208.09,208.09,6578224,1976.3.15,新築,218520,3602694,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都品川区,東京都品川区,8499138,-,0,0,-,-,-,-,-,-,-,宿舎　外,3,228.77,228.77,6578226,1,宿舎,ＲＣ,1,208.09,208.09,6578224,1976.3.15,新築,317782,1603130,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都目黒区,東京都目黒区,768510614,宿舎,1435.91,754908143,1951.6.15,購入,市街化区域,第一種中高層住居専用地域,60,200,8,宿舎　外,2,232.01,232.01,11315759,1,宿舎,ＲＣ,1,224.54,224.54,11219343,1985.10.31,新築,1572709,714003,0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都目黒区,東京都目黒区,22044156,-,0,0,-,-,-,-,-,-,-,宿舎　外,2,160.58,244.97,15854931,1,宿舎,ＲＣ,2,153.07,237.46,15740428,1985.10.31,新築,1329692,4859533,0,0,0,0,0,0,0,0
