省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
参議院,一般会計,公用財産,参議院事務局管理部,参議院庁舎,東京都千代田区永田町１—２—１,東京都千代田区永田町１丁目７−１,121264099393,庁舎等,51041.85,116996086896,1947.5.3,所管換,市街化区域,商業地域,80,500,20,事務庁舎　外,18,12250.91,52117.38,1961773635,0,本館,ＳＲＣ,3,6487.52,28353.91,18078709,1947.5.3,所管換,42813070,2263425792,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,議員会館,東京都千代田区永田町２—１２—２,東京都千代田区永田町２丁目１−１,85131204931,庁舎等,28337.69,60239130930,1984.10.1,整理替,市街化区域,商業地域,80,500,66,事務庁舎　外,4,9314.39,94130.65,17556379387,0,議員棟・駐車場棟,ＳＲＣ,12,9300.66,94113.65,17542138691,2010.6.30,新築,75318720,7260375894,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,第二別館,東京都千代田区永田町１—１５—１,東京都千代田区永田町１丁目１１−１６,23065773751,庁舎等,10064.64,20512541491,1951.3.31,購入,市街化区域,商業地域,80,500,63,事務庁舎　外,5,3820.64,31942.67,1943898542,0,第二別館南棟,ＳＲＣ,9,1711.71,16537.73,627049535,1984.10.1,整理替,11684872,597648846,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,麹町議員宿舎,東京都千代田区麹町４—７—１外,東京都千代田区麹町４−７,14671688081,庁舎等,10905.78,12639185245,1948.1.26,購入,市街化区域,第二種住居地域,60,400,60,事務庁舎　外,3,4262.71,26403.48,1892305216,0,議員宿舎,ＳＲＣ,9,4232.34,25651.08,1837513373,1983.9.30,新築,4673024,135524596,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,清水谷議員宿舎,東京都千代田区紀尾井町１—２０,東京都千代田区紀尾井町１−１５,5931568892,庁舎等,3862.33,5710068672,1952.5.12,購入,市街化区域,第二種住居地域,60,300,44,事務庁舎　外,3,1013.76,5116.16,152747843,0,議員宿舎,ＲＣ,7,1006.47,5108.87,152747841,1969.12.25,新築,1084496,67667881,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,議長公邸,東京都千代田区永田町２—２０—３６外,東京都千代田区永田町２丁目１８−２,44679225113,宿舎,20360.46,44591719960,1960.7.1,所管換,市街化区域,商業地域,80,500,2,宿舎,7,1544.92,2324.08,7708210,1,宿舎,ＲＣ,2,1244.98,1855.36,5757706,1961.7.25,新築,32141340,47655603,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,副議長公邸,東京都港区麻布永坂町２５—１外,東京都港区麻布永坂町２５,5322683755,宿舎,4752.92,5062677302,1950.2.28,購入,市街化区域,近隣商業地域,80,400,7,宿舎,4,1077.64,1399.64,241218070,1,宿舎,ＲＣ,2,643.59,852.26,173693399,1993.5.30,所管換,2946810,15841573,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,諏訪町職員宿舎,東京都新宿区高田馬場１—１３９—１,東京都新宿区高田馬場１丁目４−１,567877369,宿舎,1566.41,564305169,1949.1.20,購入,市街化区域,第一種中高層住居専用地域,60,300,11,宿舎,5,299.7,550.46,55549,15,宿舎,Ｓ,2,86.5,149.19,1,1962.12.25,新築,1010715,2505936,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,瀬田第二職員宿舎,東京都世田谷区瀬田４—３３８—５,東京都世田谷区瀬田４丁目５−１９,457626502,宿舎,972.62,418226600,1988.9.26,用途変更,市街化区域,第一種中高層住居専用地域,60,200,55,宿舎,2,281,1078.87,39271545,14,宿舎,ＲＣ,4,274.45,1072.32,39051643,1989.9.4,新築,0,128357,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,第一永田寮,東京都千代田区永田町１—１５—１,東京都千代田区永田町１丁目１１−１６,769732057,宿舎,375.18,764646854,1984.10.23,用途変更,市街化区域,商業地域,80,500,18,宿舎,2,177.88,351.1,4152527,15,宿舎,ＲＣ,2,173.19,346.41,4152526,1984.10.23,用途変更,0,932676,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,調布寮,東京都調布市佐須町４—２—７外,東京都調布市佐須町４丁目２−８,584057190,宿舎,2852.19,556390964,1964.6.5,交換,市街化区域,第一種低層住居専用地域,40,80,32,宿舎,2,284.97,753.33,23580041,19,宿舎,ＲＣ,3,265.53,733.89,23580040,1972.3.30,新築,42896,4043289,0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,麹町議員宿舎附属職員宿舎,東京都千代田区麹町４—７—１外,東京都千代田区麹町４−７,16452942,-,0,0,-,-,-,-,-,-,-,宿舎,1,174.08,174.08,15959712,2,宿舎,ＲＣ,0,174.08,174.08,15959712,1997.7.15,所管換,0,493230,0,0,0,0,0,0,0,0
