省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
総務省,一般会計,公用財産,総務省大臣官房会計課,総務本省,東京都千代田区霞が関二丁目３−１,東京都千代田区霞が関２−１−２,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,21,0
総務省,一般会計,公用財産,総務省大臣官房会計課,国分寺宿舎,東京都国分寺市本多３丁目１５６番３２、１５６番９１、１５６番９２,東京都国分寺市本多３丁目１９−１５,396178428,宿舎,1728.22,352843764,1992.3.2,所属替,市街化区域,第一種低層住居専用地域,50,80,63,宿舎,6,348.5,882.6,42565836,26,宿舎,ＲＣ,3,292.46,826.56,41793823,1992.12.22,新築,145688,623140,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,情報通信政策研究所,東京都国分寺市泉町２丁目１０２−３,東京都国分寺市泉町２−１１−１６,3706561200,庁舎,14546.92,2312960280,2001.1.1,所属替,市街化区域,第二種住居地域,60,200,26,事務庁舎　外,4,3531.00,7705.93,1096971322,0,研修所,ＳＲＣ,3,2843.96,5752.77,860438459,2004.2.27,所管換,14168675,282460923,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,総務省目白寮,東京都豊島区高田２丁目１３７０番１,東京都豊島区高田２丁目１７−４,559363795,宿舎,945.36,307113431,1992.1.20,所管換,市街化区域,第一種住居地域,60,400,69,宿舎,1,531.87,2630.30,247902308,68,宿舎,ＲＣ,7,531.87,2630.30,247902308,1996.3.25,所管換,418045,3930011,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,中央合同庁舎第２号館,東京都千代田区霞が関二丁目３−１,東京都千代田区霞が関２−１−２,90422156558,庁舎等,16842.25,67042125612,2001.3.30,所管換,市街化区域,商業地域,80,500,149,事務庁舎,8,6288.79,125778.41,20148536638,0,事務庁舎,ＳＲＣ,21,5676.95,114653.88,18745239242,2000.12.1,新築,10751979,3220742329,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,足立小台宿舎,東京都足立区小台二丁目７６２番１,東京都足立区小台２−２５−１０,498328013,宿舎,1558.53,324392434,2003.4.1,所属替,市街化区域,近隣商業地域,80,300,48,宿舎,6,587.06,2287.46,166696499,30,宿舎,ＲＣ,5,425.1,2125.50,158310572,2003.4.1,所属替,657585,6581495,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,小金井本町宿舎,東京都小金井市本町五丁目２７６２番地１,東京都小金井市本町５−４１−３０,626224554,宿舎,2105.29,475820803,2003.4.1,所属替,市街化区域,第一種中高層住居専用地域,60,200,56,宿舎,4,680.62,2363.50,146058309,32,宿舎,ＲＣ,4,584.32,2267.20,140062126,2003.4.1,所属替,936960,3408482,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,世田谷代田宿舎,東京都世田谷区代田一丁目４０３番地１,東京都世田谷区代田１−３６−８,302608892,宿舎,537.65,242662951,2003.4.1,所属替,市街化区域,第一種低層住居専用地域,50,150,58,宿舎,1,191.12,471.22,57858597,20,宿舎,ＲＣ,3,191.12,471.22,57858597,2003.4.1,所属替,260482,1826862,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,平和祈念展示資料館,東京都新宿区西新宿２−６−１,東京都新宿区西新宿２−６−１,5304795,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,5304795,0,0,0,0,0,0,0,0
総務省,一般会計,公用財産,総務省大臣官房会計課,総務省行政管理局長崎分室,長崎県長崎市昭和３−２５６−９,長崎県長崎市昭和３−２５６−９,140856896,庁舎等,1329.23,49118530,2014.7.23,所管換（無償）,市街化区域,第一種住居地域,60,200,80,事務庁舎,2,518.32,2133.56,86504169,0,事務庁舎,ＲＣ,4,500.32,2115.56,85869722,2014.7.23,所管換（無償）,1015844,4218353,0,0,0,0,0,0,0,0
