省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道浦河郡浦河町堺町西１丁目８３番５,10006240,640.93,10006240,0,0,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市東区苗穂町８丁目９番８,52496847,2572.67,52482468,0,0,0,0,14379,0,0,0,市街化区域,工業地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市東区北２８条東２丁目７８０番１外,572135954,6387.67,206960508,1764.69,5965.19,361803255,739123,2633068,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２条西１４丁目２番、南３条西１４丁目２番,361765117,2948.26,358523156,336.22,336.22,3079842,144827,17292,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２条西１４丁目１番１外,485663826,3834.51,466295590,546.01,947.13,17406534,1345201,616501,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２条西１４丁目１番３,85491411,675.22,82110128,124.51,124.51,2197403,1076050,107830,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２条西１４丁目１番２,74860370,599.19,72864499,123.97,123.97,842596,1093344,59931,0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２０条西１２丁目８７０番１、８７１番２,187193311,2362.27,180647511,355.69,796.17,6295646,250126,28,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南２０条西１２丁目８７０番１、８７１番２,2048320,0,0,6.78,138.58,2048313,0,7,0,0,0,-,-,-,-
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,-,北海道札幌市中央区南１４条西１８丁目３４番４,109641643,1236.70,93182871,300.92,1290.50,15132553,0,1326219,0,0,0,市街化区域,準住居地域,60,300
