省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
衆議院,一般会計,公用財産,衆議院事務局庶務部,衆議院,東京都千代田区永田町１—１４,東京都千代田区永田町１丁目７−１,121800676650,庁舎等,50554.91,115879942505,1956.12.5,所管換,市街化区域,商業地域,80,500,18,事務庁舎　外,18,11856.39,47887.00,1663222607,0,議事堂,ＳＲＣ,3,6869.42,25110.84,54194213,1947.5.3,所管換,36439398,4221072140,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第二議員会館,東京都千代田区永田町２—１２—３,東京都千代田区永田町２丁目１−２,59127420135,庁舎等,18897.20,38785255784,1947.12.27,購入,市街化区域,商業地域,80,500,96,事務庁舎,2,5970.15,91458.11,15829818671,0,議員事務室,ＳＲＣ,12,5967.31,91455.54,15827857263,2010.6.30,新築,24783202,4487562478,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,自動車置場,東京都千代田区永田町１—４６—１,東京都千代田区永田町１−３,20888780972,庁舎等,7079.16,20854454969,1949.7.28,所管換,市街化区域,商業地域,80,500,1,事務庁舎　外,2,632.87,632.87,26319372,0,防災倉庫,Ｓ,1,497.15,497.15,24563637,2003.3.7,新築,946240,7060391,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,議員会館附属,東京都千代田区永田町１—１９—２,東京都千代田区永田町１,3201681371,庁舎等,1426.41,3200450381,1950.3.31,所管換,市街化区域,商業地域,80,500,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,98729,1132261,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第一議員会館,東京都千代田区永田町２—１—７９,東京都千代田区永田町２丁目２−１,85125426842,庁舎等,26407.83,57633583728,1949.7.28,所管換,市街化区域,商業地域,80,500,84,事務庁舎,4,11657.97,111814.84,20131146838,0,議員事務室,ＳＲＣ,12,11647.55,111804.69,20123632266,2010.6.30,新築,35962537,7324733739,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第二別館,東京都千代田区永田町１—５０—６,東京都千代田区永田町１丁目６−３,29947072659,庁舎等,12049.57,27407277146,1948.6.26,購入,市街化区域,商業地域,80,500,71,事務庁舎　外,3,5232.48,43354.38,1670123014,0,事務局庁舎,ＳＲＣ,9,4081.27,36459.22,1535714528,1979.7.10,新築,5076061,864596438,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,赤坂議員宿舎,東京都港区赤坂２—１７０８,東京都港区赤坂２丁目１７−１０,14807541033,庁舎等,9583.26,8011605360,1947.12.27,購入,市街化区域,商業地域,80,400,151,事務庁舎　外,1,3589.97,57943.07,5784814174,0,議員宿舎,ＲＣ,28,3589.97,57943.07,5784814174,2007.3.31,新築,16554891,994566608,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,九段議員宿舎,東京都千代田区富士見２—５—１,東京都千代田区富士見２丁目１４−３,9307786966,庁舎等,8737.71,9299562228,1949.7.30,購入,市街化区域,第一種住居地域,60,400,0,-,0,0,0,0,0,-,-,-,0,0,0,-,-,5862961,2361777,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,副議長公邸,東京都港区赤坂８—３２３,東京都港区赤坂８丁目１１−４０,10903707142,宿舎,5316.72,10795918963,1949.10.7,購入,市街化区域,商業地域,80,500,3,宿舎,6,716.92,930.3,52067726,1,宿舎,ＳＲＣ,2,562.23,742.56,49085117,1982.3.25,新築,3190774,52529679,0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,事務局分室,東京都千代田区一番町２２—１２,東京都千代田区一番町２２−１２,2849373524,庁舎等,2059.17,2848449861,1950.3.31,購入,市街化区域,第二種住居地域,60,400,5,事務庁舎　外,4,341.87,474.1,4,0,会議施設,ＲＣ,2,267.76,399.99,1,1951.9.5,新築,788973,134686,0,0,0,0,0,0,0,0
