省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市東区北４２条東１８丁目５６５番５０８　外１筆,94632902,1999.85,94632902,市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区中の島２条５丁目１０番　外１筆,16329934,354.29,16329934,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区中の島２条５丁目７番　外２筆,349786020,9402.85,349786020,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区平岸２条１２丁目２３番のうち,130255631,2783.24,130255631,市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区羊ヶ丘７番２,16505113,15646.83,16505113,市街化調整区域,都市計画用途地域指定なし,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区美園９条８丁目２番１,313961216,4269.49,313961216,市街化区域,準住居地域,60,300,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区中ノ沢４丁目３番４１、同番４２,11103285,467.31,11103285,市街化区域,第一種低層住居専用地域,40,80,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区中ノ沢４丁目３番４６、同番４７,12572366,529.14,12572366,市街化区域,第一種低層住居専用地域,40,80,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区定山渓温泉西４丁目３５７番５　外１筆,12540320,1485.00,12540320,市街化区域,商業地域,80,400,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区澄川２条３丁目１３３番２１　外４筆,180909927,2700.39,180909927,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区澄川２条３丁目１４０番４０,11266990,158.69,11266990,市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区真駒内本町２丁目１７番８１のうち,750064560,25512.40,750064560,市街化区域,第一種住居地域,60,200,国において利用
