省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省本庁舎,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,200394975780,庁舎等,34781.39,199208324341,1947.4.30,所属替,市街化区域,商業地域,80,500,33,事務庁舎　外,8,13162.85,57982.37,209657380,0,庁舎,ＳＲＣ,5,11967.62,56304.77,207454883,1947.4.30,所属替,3571398,973422661,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,大臣官房会計課,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,0,-,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,57,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西早稲田車庫,東京都新宿区西早稲田２−４６−１,東京都新宿区西早稲田２丁目１９−１４,91510660,庁舎等,190.26,85845311,2000.12.1,所管換,市街化区域,第一種中高層住居専用地域,60,100,52,その他,1,99,99,4857495,0,車庫,Ｓ,1,99,99,4857495,2001.3.30,新築,0,807854,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,太子堂車庫,東京都世田谷区太子堂１−１−８６の内,東京都世田谷区太子堂１丁目１３−１５,14273064,庁舎等,30.52,13080261,1984.4.25,所属替,市街化区域,第一種住居地域,60,300,21,その他,1,19.88,19.44,1099460,0,車庫,ＲＣ,1,19.88,19.44,1099460,2006.3.27,新築,0,93343,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務本省研修所,東京都新宿区市谷本村町４２−２２,東京都新宿区市谷本村町８丁目１,5901971892,庁舎等,10813.48,5623009600,2002.11.1,所管換,市街化区域,第二種住居地域,60,300,46,研修施設,10,4088.70,15062.40,272967061,0,寄宿舎,ＲＣ,5,1958.53,8182.10,129518827,1967.3.14,新築,3298509,2696722,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省税関研修所,千葉県柏市柏の葉６−４−２外,千葉県柏市柏の葉６丁目４−２,4976301286,庁舎等,41002.15,4023786992,1991.1.28,所管換,市街化区域,第二種住居地域,60,200,22,研修施設,12,7260.78,18477.60,857673774,0,寄宿舎,ＲＣ,6,1049.94,5949.03,259771534,1989.3.3,新築,26626453,68214067,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省税関研修所別館,千葉県柏市柏の葉６−３−６,千葉県柏市柏の葉６丁目３−６,459098910,庁舎等,3410.05,229155360,1996.11.8,所管換,市街化区域,第二種住居地域,60,200,45,その他,1,904.73,3107.66,179020949,0,寄宿舎棟,ＲＣ,5,904.73,3107.66,179020949,1996.5.27,所管換,3467812,47454789,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,関税中央分析所,千葉県柏市柏の葉６−３−５,千葉県柏市柏の葉６丁目３−５,1899603233,庁舎等,12735.59,1222616640,2002.3.29,所管換,市街化区域,第二種住居地域,60,200,19,試験研究施設,2,1744.95,4841.02,516619952,0,試験研究施設,ＲＣ,3,1725.68,4821.75,510452327,2001.7.2,所管換,4810007,155556634,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,中央合同庁舎第４号館,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,3356492670,-,0,0,-,-,-,-,-,-,-,事務庁舎　外,5,7918.64,61853.45,2406804429,0,庁舎,ＳＲＣ,12,3544.48,53496.16,2405683889,1971.10.1,新築,619385,949068856,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,九段第３合同庁舎,東京都千代田区九段南１−１３−１,東京都千代田区九段南１丁目２−１,8349540042,庁舎,4258.50,5127453238,2007.2.28,所管換,市街化区域,商業地域,80,700,0,事務庁舎　外,2,0,0,2398315379,0,庁舎,ＲＣ,23,0,0,2397845093,2007.2.28,新築,4723633,819047792,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西ヶ原研修合同庁舎,東京都北区西ヶ原２−３−９外,東京都北区西ヶ原２−２−１,1836882522,庁舎等,18971.18,1833844779,2012.3.30,所管換（無償）,市街化区域,第一種住居地域,60,200,0,研修施設,2,46.27,46.27,2,0,寄宿舎,ＲＣ,1,29.75,29.75,1,2012.3.30,所管換（無償）,90909,2946832,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,谷津書庫,千葉県習志野市谷津４−１８６−２,千葉県習志野市谷津４丁目５−３５,196454322,庁舎等,1132.72,136470105,1992.6.5,交換,市街化区域,第一種住居地域,60,200,68,その他,1,633.59,1559.53,54228362,0,書庫,Ｓ,3,633.59,1559.53,54228362,1994.3.31,新築,768612,4987243,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西巣鴨公務員宿舎,東京都豊島区西巣鴨１−２７２１−１９,東京都豊島区西巣鴨１丁目１０−１,148223916,宿舎,344.09,123872400,1953.5.9,購入,市街化区域,第一種中高層住居専用地域,60,300,71,宿舎,1,237.76,734.98,23865266,31,宿舎,ＲＣ,3,237.76,734.98,23865266,1987.3.31,新築,0,486250,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,十条公務員宿舎,東京都北区十条台２−１８９６,東京都北区十条台２丁目４,3378018972,宿舎,12494.36,3353923526,1958.12.11,所管換,市街化区域,第一種住居地域,60,300,20,宿舎,13,1989.37,7756.20,21622670,154,宿舎,ＲＣ,4,277.22,1108.89,1,1960.11.10,新築,1980047,492729,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,弦巻公務員宿舎,東京都世田谷区弦巻５−６６０−４・弦巻５−６０７−９,東京都世田谷区弦巻５丁目３３−８,789808369,宿舎,1884.81,728290584,1972.8.10,交換,市街化区域,第一種中高層住居専用地域,60,200,38,宿舎,1,550.91,1467.71,57517231,37,宿舎,ＳＲＣ,3,550.91,1467.71,57517231,1973.3.30,新築,92469,3908085,0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,高井戸公務員宿舎,東京都杉並区高井戸東４−１９０４−７７外１筆,東京都杉並区高井戸東４丁目５−６,469806328,宿舎,1273.89,441723905,1975.7.23,所属替,市街化区域,準住居地域,60,300,20,宿舎,1,301.14,792.64,27048364,17,宿舎,ＳＲＣ,3,301.14,792.64,27048364,1975.10.31,新築,102149,931910,0,0,0,0,0,0,0,0
