省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
外務省,一般会計,公用財産,外務省大臣官房会計課,外務本省,東京都千代田区霞が関２−２−１,東京都千代田区霞が関２−２−１,"172,209,653,728",庁舎等,"34,423.73","168,833,249,208",1948.11.11,所管換,市街化区域,商業地域,80,500,46,事務庁舎　外,10,"11,884.84","80,753.53","1,592,912,940",0,事務庁舎,ＳＲＣ,8,"9,888.64","63,114.82","94,619,085",1960.4.25,新築,"4,034,739","1,779,456,841",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,麻布台別館,東京都港区麻布台１−３１３−１５,東京都港区麻布台１−８−１８,"1,230,740,389",庁舎等,750.38,"921,619,717",1953.3.31,購入,市街化区域,第二種住居地域,60,300,72,事務庁舎　外,1,456.58,"1,629.91","274,722,898",0,事務庁舎　外,ＲＣ,3,456.58,"1,629.91","274,722,898",1997.7.29,新築,"1,779,661","32,618,113",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,船橋分室,千葉県船橋市西船７−５５−１,千葉県船橋市西船７−１１−２,"230,076,640",庁舎等,"2,869.26","190,627,500",1941.10.1,購入,市街化区域,第一種中高層住居専用地域,60,200,16,事務庁舎　外,1,549,974.25,"31,882,727",0,事務庁舎,ＲＣ,2,549,974.25,"31,882,727",1973.3.28,新築,0,"7,566,413",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,飯倉別館,東京都港区麻布台１−３１４−４,東京都港区麻布台１−５−３,"14,256,719,854",庁舎等,"9,585.81","13,969,209,196",1968.12.24,購入,市街化区域,第二種住居地域,60,300,22,事務庁舎　外,3,"2,506.01","6,464.03","222,456,136",0,事務庁舎　外,ＲＣ,3,"2,172.70","5,850.50","202,346,367",1971.2.27,新築,"1,180,963","63,873,559",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,目黒住宅,東京都目黒区三田２−３７−１,東京都目黒区三田２−１０−１９,"815,313,952",宿舎,"1,494.84","774,624,200",1984.3.5,所管換,市街化区域,第一種中高層住居専用地域,60,200,27,宿舎,2,276.06,828.18,"25,175,401",34,宿舎,ＲＣ,3,137.86,413.58,"12,747,755",1985.3.27,新築,"9,594","15,504,757",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,外務省研修所,神奈川県相模原市南区相模大野４−４００９−５９,神奈川県相模原市南区相模大野４−２−１,"3,559,839,622",庁舎等,"18,000.28","2,160,033,600",1992.3.5,所管換,市街化区域,第一種中高層住居専用地域,60,200,34,事務庁舎　外,5,"3,875.77","12,405.56","913,038,592",0,事務庁舎　外,ＲＣ,5,"2,941.04","9,857.52","560,171,153",1993.12.20,所管換,"15,419,542","471,347,888",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,池尻大橋寮,東京都目黒区東山３−４８７,東京都目黒区東山３−６−３,"431,210,126",宿舎,640.26,"354,825,689",1992.7.17,所管換,市街化区域,準工業地域,60,300,79,宿舎,2,261.91,"1,528.71","74,984,049",63,宿舎,ＲＣ,7,255.01,"1,521.81","74,493,423",1993.3.31,新築,0,"1,400,388",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,高島平寮,東京都板橋区高島平１−５５−１２,東京都板橋区高島平１−５５−２０,"245,320,386",宿舎,495.96,"170,610,240",1993.9.8,所管換,市街化区域,準住居地域,60,300,68,宿舎,2,280.76,"1,023.90","73,102,589",29,宿舎,ＲＣ,4,276.76,"1,019.90","72,862,585",1995.2.28,新築,0,"1,607,557",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,外務省桜台寮,東京都練馬区桜台３−４４−８,東京都練馬区桜台３−４４−６,"483,330,942",宿舎,"1,258.44","371,983,432",1995.2.1,所管換,市街化区域,第一種中高層住居専用地域,50,150,74,宿舎,1,370.31,"1,403.96","110,013,321",46,宿舎,ＲＣ,4,370.31,"1,403.96","110,013,321",1996.3.29,新築,"324,003","1,010,186",0,0,0,0,0,0,0,0
外務省,一般会計,公用財産,外務省大臣官房会計課,立石在外職員子弟育英寮,東京都葛飾区立石２−１１６２−１,東京都葛飾区立石２−２９−１２,"643,436,960",庁舎等,"1,706.23","396,097,882",1995.7.10,所管換,市街化区域,準工業地域,60,200,70,事務庁舎　外,2,896.84,"2,407.51","212,568,234",0,事務庁舎　外,ＲＣ,1,891.12,"2,401.79","212,282,222",1997.10.31,新築,"966,908","33,803,936",0,0,0,0,0,0,0,0
