省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,理財局,一般会計,普通財産,日本銀行,東京都千代田区霞が関３−１−１,,"21,725,000,000",,,,,,,,,,,"21,725,000,000",
財務省,理財局,一般会計,普通財産,預金保険機構,東京都千代田区霞が関３−１−１,一般勘定,"150,000,000",東日本大震災事業者再生支援勘定,"18,678,078,266",地域経済活性化支援勘定,"2,994,549,306",,,,,,,"21,822,627,572","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は34,799,007,898円である。"
財務省,理財局,一般会計,普通財産,農水産業協同組合貯金保険機構,東京都千代田区霞が関３−１−１,一般勘定,"75,000,000",東日本大震災事業者再生支援勘定,"1,319,878,448",,,,,,,,,"1,394,878,448",
財務省,理財局,一般会計,普通財産,日本中央競馬会,東京都千代田区霞が関３−１−１,一般勘定,"1,111,597,055,995",,,,,,,,,,,"1,111,597,055,995",
財務省,理財局,一般会計,普通財産,国際復興開発銀行,東京都千代田区霞が関３−１−１,,"366,013,079,511",,,,,,,,,,,"366,013,079,511",
財務省,理財局,一般会計,普通財産,国際金融公社,東京都千代田区霞が関３−１−１,,"185,646,809,962",,,,,,,,,,,"185,646,809,962",
財務省,理財局,一般会計,普通財産,国際開発協会,東京都千代田区霞が関３−１−１,,"3,114,416,216,248",,,,,,,,,,,"3,114,416,216,248",
財務省,理財局,一般会計,普通財産,アジア開発銀行,東京都千代田区霞が関３−１−１,,"327,088,467,597",,,,,,,,,,,"327,088,467,597",
財務省,理財局,一般会計,普通財産,アフリカ開発基金,東京都千代田区霞が関３−１−１,,"277,582,247,124",,,,,,,,,,,"277,582,247,124",
財務省,理財局,一般会計,普通財産,米州開発銀行,東京都千代田区霞が関３−１−１,,"151,591,793,820",,,,,,,,,,,"151,591,793,820",
財務省,理財局,一般会計,普通財産,アフリカ開発銀行,東京都千代田区霞が関３−１−１,,"59,574,354,808",,,,,,,,,,,"59,574,354,808",
財務省,理財局,一般会計,普通財産,米州投資公社,東京都千代田区霞が関３−１−１,,"3,840,969,098",,,,,,,,,,,"3,840,969,098",
財務省,理財局,一般会計,普通財産,多数国間投資保証機関,東京都千代田区霞が関３−１−１,,"5,900,939,396",,,,,,,,,,,"5,900,939,396",
財務省,理財局,一般会計,普通財産,日本製鉄株式会社,東京都千代田区霞が関３−１−１,,0,,,,,,,,,,,0,
財務省,理財局,一般会計,普通財産,帝国燃料興業株式会社,東京都千代田区霞が関３−１−１,,"75,457",,,,,,,,,,,"75,457",
財務省,理財局,一般会計,普通財産,南方開発金庫,東京都千代田区霞が関３−１−１,,"3,666,001,378",,,,,,,,,,,"3,666,001,378",
財務省,理財局,一般会計,普通財産,外資金庫,東京都千代田区霞が関３−１−１,,"5,277,197,362",,,,,,,,,,,"5,277,197,362",
財務省,理財局,一般会計,普通財産,欧州復興開発銀行,東京都千代田区霞が関３−１−１,,"168,386,507,244",,,,,,,,,,,"168,386,507,244",
財務省,理財局,一般会計,普通財産,日本私立学校振興・共済事業団,東京都千代田区霞が関３−１−１,助成勘定,"111,460,470,535",,,,,,,,,,,"111,460,470,535","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は117,529,562,108円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　国立公文書館,東京都千代田区霞が関３−１−１,,"4,546,225,813",,,,,,,,,,,"4,546,225,813",
財務省,理財局,一般会計,普通財産,国立研究開発法人　情報通信研究機構,東京都千代田区霞が関３−１−１,一般勘定,"93,860,190,004",,,,,,,,,,,"93,860,190,004","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は96,292,178,033円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　酒類総合研究所,東京都千代田区霞が関３−１−１,,"4,701,772,794",,,,,,,,,,,"4,701,772,794",
財務省,理財局,一般会計,普通財産,国立研究開発法人　物質・材料研究機構,東京都千代田区霞が関３−１−１,,"66,017,534,229",,,,,,,,,,,"66,017,534,229",
財務省,理財局,一般会計,普通財産,国立研究開発法人　防災科学技術研究所,東京都千代田区霞が関３−１−１,,"53,742,020,018",,,,,,,,,,,"53,742,020,018",
財務省,理財局,一般会計,普通財産,国立研究開発法人　放射線医学総合研究所,東京都千代田区霞が関３−１−１,,"27,654,174,698",,,,,,,,,,,"27,654,174,698",
財務省,理財局,一般会計,普通財産,独立行政法人　国立特別支援教育総合研究所,東京都千代田区霞が関３−１−１,,"5,854,354,993",,,,,,,,,,,"5,854,354,993",
財務省,理財局,一般会計,普通財産,独立行政法人　大学入試センター,東京都千代田区霞が関３−１−１,,"11,961,981,681",,,,,,,,,,,"11,961,981,681",
財務省,理財局,一般会計,普通財産,独立行政法人　国立青少年教育振興機構,東京都千代田区霞が関３−１−１,,"86,669,206,058",,,,,,,,,,,"86,669,206,058",
財務省,理財局,一般会計,普通財産,独立行政法人　国立女性教育会館,東京都千代田区霞が関３−１−１,,"2,097,181,192",,,,,,,,,,,"2,097,181,192",
財務省,理財局,一般会計,普通財産,独立行政法人　国立科学博物館,東京都千代田区霞が関３−１−１,,"70,974,875,916",,,,,,,,,,,"70,974,875,916",
財務省,理財局,一般会計,普通財産,独立行政法人　国立美術館,東京都千代田区霞が関３−１−１,,"182,456,416,607",,,,,,,,,,,"182,456,416,607",
財務省,理財局,一般会計,普通財産,独立行政法人　国立文化財機構,東京都千代田区霞が関３−１−１,,"211,784,259,425",,,,,,,,,,,"211,784,259,425",
財務省,理財局,一般会計,普通財産,独立行政法人　教員研修センター,東京都千代田区霞が関３−１−１,,"4,811,579,681",,,,,,,,,,,"4,811,579,681",
財務省,理財局,一般会計,普通財産,独立行政法人　労働安全衛生総合研究所,東京都千代田区霞が関３−１−１,一般勘定,"232,699,622",,,,,,,,,,,"232,699,622","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は9,961,952,121円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　農林水産消費安全技術センター,東京都千代田区霞が関３−１−１,,"7,596,273,380",,,,,,,,,,,"7,596,273,380",
財務省,理財局,一般会計,普通財産,独立行政法人　種苗管理センター,東京都千代田区霞が関３−１−１,,"8,795,318,258",,,,,,,,,,,"8,795,318,258",
財務省,理財局,一般会計,普通財産,独立行政法人　家畜改良センター,東京都千代田区霞が関３−１−１,,"37,853,370,657",,,,,,,,,,,"37,853,370,657",
財務省,理財局,一般会計,普通財産,独立行政法人　水産大学校,東京都千代田区霞が関３−１−１,,"10,201,416,378",,,,,,,,,,,"10,201,416,378",
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業・食品産業技術総合研究機構,東京都千代田区霞が関３−１−１,農業技術研究業務勘定,"236,106,444,083",基礎的研究業務勘定,"8,576,154,726",農業機械化促進業務勘定,"13,951,549,756",,,,,,,"258,634,148,565","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は263,266,936,829円である。"
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業生物資源研究所,東京都千代田区霞が関３−１−１,,"30,321,520,826",,,,,,,,,,,"30,321,520,826",
財務省,理財局,一般会計,普通財産,国立研究開発法人　農業環境技術研究所,東京都千代田区霞が関３−１−１,,"31,891,055,668",,,,,,,,,,,"31,891,055,668",
財務省,理財局,一般会計,普通財産,国立研究開発法人　国際農林水産業研究センター,東京都千代田区霞が関３−１−１,,"7,322,038,681",,,,,,,,,,,"7,322,038,681",
財務省,理財局,一般会計,普通財産,国立研究開発法人　森林総合研究所,東京都千代田区霞が関３−１−１,研究・育種勘定,"43,201,282,501",特定地域整備等勘定,"5,654,955,777",水源林勘定,"865,216,300,581",,,,,,,"914,072,538,859",
財務省,理財局,一般会計,普通財産,国立研究開発法人　水産総合研究センター,東京都千代田区霞が関３−１−１,試験研究・技術開発勘定,"42,585,307,161",海洋水産資源開発勘定,"2,043,143,582",,,,,,,,,"44,628,450,743",
財務省,理財局,一般会計,普通財産,国立研究開発法人　産業技術総合研究所,東京都千代田区霞が関３−１−１,,"301,688,650,597",,,,,,,,,,,"301,688,650,597","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は302,817,649,036円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　製品評価技術基盤機構,東京都千代田区霞が関３−１−１,,"27,265,544,460",,,,,,,,,,,"27,265,544,460",
財務省,理財局,一般会計,普通財産,独立行政法人　交通安全環境研究所,東京都千代田区霞が関３−１−１,一般勘定,"4,925,214,907",,,,,,,,,,,"4,925,214,907","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は14,960,895,873円である。"
財務省,理財局,一般会計,普通財産,国立研究開発法人　海上技術安全研究所,東京都千代田区霞が関３−１−１,,"33,504,146,394",,,,,,,,,,,"33,504,146,394",
財務省,理財局,一般会計,普通財産,国立研究開発法人　港湾空港技術研究所,東京都千代田区霞が関３−１−１,,"10,986,298,062",,,,,,,,,,,"10,986,298,062","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は11,101,090,640円である。"
財務省,理財局,一般会計,普通財産,国立研究開発法人　電子航法研究所,東京都千代田区霞が関３−１−１,,"3,534,734,438",,,,,,,,,,,"3,534,734,438","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は4,585,187,632円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　航海訓練所,東京都千代田区霞が関３−１−１,,"3,427,149,508",,,,,,,,,,,"3,427,149,508",
財務省,理財局,一般会計,普通財産,独立行政法人　海技教育機構,東京都千代田区霞が関３−１−１,,"10,430,498,713",,,,,,,,,,,"10,430,498,713",
財務省,理財局,一般会計,普通財産,独立行政法人　航空大学校,東京都千代田区霞が関３−１−１,,"3,846,118,715",,,,,,,,,,,"3,846,118,715","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は3,924,595,364円である。"
財務省,理財局,一般会計,普通財産,国立研究開発法人　土木研究所,東京都千代田区霞が関３−１−１,,"30,616,895,154",,,,,,,,,,,"30,616,895,154",
財務省,理財局,一般会計,普通財産,国立研究開発法人　建築研究所,東京都千代田区霞が関３−１−１,,"12,849,486,442",,,,,,,,,,,"12,849,486,442",
財務省,理財局,一般会計,普通財産,国立研究開発法人　国立環境研究所,東京都千代田区霞が関３−１−１,,"28,667,289,252",,,,,,,,,,,"28,667,289,252",
財務省,理財局,一般会計,普通財産,独立行政法人　駐留軍等労働者労務管理機構,東京都千代田区霞が関３−１−１,,"847,426,450",,,,,,,,,,,"847,426,450",
財務省,理財局,一般会計,普通財産,独立行政法人　造幣局,東京都千代田区霞が関３−１−１,,"78,597,116,975",,,,,,,,,,,"78,597,116,975",
財務省,理財局,一般会計,普通財産,独立行政法人　国立印刷局,東京都千代田区霞が関３−１−１,,"210,208,340,137",,,,,,,,,,,"210,208,340,137",
財務省,理財局,一般会計,普通財産,独立行政法人　国民生活センター,東京都千代田区霞が関３−１−１,,"7,740,670,674",,,,,,,,,,,"7,740,670,674",
財務省,理財局,一般会計,普通財産,独立行政法人　北方領土問題対策協会,東京都千代田区霞が関３−１−１,一般業務勘定,"288,429,788",,,,,,,,,,,"288,429,788",
財務省,理財局,一般会計,普通財産,独立行政法人　国際交流基金,東京都千代田区霞が関３−１−１,,"73,476,914,958",,,,,,,,,,,"73,476,914,958",
財務省,理財局,一般会計,普通財産,独立行政法人　国際協力機構,東京都千代田区霞が関３−１−１,一般勘定,"52,141,677,382",有償資金協力勘定,"9,267,091,129,793",,,,,,,,,"9,319,232,807,175",
財務省,理財局,一般会計,普通財産,国立研究開発法人　科学技術振興機構,東京都千代田区霞が関３−１−１,一般勘定,"66,967,307,914",文献情報提供勘定,"4,293,963,626",,,,,,,,,"71,261,271,540","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は86,504,154,021円である。"
財務省,理財局,一般会計,普通財産,国立研究開発法人　理化学研究所,東京都千代田区霞が関３−１−１,,"177,298,626,147",,,,,,,,,,,"177,298,626,147",
財務省,理財局,一般会計,普通財産,独立行政法人　日本芸術文化振興会,東京都千代田区霞が関３−１−１,,"232,091,486,353",,,,,,,,,,,"232,091,486,353",
財務省,理財局,一般会計,普通財産,独立行政法人　日本学術振興会,東京都千代田区霞が関３−１−１,一般勘定,"447,723,475",,,,,,,,,,,"447,723,475",
財務省,理財局,一般会計,普通財産,独立行政法人　日本スポーツ振興センター,東京都千代田区霞が関３−１−１,一般勘定,"212,119,819,972",特定業務勘定,"18,777,288,116",,,,,,,,,"230,897,108,088",
財務省,理財局,一般会計,普通財産,国立研究開発法人　宇宙航空研究開発機構,東京都千代田区霞が関３−１−１,,"144,450,842,255",,,,,,,,,,,"144,450,842,255",
財務省,理財局,一般会計,普通財産,独立行政法人　福祉医療機構,東京都千代田区霞が関３−１−１,一般勘定,"17,455,011,472",,,,,,,,,,,"17,455,011,472","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は926,800,148,816円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　国立重度知的障害者総合施設のぞみの園,東京都千代田区霞が関３−１−１,,"13,353,191,599",,,,,,,,,,,"13,353,191,599",
財務省,理財局,一般会計,普通財産,独立行政法人　高齢・障害・求職者雇用支援機構,東京都千代田区霞が関３−１−１,高齢・障害者雇用支援勘定,"12,780,444",障害者職業能力開発勘定,"925,429",障害者雇用納付金勘定,"519,646,945",,,,,,,"533,352,818","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は386,157,133,414円である。"
財務省,理財局,一般会計,普通財産,独立行政法人　労働政策研究・研修機構,東京都千代田区霞が関３−１−１,一般勘定,"242,402,569",,,,,,,,,,,"242,402,569","※当該法人へは、特別会計からも出資が行われており、国有財産の総額は6,135,775,426円である。"
