省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,財務省大臣官房政策金融課,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関３−１−１,国民一般向け業務勘定,"89,695,676,393",信用保険等業務勘定,"250,098,848,719",危機対応円滑化業務勘定,"21,147,233,887",,,,,,,"360,941,758,999","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　農林漁業成長産業化支援機構,東京都千代田区霞が関３−１−１,,"27,154,621,077",,,,,,,,,,,"27,154,621,077",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関３−１−１,農林水産業者向け業務勘定,"118,932,026,386",中小企業者向け融資・証券化支援保証業務勘定,"334,691,099,503",中小企業者向け証券化支援買取業務勘定,"24,803,637,888",国民一般向け業務勘定,"7,469,699,422",,,,,"485,896,463,199","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　国際協力銀行,東京都千代田区霞が関３−２−１外,,"2,436,819,325,834",,,,,,,,,,,"2,436,819,325,834","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は2,472,367,383,103円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,株式会社　商工組合中央金庫,東京都千代田区霞が関３−１−１,,"166,487,559,185",,,,,,,,,,,"166,487,559,185",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,沖縄振興開発金融公庫,東京都千代田区霞が関３−１−１,,"10,640,599,425",,,,,,,,,,,"10,640,599,425","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は78,936,919,689円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,日本たばこ産業株式会社,東京都千代田区霞が関３−１−１,,"3,126,667,292,000",,,,,,,,,,,"3,126,667,292,000",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,日本電信電話株式会社,東京都千代田区霞が関３−１−１,,"3,576,845,673,600",,,,,,,,,,,"3,576,845,673,600",
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,新関西国際空港株式会社,東京都千代田区霞が関３−１−１,,"49,227,182,708",,,,,,,,,,,"49,227,182,708","※当該法人へは、他の特別会計からも出資が行われており、国有財産の総額は580,537,901,090円である。"
財務省,財務省理財局（財投総括課）,財政投融資特別会計,普通財産,預金保険機構,東京都千代田区霞が関３−１−１,地域経済活性化支援勘定,"12,976,380,326",,,,,,,,,,,"12,976,380,326","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は34,799,007,898円である。"
