省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
警察庁,一般会計,公用財産,警察庁長官官房会計課,警察庁（新中央合同庁舎２号館）,東京都千代田区霞が関２—１—２,東京都千代田区霞が関２−１−２,"29,605,906",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"29,605,906",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,東京倉庫００１,東京都新宿区市ヶ谷本村町地内,東京都新宿区市ヶ谷本村町地内,"153,348,687",庁舎等,232.32,"153,331,200",1972.2.15,所属替,市街化区域,第二種住居地域,60,300,43,事務庁舎　外,1,150,300,1,0,倉庫,Ｓ,2,150,300,1,1971.12.9,所管換,0,"17,486",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,警察庁中野第一庁舎,東京都中野区野方１−１６５２−３外１筆,東京都中野区野方１丁目３４−２,"2,114,595,574",庁舎等,"2,935.48","1,353,549,828",1972.3.6,所管換,市街化区域,近隣商業地域,80,400,63,事務庁舎　外,1,934.56,"7,461.94","546,289,296",0,事務庁舎,ＳＲＣ,6,934.56,"7,461.94","546,289,296",1973.3.28,新築,0,"214,756,450",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,警察庁中野第二庁舎,東京都中野区野方１−１６５２−３外１筆,東京都中野区野方１丁目３４−２,"171,266,271",,0,0,,,,,,,,事務庁舎　外,1,378.34,"2,067.96","136,402,278",0,事務庁舎,Ｓ,6,378.34,"2,067.96","136,402,278",1999.3.31,新築,0,"34,863,993",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,一番町庁舎,東京都千代田区一番町６—５,東京都千代田区一番町６−５,"2,933,413,442",庁舎等,"1,288.90","2,657,664,110",1995.4.27,所管換,市街化区域,第二種住居地域,80,500,75,事務庁舎　外,1,592.21,"4,880.09","255,219,089",0,事務庁舎,Ｓ,7,592.21,"4,880.09","255,219,089",1995.4.27,所管換,0,"20,530,243",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,宿舎,東京都港区,東京都港区,"1,423,076,694",宿舎,"1,971.08","1,397,763,786",1967.1.16,所管換,市街化区域,第二種住居地域,60,300,42,宿舎,2,508.24,"2,528.02","16,953,017",30,宿舎,ＲＣ,5,504.56,"2,524.34","16,953,016",1968.4.1,新築,0,"8,359,891",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,宿舎,東京都新宿区,東京都新宿区,"1,274,002,169",宿舎,"1,660.95","1,112,670,405",1958.3.31,所属替,市街化区域,第一種中高層住居専用地域,60,300,40,宿舎,3,583.09,"2,009.04","139,051,457",19,宿舎,ＳＲＣ,4,521.12,"1,947.07","136,454,323",1999.1.20,新築,"3,695,008","18,585,299",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,宿舎,東京都文京区,東京都文京区,"2,347,269,731",宿舎,"4,223.59","1,621,858,560",1948.3.7,所属替,市街化区域,第一種中高層住居専用地域,60,200,72,宿舎,2,"1,487.96","6,095.56","621,827,574",111,宿舎,ＲＣ,5,"1,424.67","6,032.27","618,945,205",2009.3.24,所管換,"5,981,520","97,602,077",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,宿舎,東京都目黒区,東京都目黒区,"313,038,730",宿舎,618.99,"303,057,504",1981.12.8,所属替,市街化区域,第一種低層住居専用地域,60,150,54,宿舎,3,266.58,509.58,"8,341,693",6,宿舎,ＳＲＣ,2,243,486,"8,227,750",1977.3.19,新築,0,"1,639,533",0,0,0,0,0,0,0,0
警察庁,一般会計,公用財産,警察庁長官官房会計課,宿舎,東京都世田谷区,東京都世田谷区,"864,198,701",宿舎,"1,954.69","825,577,004",1974.7.9,所管換,市街化区域,第一種低層住居専用地域,50,100,99,宿舎,6,710.49,"1,954.16","36,789,353",74,宿舎,ＳＲＣ,3,528.16,"1,498.81","30,205,600",1975.7.25,新築,0,"1,832,344",0,0,0,0,0,0,0,0
