省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
国土交通省,一般会計,公用財産,大臣官房会計課,代々木宿舎,東京都渋谷区渋谷区元代々木町３４,東京都渋谷区元代々木町３４−６,"553,242,478",宿舎,940.23,"552,855,240",1959.9.30,引受,市街化区域,第一種低層住居専用地域,60,150,13,宿舎,4,112.03,192.06,"34,073",0,宿舎,Ｓ,1,64,104,1,1965.3.31,新築,"224,805","128,360",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,中央合同庁舎第３号館,東京都千代田区霞ヶ関２—１—３,東京都千代田区霞ヶ関２−１−３,"72,352,385,289",庁舎等,"14,126.11","66,927,249,002",1966.7.1,所管換,市街化区域,商業地域,80,500,99,その他,6,"8,275.49","70,576.49","4,387,950,237",0,事務庁舎,ＳＲＣ,12,"7,810.09","70,111.09","4,361,083,640",1966.6.1,新築,"11,633,769","134,198,052",0,0,7,"891,354,229",0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,国土交通本省,東京都千代田区霞ヶ関２—１—３,東京都千代田区霞ヶ関２丁目１−３,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,24,0
国土交通省,一般会計,公用財産,大臣官房会計課,上大崎宿舎,東京都品川区上大崎３−３５３−３他４筆,東京都品川区上大崎３丁目１３−３４,"43,102",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"43,102",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,南荻窪住宅,東京都杉並区南荻窪４—２９,東京都杉並区南荻窪４丁目２９,"463,132,152",宿舎,"1,046.67","436,656,070",1983.3.30,整理替,市街化区域,第一種住居地域,60,200,46,宿舎,1,282.79,967.4,"25,570,109",40,宿舎,ＲＣ,4,282.79,967.4,"25,570,109",1983.3.30,新築,0,"905,973",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,柏研修センター,千葉県柏市柏の葉３—１１—３,千葉県柏市柏の葉３丁目１１−３,"3,893,987,586",庁舎等,"37,239.18","2,681,220,960",1999.7.12,所管換,市街化区域,第二種住居地域,60,200,17,事務庁舎　外,4,"6,333.33","12,908.48","999,696,982",0,研修施設,ＳＲＣ,3,"1,602.84","4,806.07","394,204,052",1997.2.10,所管換,"24,211,889","188,857,755",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,大臣官房会計課,中央合同庁舎第３号館,東京都千代田区霞が関２−１−３,東京都千代田区霞が関２−１−３,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,2,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合事務所,東京都小笠原村父島,東京都小笠原村父島字東町,"135,333,982",宿舎,"1,701.00","77,276,430",2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,9,宿舎,2,319.36,319.7,"50,958,804",0,宿舎,ＲＣ,2,245.98,247.33,"50,958,803",2011.7.1,所属替（無償）,0,"7,098,748",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合事務所（宿舎）,東京都小笠原村父島,東京都小笠原村父島字宮之浜道,"88,929,388",宿舎,"2,375.85","68,471,997",2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,2,宿舎,3,48.71,139.25,"13,258,015",0,宿舎,ＲＣ,1,46.85,137.39,"13,022,475",2011.7.1,所属替（無償）,0,"7,199,376",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土政策局,小笠原総合庁舎,東京都小笠原村父島字東町,東京都小笠原村父島字東町,"191,247,901",庁舎,"1,150.15","52,251,314",2011.7.1,所属替（無償）,非線引,都市計画用途地域指定なし,70,200,61,事務庁舎,3,495.77,"1,409.87","135,416,741",0,事務庁舎,ＲＣ,3,468.64,"1,382.74","130,817,812",2011.7.1,所属替（無償）,"741,030","2,838,816",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所旭,茨城県つくば市旭１,茨城県つくば市旭１,"21,420,389,005",庁舎等,"917,951.94","14,397,761,669",2001.4.1,所属替,市街化区域,第二種住居地域,60,200,4,事務庁舎　外,70,"53,044.82","81,733.52","2,780,384,183",0,研究本館,ＳＲＣ,9,"1,710.88","15,920.12","588,822,229",2001.4.1,所属替,"110,474,234","4,131,768,919",0,0,0,0,0,0,218,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所立原,茨城県つくば市立原１,茨城県つくば市立原１,"1,749,543,475",庁舎等,"21,000.50","499,475,892",2001.4.1,所属替,市街化区域,第二種住居地域,60,200,45,事務庁舎　外,8,"4,478.90","19,151.57","1,150,613,858",0,管理研究本館,ＳＲＣ,8,637.36,"5,050.60","642,810,346",2001.4.1,所属替,"6,363,941","93,089,784",0,0,0,0,0,0,6,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,国土技術政策総合研究所横須賀,神奈川県横須賀市長瀬３丁目１番１号,神奈川県横須賀市長瀬３丁目１番１号,"1,714,958,358",庁舎等,"15,418.23","693,820,350",2001.4.1,所属替,市街化区域,工業地域,60,200,31,事務庁舎　外,8,"5,258.20","9,660.29","688,483,195",0,管理庁舎,ＲＣ,3,"1,696.85","4,844.12","560,035,355",2004.3.25,新築,"1,911,658","330,743,155",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土技術政策総合研究所,横須賀第二庁舎,神奈川県横須賀市神明町１番１２,神奈川県横須賀市神明町１番１２,"621,751,017",庁舎等,"10,014.60","360,525,600",2001.4.1,所属替,市街化区域,第一種住居地域,60,200,18,研修施設,3,"1,754.06","3,643.00","165,336,586",0,管理研修棟,ＲＣ,2,"1,034.82","2,082.44","101,935,161",2001.4.1,所属替,"1,313,904","94,574,927",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土交通大学校,国土交通大学校,東京都小平市喜平町２—２—１,東京都小平市喜平町２丁目２−１,"10,737,251,831",庁舎等,"61,920.18","7,430,421,600",1964.3.27,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,研修施設,15,"10,279.36","30,179.15","2,809,999,428",0,その他,ＲＣ,5,"2,532.54","11,387.88","979,127,095",1998.3.31,新築,"7,796,330","489,034,473",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土交通大学校,国土交通大学校小平宿舎,東京都小平市喜平町２—９,東京都小平市喜平町２丁目９−１,"471,290,788",宿舎,"3,994.52","467,358,840",1965.3.30,用途変更,市街化区域,第一種中高層住居専用地域,60,200,29,宿舎,5,674.72,"2,320.91","3,699,881",0,宿舎,ＲＣ,0,301.48,"1,205.95","3,699,877",1965.2.25,新築,"84,679","147,388",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,国土地理院,茨城県つくば市北郷１,茨城県つくば市北郷１,"11,757,807,333",庁舎等,"182,440.59","5,601,473,434",1989.3.8,所管換,市街化区域,第二種住居地域,60,200,14,事務庁舎　外,44,"23,250.39","52,369.66","4,464,608,585",0,研究合同庁舎（本館棟）,ＳＲＣ,6,"2,770.27","19,682.16","2,511,175,947",1976.9.30,所属替,"21,739,555","689,145,606",2,"5,020",1,"50,146,986",0,0,"1,692,240.00","930,688,147"
国土交通省,一般会計,公用財産,国土地理院,関東地方測量部,東京都千代田区九段南１丁目１—１５,東京都千代田区九段南１丁目１—１５,"771,397",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"771,397",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,水沢測地観測所,岩手県奥州市水沢区黒石町字内熊ヶ沢４２—２,岩手県奥州市,"9,044,900",庁舎等,"52,537.00","2,364,165",1968.6.10,寄附,非線引,都市計画用途地域指定なし,70,200,0,事務庁舎　外,9,263.84,263.84,"5,874,812",0,事務庁舎,ＲＣ,1,106.4,106.4,"2,346,285",1969.2.6,寄附,0,"805,923",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,水沢測地観測所江刺観測場,岩手県奥州市江刺区米里字戸中１８３—８,岩手県奥州市,"15,712,128",庁舎等,"58,857.65","1,648,014",1980.3.28,購入,都市計画区域外,都市計画用途地域指定なし,,,,事務庁舎　外,4,83.55,83.55,"5,338,949",0,記録計室,ＲＣ,1,22.65,22.65,"2,831,648",1980.3.28,新築,"8,310,956","414,209",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,鹿野山測地観測所,千葉県君津市鹿野山,千葉県君津市,"112,532,095",,0,0,,,,,,,,事務庁舎　外,7,626.05,"1,170.89","89,192,811",0,庁舎,ＲＣ,3,498.94,"1,043.78","82,611,382",1995.9.19,新築,0,"23,339,284",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,宇宙測地観測場,北海道樺戸郡新十津川町総進２０９—４,北海道樺戸郡新十津川町,"4,584,846",,0,0,,,,,,,,その他,2,55.05,55.05,"2,366,089",0,観測室,ＲＣ,1,39.26,39.26,"2,037,005",1981.12.1,新築,0,"2,218,757",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,日本経緯度原点,東京都港区麻布台２丁目１８−１,東京都港区麻布台２丁目２−１,"1,527,716,938",その他,"2,990.93","1,516,269,909",1964.3.31,所管換 外,市街化区域,第二種住居地域,60,300,0,,0,0,0,0,0,,,,0,0,0,,,"2,446,399","9,000,630",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,ＧＰＳ衛星父島追跡局,東京都小笠原村父島字西町７６,東京都小笠原村,"25,184",庁舎等,54.63,"25,184",2002.3.1,所管換,非線引,都市計画用途地域指定なし,70,200,0,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,父島ＶＬＢＩ観測局,東京都小笠原村父島字洲崎３１,東京都小笠原村,"212,116,014",庁舎等,"4,887.37","34,944,695",1997.3.21,所管換,非線引,都市計画用途地域指定なし,70,200,2,その他,1,165.39,204.75,"44,356,658",0,庁舎,ＲＣ,1,165.39,204.75,"44,356,658",1997.6.9,新築,0,"132,814,661",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,石岡ＶＬＢＩ観測局,茨城県石岡市根小屋１２３４,茨城県石岡市根小屋１２３４,"938,969,900",,0,0,,,,,,,,その他,2,449.94,413.38,"122,310,587",0,観測局舎,ＲＣ,1,441.69,405.13,"118,037,124",2016.2.29,新築,"1,018,440","815,640,873",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,御前崎地殻活動観測場,静岡県御前崎市御前崎字手水遣場６２３,静岡県御前崎市御前崎字手水遣場６２３,"7,220,034",,0,0,,,,,,,,その他,1,17.25,17.25,"165,289",0,計測室,Ｂ,1,17.25,17.25,"165,289",1980.3.31,報告洩,0,"7,054,745",0,0,0,0,0,0,0,0
国土交通省,一般会計,公用財産,国土地理院,御前崎長距離水管傾斜計観測施設,静岡県御前崎市御前崎２８２５—１,静岡県御前崎市御前崎２８２５—１,"362,619",,0,0,,,,,,,,その他,2,12.42,12.42,"251,674",0,観測小屋（東）,Ｗ,1,6.21,6.21,"127,165",2003.1.14,新築,0,"110,945",0,0,0,0,0,0,0,0
