省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,厚生労働本省庁舎,東京都千代田区霞が関１−５,東京都千代田区霞が関１−２−２,"1,456,546",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,3,"1,456,546"
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,中央合同庁舎第５号館,東京都千代田区霞が関１−５,東京都千代田区霞が関１−２−２,"63,846,813,296",庁舎等,"13,511.46","57,137,262,048",1983.9.30,所管換,市街化区域,商業地域,80,500,151,事務庁舎,6,"6,424.30","102,530.00","5,678,108,654",0,事務庁舎,ＳＲＣ,26,"6,178.80","101,301.33","5,593,083,056",1983.9.30,新築,"15,962,068","1,015,480,526",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,厚生労働本省庁舎白金台分室,東京都港区白金台２−２−１５４,東京都港区白金台２−６−２１,"759,105,595",庁舎等,951.55,"713,091,570",1947.3.25,購入,市街化区域,第一種中高層住居専用地域,60,200,74,研修施設,1,484.17,"1,415.63","42,483,934",0,研修施設,ＲＣ,3,484.17,"1,415.63","42,483,934",1980.3.26,新築,"415,503","3,114,588",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,心身障害児総合医療療育センター,東京都板橋区小茂根１−２９９８−１,東京都板橋区小茂根１−１−１０,"9,602,145,879",庁舎等,"40,120.97","6,860,685,870",1959.7.20,寄附,市街化区域,第一種中高層住居専用地域,60,200,30,医療施設,22,"11,446.61","24,366.64","2,221,914,314",0,事務庁舎,ＲＣ,3,"2,719.24","8,933.70","761,975,404",1996.3.27,新築,"2,261,427","517,284,268",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（清瀬）,東京都清瀬市竹丘３−１２０７−８,東京都清瀬市竹丘３−１−３０,"6,749,512,456",庁舎等,"59,120.40","5,143,474,800",1985.10.18,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,教育施設,12,"10,639.74","29,404.57","1,524,145,359",0,教育施設,ＳＲＣ,6,"2,581.32","10,427.07","462,801,100",1989.1.31,所管換,"8,867,184","73,025,113",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（梅園）,東京都清瀬市梅園１−１６８４−６,東京都清瀬市梅園１−２−５０,"893,653,612",庁舎等,"8,205.46","748,023,480",1987.12.25,所管換,市街化区域,第一種中高層住居専用地域,60,200,24,教育施設,2,"1,843.37","3,975.18","139,366,054",0,寄宿舎棟,ＲＣ,2,"1,145.89","3,066.61","96,609,436",1989.3.24,所管換,"631,063","5,633,015",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本社会事業大学（前沢）,東京都小平市花小金井４−２０７−５７ほか,東京都小平市花小金井４−３９−１０,"321,384,641",庁舎等,"2,041.82","266,484,053",1988.6.29,所管換,市街化区域,第一種低層住居専用地域,40,80,75,教育施設,2,443.16,"1,225.58","51,973,984",0,宿泊棟,ＲＣ,3,435.38,"1,217.80","51,776,506",1989.9.12,所管換,"1,222,858","1,703,746",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,日本点字図書館,東京都新宿区高田馬場１−２１２−５,東京都新宿区高田馬場１−２３−４,"458,172,142",,0,0,,,,,,,,図書館,2,928.46,"3,939.68","431,836,144",0,図書館,ＳＲＣ,5,678.1,"2,723.33","296,906,190",1996.3.28,新築,"2,302,738","24,033,260",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,昭和館,東京都千代田区九段南１−５−７,東京都千代田区九段南１−６−１,"2,373,696,719",,0,0,,,,,,,,資料館,1,"1,444.86","8,514.11","2,182,012,834",0,資料館,ＳＲＣ,7,"1,444.86","8,514.11","2,182,012,834",1998.12.25,新築,0,"191,683,885",0,0,0,0,0,0,0,0
厚生労働省,一般会計,公用財産,厚生労働省大臣官房会計課,硫黄島戦没者の碑,東京都小笠原村硫黄島,東京都小笠原村硫黄島,"45,290,570",その他,"9,076.53","10,600,974",2006.3.23,購入,非線引,都市計画用途地域指定なし,70,200,0,,0,0,0,0,0,,,,0,0,0,,,"456,359","34,233,237",0,0,0,0,0,0,0,0
