省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
宮内庁,一般会計,公用財産,宮内庁管理部,皇居内宿舎,東京都千代田区千代田１—１,東京都千代田区千代田１−１,"19,200,023",,0,0,,,,,,,,宿舎　外,2,371.03,675.95,"18,038,876",15,宿舎,ＲＣ,2,304.92,609.84,"18,038,875",1984.3.31,新築,"381,196","779,951",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,宮内庁分室,東京都千代田区三番町６—１８外,東京都千代田区三番町６−１８外,"10,551,012,908",庁舎,"5,767.58","10,252,203,872",1947.5.3,引受 外,市街化区域,第二種住居地域,60,400,9,会議施設　外,7,"1,274.04","2,124.21","240,945,185",0,会議施設,ＲＣ,2,506.71,911.81,"6,039,929",1965.4.1,種目変更,"7,183,051","50,680,800",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,赤坂宿舎,東京都港区元赤坂２丁目１０１—１外,東京都港区元赤坂２丁目１−３外,"120,209,859",,0,0,,,,,,,,宿舎,9,"1,264.61","3,647.99","84,650,684",82,宿舎,ＲＣ,4,250.41,911.69,"31,575,111",1976.11.30,新築,0,"35,559,175",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,常盤松宿舎,東京都渋谷区東４丁目１０１—１,東京都渋谷区東４丁目２−１０外,"2,062,728",,0,0,,,,,,,,宿舎,3,150.14,150.14,"1,525,805",3,宿舎,Ｂ,1,57.42,57.42,"593,373",1976.12.20,新築,0,"536,923",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,高輪宿舎,東京都港区高輪１丁目７０１—２０,東京都港区高輪１丁目１４−１,"396,841",,0,0,,,,,,,,その他,2,116.13,116.13,"396,835",0,その他,Ｂ,1,62.91,62.91,"218,568",1973.7.31,新築,0,6,0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,新浜宿舎,千葉県市川市新浜２丁目７７３—１,千葉県市川市新浜２丁目５−１,"14,812,387",,0,0,,,,,,,,宿舎　外,2,144.97,144.97,"14,135,184",4,宿舎,ＲＣ,1,143.8,143.8,"14,073,108",2001.3.30,新築,0,"677,203",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,須崎宿舎,静岡県下田市須崎字尾竹５０—１,静岡県下田市須崎字尾竹５０−１,"839,203",,0,0,,,,,,,,宿舎,4,199.53,199.53,"267,194",3,宿舎,Ｂ,1,54.87,54.87,1,1971.3.29,新築,0,"572,009",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,那須宿舎,栃木県那須郡那須町大字湯本字石塚２０７—１,栃木県那須郡那須町大字湯本字石塚２０７−１,"283,735",,0,0,,,,,,,,宿舎,3,176.84,176.84,3,0,宿舎,Ｗ,1,64.12,64.12,1,1985.1.23,新築,0,"283,732",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,宮内庁管理部,東京都千代田区千代田１—１,東京都千代田区千代田１−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,162,0
宮内庁,一般会計,公用財産,宮内庁管理部,埼玉鴨場宿舎,埼玉県越谷市北越谷５丁目５３３—２外,埼玉県越谷市北越谷５丁目４−３９,"12,161,273",,0,0,,,,,,,,宿舎,1,141.62,141.62,"11,271,462",4,宿舎,ＲＣ,1,141.62,141.62,"11,271,462",1999.3.26,新築,"190,816","698,995",0,0,0,0,0,0,0,0
宮内庁,一般会計,公用財産,宮内庁管理部,御料牧場宿舎,栃木県塩谷郡高根沢町大字上高根沢字台ノ原３２２６,栃木県塩谷郡高根沢町大字上高根沢字台ノ原３２２６,"228,687,906",,0,0,,,,,,,,宿舎,1,412.83,759.14,"169,150,441",11,宿舎,ＲＣ,2,412.83,759.14,"169,150,441",2016.3.31,新築,0,"59,537,465",0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,皇居,東京都千代田区千代田１—１,東京都千代田区千代田１−１外,"306,582,552,851",その他,"1,150,436.87","297,966,715,603",1947.5.3,引受,市街化区域,第一種住居地域,60,300,3,その他,160,"62,034.30","107,852.26","5,725,018,860",0,その他,ＳＲＣ,2,"11,852.50","24,175.73","3,750,302,370",1968.10.15,新築,"429,884,304","2,460,934,083",1,1,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,赤坂御用地,東京都港区元赤坂２丁目１０１—１外,東京都港区元赤坂２丁目１−８外,"176,898,535,875",その他,"508,920.96","174,882,449,051",1947.5.3,引受,市街化区域,第一種中高層住居専用地域,60,200,2,その他,90,"15,253.50","22,044.87","1,063,123,936",0,その他,ＲＣ,2,"3,648.90","5,555.38","4,382,922",1960.4.21,新築,"100,607,408","852,355,479",1,1,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,常盤松御用邸,東京都渋谷区東４丁目１０１—１,東京都渋谷区東４丁目３−２５,"15,658,368,997",その他,"19,854.54","15,435,222,800",1947.5.3,引受,市街化区域,第二種中高層住居専用地域,60,300,3,その他,7,"1,333.99","1,872.08","116,788,762",0,その他,ＲＣ,2,966.11,"1,383.60","112,743,774",1976.11.15,新築,"15,430,035","90,927,400",0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,須崎御用邸,静岡県下田市須崎字嵐ノ尾１２０６—１外,静岡県下田市須崎字嵐ノ尾１２０６−１,"1,638,502,494",その他,"384,413.22","1,399,345,243",1968.6.27,購入,非線引,都市計画用途地域指定なし,60,200,0,その他,11,"2,841.82","5,232.70","96,650,116",0,その他,ＲＣ,1,"1,547.87","3,263.66","92,094,495",1971.10.22,新築,"14,864,244","127,642,891",0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,御料牧場,栃木県塩谷郡高根沢町大字上高根沢字台ノ原６０２０外,栃木県塩谷郡高根沢町大字上高根沢字台ノ原６０２０,"3,163,506,097",その他,"2,518,500.38","1,907,618,063",1970.1.23,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,0,その他,78,"17,475.56","20,521.96","654,809,042",0,その他,ＲＣ,1,418.08,418.08,"179,077,570",1970.1.23,所管換,"41,767,498","559,311,494",0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,葉山御用邸,神奈川県三浦郡葉山町一色字打鯖２０３８−１外,神奈川県三浦郡葉山町一色字打鯖２０３８−１外,"3,235,130,705",その他,"95,796.46","2,984,450,369",1947.5.3,引受,市街化区域,第一種低層住居専用地域,40,80,3,その他,19,"2,992.81","3,625.70","159,662,715",0,その他,ＲＣ,2,"1,278.95","1,426.53","96,459,342",1981.8.31,新築,"8,338,607","82,679,014",0,0,0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,新浜鴨場,千葉県市川市新浜２丁目７７３—１外,千葉県市川市新浜２丁目５−１,"485,273,226",その他,"195,832.16","52,304,408",1947.5.3,引受,市街化調整区域,都市計画用途地域指定なし,40,80,0,その他,19,"1,062.83","1,091.95","58,556,361",0,その他,Ｗ,2,424.26,440.78,"1,816,555",1947.5.3,引受,"4,547,350","369,862,945",4,"2,162",0,0,0,0,0,0
宮内庁,一般会計,皇室用財産,宮内庁管理部,埼玉鴨場,埼玉県越谷市大字大林字海道西３９外,埼玉県越谷市大林３９,"258,751,183",その他,"116,415.57","211,395,588",1947.5.3,引受,市街化区域,第一種低層住居専用地域,30,60,0,その他,25,"1,110.76","1,110.76","7,545,075",0,その他,Ｗ,1,281.81,281.81,"833,911",1947.5.3,引受,"20,771,920","19,032,681",3,"5,919",0,0,0,0,0,0
