省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
文部科学省,一般会計,公用財産,文部科学本省,研究交流センター,茨城県つくば市竹園２丁目２０−５,茨城県つくば市竹園２丁目２０−５,"1,499,768,199",庁舎等,"12,628.98","1,398,280,665",1990.5.25,所管換,市街化区域,商業地域,80,400,7,試験研究施設,1,"1,555.60","3,663.63","94,618,210",0,試験研究施設,ＲＣ,3,"1,555.60","3,663.63","94,618,210",1975.11.11,新築,"2,938,373","3,930,951",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,外国人研究者宿泊施設,茨城県つくば市松代１丁目２４−１,茨城県つくば市松代１−２４,"443,192,276",庁舎等,"8,314.09","364,157,142",1987.7.1,購入,市街化区域,第一種中高層住居専用地域,60,200,16,試験研究施設,12,"2,228.16","2,802.48","76,965,827",0,試験研究施設,ＲＣ,2,185.68,233.54,"6,426,612",1987.7.1,所管換,"873,752","1,195,555",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,中央合同庁舎第７号館,東京都千代田区霞が関３丁目９４外,東京都千代田区霞が関３丁目２−２,"184,754,479,460",庁舎等,"20,001.56","150,806,321,975",2004.12.22,権利変換,市街化区域,商業地域,70,1000,93,事務庁舎,5,"13,279.00","188,013.26","29,315,587,843",0,事務庁舎,ＳＲＣ,33,"5,907.91","117,200.69","17,498,400,485",2007.9.28,帰属,"31,953,827","4,583,535,492",0,0,0,0,0,0,"1,886.00","17,080,323"
文部科学省,一般会計,公用財産,文部科学本省,タイムカプセルＥＸＰＯ’７０,大阪府大阪市中央区大阪城１−１,大阪府大阪市中央区大阪城１,"24,068,655",庁舎等,36,"248,176",1971.5.27,所管換,市街化区域,第二種住居地域,80,200,0,,0,0,0,0,0,,,,0,0,0,,,0,"23,820,479",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,文部科学省資料保管所,東京都文京区白山２丁目１４２−８,東京都文京区白山２丁目３１−４,"285,203,446",庁舎等,437.05,"201,455,575",1996.4.12,用途変更,市街化区域,第一種住居地域,60,300,45,事務庁舎　外,1,226.48,595.79,"80,599,022",0,書庫,ＲＣ,2,226.48,595.79,"80,599,022",1997.3.19,新築,"1,991,727","1,157,122",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,久里浜宿舎,神奈川県横須賀市久里浜６丁目６４２−１５　外,神奈川県横須賀市久里浜６−１１−３,"33,354",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"33,354",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,大雪青年の家旭町宿舎,北海道上川郡美瑛町旭町２丁目３７４番地,北海道上川郡美瑛町旭町２丁目３７４番地,"73,548,934",宿舎,"2,167.85","16,096,286",2001.4.1,所属替,非線引,第一種低層住居専用地域,40,60,75,宿舎,4,425.85,995,"49,816,918",14,宿舎,ＲＣ,3,244.97,639.04,"29,984,309",2001.4.1,所属替,0,"7,635,730",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,磐梯青年の家宿舎,福島県耶麻郡猪苗代町西６４−１,福島県耶麻郡猪苗代町字町西６４−１,"38,618,901",,0,0,,,,,,,,宿舎　外,2,310.63,995.03,"38,379,589",10,宿舎,ＲＣ,4,303.38,987.78,"38,085,816",2001.4.1,所属替,0,"239,312",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,中央青年の家玉穂宿舎,静岡県御殿場市中畑５１９−１４,静岡県御殿場市中畑５１９−１３,"169,714,164",宿舎,"3,032.66","111,444,189",2001.4.1,所属替,市街化調整区域,都市計画用途地域指定なし,60,200,16,宿舎,1,348.3,984.66,"52,097,221",11,宿舎,ＲＣ,3,348.3,984.66,"52,097,221",2001.4.1,所属替,0,"6,172,754",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,淡路青年の家宿舎,兵庫県南あわじ市５６９−１,兵庫県南あわじ市阿万西町５６９−１,"8,294,522",,0,0,,,,,,,,宿舎,7,641.63,641.63,"7,913,078",10,宿舎,ＲＣ,1,96.04,96.04,"1,333,702",2001.4.1,所属替,0,"381,444",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,江田島青年の家宿舎,広島県江田島市江田島町中央一丁目１７９５５−５,広島県江田島市江田島町中央一丁目１５−６,"49,701,339",宿舎,"1,352.64","18,011,754",2001.4.1,所属替,非線引,第一種住居地域,60,200,30,宿舎,3,301.45,813.15,"30,163,055",5,宿舎,ＲＣ,3,271.25,782.95,"29,879,731",2001.4.1,所属替,"589,114","937,416",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,阿蘇青年の家宿舎,熊本県阿蘇市一の宮町坂梨３０３５−３,熊本県阿蘇市一の宮町坂梨３０３５−３,"27,318,760",,0,0,,,,,,,,宿舎,2,140.19,546.27,"26,995,271",8,宿舎,ＲＣ,5,135.36,541.44,"26,291,441",2001.4.1,所属替,0,"323,489",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,沖縄青年の家宿舎,沖縄県島尻郡渡嘉敷村字渡嘉敷７４,沖縄県島尻郡渡嘉敷村字渡嘉敷７４,"82,062,930",,0,0,,,,,,,,宿舎,3,554.46,"1,099.81","75,784,718",16,宿舎,ＲＣ,2,266.61,528.85,"37,786,364",2001.4.1,所属替,0,"6,278,212",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,日高少年自然の家宿舎,北海道沙流郡日高町若葉町１丁目９９番３,北海道沙流郡日高町若葉町１丁目９９番３,"22,782,303",,0,0,,,,,,,,宿舎,4,478.53,860.31,"22,712,795",13,宿舎,Ｂ,2,141.26,278.57,"7,226,996",2001.4.1,所属替,0,"69,508",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,花山少年自然の家宿舎,宮城県栗原市字本沢北の前１０２−３,宮城県栗原市字本沢北の前１０２−３,"15,693,569",,0,0,,,,,,,,宿舎,10,667.37,667.37,"14,906,611",10,宿舎,Ｂ,1,85.61,85.61,"2,828,345",2001.4.1,所属替,0,"786,958",0,0,0,0,0,0,0,0
文部科学省,一般会計,公用財産,文部科学本省,那須甲子少年自然の家上野原宿舎,福島県西白河郡西郷村大字小田倉字上野原３８６,福島県西白河郡西郷村大字小田倉字上野原３８６,"38,496,486",宿舎,"1,144.51","12,721,228",2001.4.1,所属替,非線引,第一種住居地域,60,200,27,宿舎,1,207.87,623.61,"24,843,574",18,宿舎,ＲＣ,3,207.87,623.61,"24,843,574",2001.4.1,所属替,0,"931,684",0,0,0,0,0,0,0,0
