省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
内閣官房,一般会計,公用財産,内閣総務官室,内閣総務官室,東京都千代田区永田町２—３—１,東京都千代田区永田町２−３−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,0
内閣官房,一般会計,公用財産,内閣総務官室,内閣官房副長官補,東京都千代田区永田町１—６—１,東京都千代田区永田町１−６−１,"497,367,226",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"497,367,226",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣総務官室,旧速記者養成所（仮称）,東京都千代田区霞が関３丁目４８番１,東京都千代田区霞が関３丁目４８番１,"1,378,525,671",その他,426.8,"1,378,269,508",2009.6.26,所管換,市街化区域,商業地域,80,700,0,,0,0,0,0,0,,,,0,0,0,,,0,"256,163",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター本庁舎,東京都新宿区市ヶ谷本村町４２番,東京都新宿区市ヶ谷本村町４２番,"6,570,769,827",庁舎等,"4,783.26","2,496,861,720",2002.11.1,所管換,市街化区域,第二種住居地域,60,300,96,事務庁舎,2,"2,478.18","13,788.80","2,801,535,836",0,庁舎,ＳＲＣ,5,"2,461.21","13,771.83","2,797,507,909",2002.3.30,新築,"19,252,072","1,253,120,199",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター副センター庁舎,茨城県行方市三和二ノ間２１０７番６外,茨城県行方市三和二ノ間２１０７番６外,"3,010,523,200",庁舎等,"97,673.47","274,169,430",2002.3.19,所属替,非線引,都市計画用途地域指定なし,70,400,2,事務庁舎,7,"4,829.45","9,102.30","1,312,855,727",0,庁舎,ＲＣ,2,"4,237.90","8,502.87","1,209,924,757",2001.10.31,新築,"21,302,599","1,402,195,444",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター副センターコリメーション,茨城県行方市三和二ノ間２１０９番４,茨城県行方市三和二ノ間２１０９番４,"46,018,279",その他,529.81,"573,784",2002.3.19,所属替,非線引,都市計画用途地域指定なし,70,400,0,その他,1,20,20,"2,676,057",0,その他,ＲＣ,1,20,20,"2,676,057",2001.10.31,新築,0,"42,768,438",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター北受信管制局庁舎,北海道苫小牧市静川１２番１０,北海道苫小牧市静川１２番１０,"1,277,616,268",庁舎等,"87,196.29","303,268,696",2002.3.19,所属替,市街化区域,工業専用地域,60,200,1,事務庁舎,7,"1,506.01","2,650.73","421,497,770",0,庁舎,ＲＣ,2,"1,174.38","2,331.84","335,347,807",2001.10.31,新築,"429,372","552,420,430",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター南受信管制局庁舎,鹿児島県阿久根市鶴川大迫９２０２番外,鹿児島県阿久根市鶴川大迫９２０２番外,"1,195,792,126",庁舎等,"89,956.10","253,406,333",2002.3.19,所属替 外,非線引 外,都市計画用途地域指定なし,70,400,0,事務庁舎,5,"1,583.53","2,605.20","428,627,429",0,庁舎,ＲＣ,2,"1,174.38","2,332.84","309,156,359",2001.12.20,新築,"4,327,821","509,430,543",0,0,0,0,0,0,0,0
内閣官房,一般会計,公用財産,内閣衛星情報センター管理部,内閣衛星情報センター南受信管制局コリメーション,鹿児島県阿久根市山下字坂元５２２６番１４,鹿児島県阿久根市山下字坂元５２２６番１４,"31,844,051",その他,"1,000.00","808,000",2002.3.19,所属替,都市計画区域外,都市計画用途地域指定なし,70,400,0,その他,1,20,20,"3,314,123",0,その他,ＲＣ,1,20,20,"3,314,123",2001.12.20,新築,0,"27,721,928",0,0,0,0,0,0,0,0
内閣法制局,一般会計,公用財産,内閣法制局長官総務室会計課,内閣法制局長官総務室会計課,東京都千代田区霞が関３—１—１,東京都千代田区霞が関３−１−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,2,0
