省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府本府,東京都千代田区永田町１丁目６２−１　外,東京都千代田区永田町１丁目６−１,"44,083,475,159",庁舎等,"16,852.21","42,299,268,814",1963.3.29,所管換 外,市街化区域,商業地域,80,500,22,事務庁舎　外,3,"2,671.42","19,013.39","1,336,887,891",0,事務庁舎,ＲＣ,6,"2,616.52","18,481.38","1,053,151,266",1962.10.15,新築,"3,075,574","444,242,880",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,迎賓館,東京都港区元赤坂２丁目１０１番１　外,東京都港区元赤坂２−１,"68,068,554,331",庁舎等,"117,062.19","66,916,400,395",1968.2.16,所管換,市街化区域,第一種中高層住居専用地域,60,200,10,事務庁舎　外,25,"9,679.24","24,688.99","486,850,443",0,本館,石造,2,"5,153.71","15,378.51","11,754,121",1968.2.16,所管換,"320,357,176","344,946,317",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区北の丸公園３−２,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府三軒茶屋宿舎,東京都世田谷区下馬２—３６—２,東京都世田谷区下馬２丁目３６−２,"1,441,136,881",宿舎,"2,422.53","1,304,144,800",1956.2.8,所管換,市街化区域,第一種中高層住居専用地域,60,200,67,宿舎,2,698.35,"3,250.97","125,299,645",95,宿舎,ＲＣ,0,655.05,"3,207.67","124,985,460",1995.2.6,所管換,"2,809,484","8,882,952",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府柏宿舎,千葉県柏市八幡町２—２０,千葉県柏市八幡町２−２０,"188,890,550",宿舎,"2,021.36","151,747,537",1973.11.27,所管換,市街化区域,第一種低層住居専用地域,50,100,67,宿舎,3,506.6,"1,356.68","34,573,359",35,宿舎,ＲＣ,0,470.64,"1,320.72","34,281,520",1975.3.13,新築,"822,926","1,746,728",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府山手宿舎,神奈川県横浜市中区山手町４番１　外１筆,神奈川県横浜市中区山手町４番１　外１筆,"660,026,337",宿舎,"2,552.85","625,759,697",1976.3.11,所管換,市街化区域,第一種低層住居専用地域,40,80,76,宿舎,2,671.94,"1,561.67","27,648,098",0,宿舎,ＲＣ,3,630.54,"1,520.27","27,116,651",1977.3.22,新築,"6,197,369","421,173",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区永田町１−６−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,2,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区永田町１—６—１,東京都千代田区永田町１丁目６−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,2,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,立川防災合同庁舎,東京都立川市緑町３５６７,東京都立川市緑町３５６７番地,"5,043,224,338",庁舎等,"14,403.11","4,508,173,430",1987.3.13,所管換,市街化調整区域,都市計画用途地域指定なし,40,50,114,事務庁舎　外,4,"2,825.64","8,225.70","409,665,727",0,庁舎,ＲＣ,3,"1,789.02","5,100.64","286,987,148",1998.3.27,新築,"5,428,278","119,956,903",0,0,0,0,0,0,0,0
内閣府本府,一般会計,公用財産,内閣府大臣官房会計課,内閣府庁舎,東京都千代田区,東京都千代田区,"18,897,613",,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,"18,897,613",0,0,0,0,0,0,0,0
