省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,ＦＡＣ１０５４キヤンプ千歳,北海道千歳市祝梅ほか,"3,274,175,778","3,738,331.37","3,251,770,987",0,0,0,"22,404,791",0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００６八戸貯油施設,青森県八戸市大字河原木字宇兵エ河原ほか,"239,700,210","27,176.36","167,255,244",819.85,819.85,"22,820,098","963,508","48,661,360",0,0,0,市街化区域,工業専用地域,60,200
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０１２三沢対地射爆撃場,青森県三沢市大字天ケ森字天ケ森ほか,"174,392,653","3,277,571.45","51,057,996","1,021.98","1,237.98","69,375,815","1,160,752","52,798,090",0,0,0,非線引,,,
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２００１三沢飛行場,青森県三沢市大字三沢字平畑ほか,"150,134,654,218","14,983,004.87","114,732,915,232","342,322.26","517,100.76","23,939,733,447","226,475,423","11,235,530,116",0,0,0,非線引,,,
財務省,東北財務局,青森財務事務所,一般会計,普通財産,ＦＡＣ２０７０車力通信所,青森県つがる市豊富町屏風山,"68,897,806","134,868.29","68,470,682",0,0,0,0,"427,124",0,0,0,都市計画区域外,都市計画用途地域指定なし,70,200
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３００４赤坂プレス・センター,東京都港区六本木,"19,956,791,415","26,937.87","19,814,419,649","3,217.98","14,085.29","113,997,662",0,"28,374,104",0,0,0,市街化区域,第二種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,一般会計,普通財産,ＦＡＣ３１８１硫黄島通信所,東京都小笠原村硫黄島,"2,680,978,919","492,289.40","75,974,813","12,559.42","19,159.99","1,203,974,017",0,"1,401,030,089",0,0,0,都市計画区域外,,,
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３１６２由木通信所,東京都八王子市別所,"285,747,696","3,890.90","285,747,696",0,0,0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１６府中通信施設,東京都府中市浅間町,"1,954,805,136","9,929.35","1,921,825,692",725.05,725.05,"21,152,315","2,028,392","9,798,737",0,0,0,市街化区域,第一種低層住居専用地域,30,50
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１３横田飛行場,東京都福生市大字熊川ほか,"540,866,901,049","6,089,211.59","493,232,227,986","456,985.13","914,833.34","33,338,687,114","445,513,919","13,850,472,030",0,0,0,市街化調整区域,,,
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,ＦＡＣ３０１９多摩サービス補助施設,東京都稲城市ほか,"77,244,765,361","1,957,190.46","76,839,297,456","11,818.44","12,827.31","200,878,450","42,442,395","162,147,060",0,0,0,市街化区域,第一種低層住居専用地域,30,60
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６７横浜ノース・ドック,神奈川県横浜市神奈川区瑞穂町ほか,"18,307,043,207","425,992.09","17,701,675,307","52,884.92","57,541.21","170,098,510","247,213","435,022,177",0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０６６根岸住宅地区,神奈川県横浜市中区寺久保ほか,"27,139,437,429","272,699.79","26,682,856,349","16,305.51","21,384.51","361,544,560","29,520,267","65,516,253",0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８４相模総合補給廠,神奈川県相模原市中央区矢部新田ほか,"129,196,812,370","1,963,931.77","127,667,348,640","312,206.57","331,651.85","1,149,280,917","8,366,805","371,816,008",0,0,0,市街化区域,都市計画用途地域指定なし,60,200
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３１０２相模原住宅地区,神奈川県相模原市南区上鶴間,"35,412,154,924","506,548.03","34,555,693,509","47,534.02","62,276.09","728,461,868","39,002,762","88,996,785",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０７９キャンプ座間,神奈川県座間市座間ほか,"138,422,493,643","2,274,047.50","129,290,970,612","174,622.56","259,642.23","6,855,554,083","35,882,833","2,240,086,115",0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,ＦＡＣ３０８３厚木海軍飛行場,神奈川県綾瀬市蓼川ほか,"173,453,828,610","2,485,854.29","130,852,883,969","356,165.10","562,408.58","25,421,470,940","173,364,745","17,006,108,956",0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３１１７浦郷倉庫地区,神奈川県横須賀市浦郷町,"1,233,944,999","179,774.17","1,057,843,408","4,613.62","4,613.62","59,836,200",0,"116,265,391",0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９０吾妻倉庫地区,神奈川県横須賀市箱崎町ほか,"13,947,692,576","802,255.39","11,670,598,460","9,025.91","9,227.90","73,342,408",0,"2,203,751,708",0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０９９横須賀海軍施設,神奈川県横須賀市本町ほか,"418,475,851,899","2,358,325.24","364,923,420,954","446,656.99","976,449.17","33,012,132,320","131,872,032","20,408,426,593",0,0,0,市街化区域,工業地域,60,200
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,ＦＡＣ３０８７池子住宅地区及び海軍補助施設,神奈川県逗子市池子ほか,"73,169,230,731","2,879,243.18","54,775,165,432","64,015.81","191,673.45","12,562,104,535","173,495,228","5,658,465,536",0,0,0,市街化調整区域,,,
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,ＦＡＣ３０３３木更津飛行場,千葉県木更津市吾妻ほか,"19,566,651,439","2,099,929.49","19,220,854,078","20,707.33","24,453.61","274,955,451",0,"70,841,910",0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
