省庁名,部局名,局部所名,会計名,分類種類名,合計価格　（円）,土地数量計　（u）,土地価格計　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格計　（円）,立木竹価格計　（円）,工作物価格計　（円）,政府出資等価格計　（円）,不動産信託受益権価格計　（円）,機械器具価格計　（円）,地上権等数量計,地上権等価格計　（円）
財務省,北海道財務局,本局,一般会計,普通財産,"4,484,221,552","42,578,268.19","4,475,653,679",0,0,0,0,6,"8,567,867",0,0,0,0
財務省,北海道財務局,本局小樽出張所,一般会計,普通財産,"664,251,571","58,377,268.97","664,251,566",300.78,300.78,1,0,4,0,0,0,0,0
財務省,北海道財務局,本局北見出張所,一般会計,普通財産,"391,603,277","22,045,878.22","391,603,277",0,0,0,0,0,0,0,0,0,0
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,"471,120,018","24,927,404.86","471,120,018",0,0,0,0,0,0,0,0,0,0
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,"1,199,320,311","123,586,960.61","1,199,320,309",0,0,0,0,2,0,0,0,0,0
財務省,北海道財務局,帯広財務事務所,一般会計,普通財産,"755,506,409","30,179,557.64","755,479,404",0,0,0,"27,005",0,0,0,0,0,0
財務省,北海道財務局,釧路財務事務所,一般会計,普通財産,"907,900,058","227,248,795.40","905,852,798",0,0,0,0,"2,047,260",0,0,0,0,0
財務省,東北財務局,本局,一般会計,普通財産,"4,907,756,726","1,828,222.88","4,907,756,683",0,0,0,0,43,0,0,0,0,0
財務省,東北財務局,盛岡財務事務所,一般会計,普通財産,"180,730,349","575,069.62","180,730,349",0,0,0,0,0,0,0,0,0,0
財務省,東北財務局,福島財務事務所,一般会計,普通財産,"168,875,457","2,415,812.11","168,845,522",101.45,101.45,3,0,"29,932",0,0,0,0,0
財務省,東北財務局,秋田財務事務所,一般会計,普通財産,"462,518,969","3,392,074.78","462,518,969",0,0,0,0,0,0,0,0,0,0
財務省,東北財務局,青森財務事務所,一般会計,普通財産,"461,059,104","4,108,180.03","461,059,104",0,0,0,0,0,0,0,0,0,0
財務省,東北財務局,山形財務事務所,一般会計,普通財産,"219,069,761","3,024,169.48","219,069,761",0,0,0,0,0,0,0,0,0,0
財務省,関東財務局,東京財務事務所,一般会計,普通財産,"200,868,125,146","5,975,545.42","20,618,085,309","5,866.31","7,017.81",67,0,"3,767,079",0,"180,246,272,691",0,0,0
財務省,関東財務局,東京財務事務所立川出張所,一般会計,普通財産,"5,138,628,366","623,229.31","5,138,384,165",154.93,154.93,3,0,"244,198",0,0,0,0,0
財務省,関東財務局,横浜財務事務所,一般会計,普通財産,"21,753,085,668","1,279,318.54","19,859,197,032","11,693.80","16,850.96","1,760,179,573","316,325","132,126,277",0,0,0,961.35,"1,266,461"
財務省,関東財務局,横浜財務事務所横須賀出張所,一般会計,普通財産,"3,926,248,023","1,742,657.53","3,926,084,056",516.63,516.63,13,0,"163,924",0,0,30,0,0
財務省,関東財務局,千葉財務事務所,一般会計,普通財産,"3,774,762,699","2,463,760.80","3,721,268,519","30,350.26","30,665.56",216,0,"53,493,964",0,0,0,0,0
財務省,関東財務局,甲府財務事務所,一般会計,普通財産,"1,723,189,568","1,083,493.15","1,723,189,561",43.49,43.49,4,0,3,0,0,0,0,0
財務省,関東財務局,本局,一般会計,普通財産,"29,635,641,018","304,852.90","10,242,478,105","6,025.80","6,927.45",14,"122,474","3,856,178","4,282,632,900","15,106,551,347",0,0,0
財務省,関東財務局,水戸財務事務所,一般会計,普通財産,"5,447,857,898","2,899,724.52","5,447,840,201",933.64,"1,009.67",18,"17,651",28,0,0,0,0,0
財務省,関東財務局,宇都宮財務事務所,一般会計,普通財産,"387,737,127","1,778,205.94","387,737,127",0,0,0,0,0,0,0,0,0,0
財務省,関東財務局,前橋財務事務所,一般会計,普通財産,"622,012,635","2,165,883.09","621,731,891","1,373.38","1,389.91",29,0,"280,715",0,0,0,0,0
財務省,関東財務局,長野財務事務所,一般会計,普通財産,"110,833,144","410,135.76","110,833,144",0,0,0,0,0,0,0,0,0,0
財務省,関東財務局,新潟財務事務所,一般会計,普通財産,"685,903,001","3,849,331.86","685,903,000",0,0,0,0,1,0,0,0,0,0
財務省,北陸財務局,本局,一般会計,普通財産,"409,581,844","468,676.87","408,007,475",33.05,52.89,1,"480,882","1,093,486",0,0,0,0,0
財務省,北陸財務局,福井財務事務所,一般会計,普通財産,"121,358,410","201,110.44","120,681,888",0,0,0,"14,010","662,512",0,0,0,0,0
財務省,北陸財務局,富山財務事務所,一般会計,普通財産,"83,315,354","222,766.33","83,315,354",0,0,0,0,0,0,0,0,0,0
財務省,東海財務局,本局,一般会計,普通財産,"1,535,228,721","952,350.96","1,531,946,037",0,0,0,0,1,0,0,0,"2,033,200.00","3,282,683"
財務省,東海財務局,静岡財務事務所,一般会計,普通財産,"418,195,937","99,692.13","418,195,937",0,0,0,0,0,0,0,0,0,0
財務省,東海財務局,静岡財務事務所沼津出張所,一般会計,普通財産,"1,201,488,538","1,775,466.80","1,201,488,537",0,0,0,0,1,0,0,0,0,0
財務省,東海財務局,津財務事務所,一般会計,普通財産,"4,750,315,893","885,298.18","4,750,315,869",74.37,74.37,2,0,22,0,0,0,0,0
財務省,東海財務局,岐阜財務事務所,一般会計,普通財産,"30,188,159","27,486.21","30,188,159",0,0,0,0,0,0,0,0,0,0
財務省,近畿財務局,本局,一般会計,普通財産,"2,344,537,099","108,280.81","1,470,621,888",17.48,17.48,1,0,"717,210","873,198,000",0,0,0,0
財務省,近畿財務局,京都財務事務所,一般会計,普通財産,"12,957,648,942","273,425.02","6,936,773,053","20,663.78","46,898.39","4,682,369,593",0,"1,338,506,296",0,0,0,0,0
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,"2,928,083,682","3,215,561.85","2,928,083,680",0,0,0,0,2,0,0,0,0,0
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,"1,492,971,873","821,638.96","1,492,169,034",0,0,0,"217,303","585,536",0,0,0,0,0
財務省,近畿財務局,奈良財務事務所,一般会計,普通財産,"111,482,688","111,752.99","111,482,688",0,0,0,0,0,0,0,0,0,0
財務省,近畿財務局,和歌山財務事務所,一般会計,普通財産,"109,178,988","135,327.44","105,424,939",52.88,52.88,1,0,"3,754,048",0,0,0,0,0
財務省,近畿財務局,大津財務事務所,一般会計,普通財産,"113,702,349","61,858.59","113,571,712",0,0,0,0,"130,637",0,0,0,0,0
財務省,中国財務局,本局,一般会計,普通財産,"1,603,518,947","1,369,716.93","1,601,582,788","2,684.29","4,985.12",1,0,"1,936,158",0,0,0,0,0
財務省,中国財務局,本局呉出張所,一般会計,普通財産,"453,569,438","1,421,178.07","453,569,428",0,0,0,0,10,0,0,0,0,0
財務省,中国財務局,山口財務事務所,一般会計,普通財産,"416,249,085","467,191.26","416,249,083",0,0,0,0,2,0,0,0,0,0
財務省,中国財務局,山口財務事務所下関出張所,一般会計,普通財産,"306,866,807","687,215.77","306,866,807",0,0,0,0,0,0,0,0,0,0
財務省,中国財務局,岡山財務事務所,一般会計,普通財産,"348,290,935","4,905,022.21","347,969,639",0,0,0,0,"321,296",0,0,0,0,0
財務省,中国財務局,岡山財務事務所倉敷出張所,一般会計,普通財産,"165,674,804","188,247.07","164,193,873",0,0,0,0,"1,480,931",0,0,0,0,0
財務省,中国財務局,鳥取財務事務所,一般会計,普通財産,"149,901,971","973,408.03","149,901,971",0,0,0,0,0,0,0,0,0,0
財務省,中国財務局,松江財務事務所,一般会計,普通財産,"38,162,669","1,464,539.10","38,162,074",0,0,0,0,595,0,0,0,0,0
