省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,工作物価格　（円）,貸付料　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,月寒公民館敷地,北海道札幌市豊平区月寒中央通７丁目,札幌市,"103,316,597","2,287.79","103,316,597",0,0,0,0,"4,427,792",市街化区域,商業地域,80,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,東小学校敷地,北海道岩見沢市東町２条７丁目１０１１番１,岩見沢市,"13,615,944","4,330.58","13,615,944",0,0,0,0,"543,848",非線引,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,高層改良住宅敷地,北海道苫小牧市山手町２丁目１０７,苫小牧市,"2,037,513",335.65,"2,037,513",0,0,0,0,"29,541",市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,市立やまて保育園及び市営住宅敷地,北海道苫小牧市山手町２丁目１０６のうち,苫小牧市,"582,991",96.04,"582,991",0,0,0,0,"8,508",市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,公営住宅敷地,北海道赤平市茂尻春日町１丁目２番１、２丁目４番１,赤平市,"2,335,947","2,233.98","2,335,947",0,0,0,0,"95,831",非線引,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,登別小学校敷地,北海道登別市登別本町３丁目２５番７,登別市,"2,935,743",726.97,"2,935,743",0,0,0,0,"39,385",市街化区域,第二種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,幌別小学校敷地,北海道登別市中央町６丁目１９−２のうち,登別市,"70,503,115","4,516.57","70,503,115",0,0,0,0,"690,063",市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,公営住宅敷地,北海道登別市柏木町１丁目２３−２,登別市,"3,918,788",724.64,"3,918,788",0,0,0,0,"40,897",市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,登別中学校敷地,北海道登別市登別本町１丁目１−８,登別市,"453,669",713.58,"453,669",0,0,0,0,"44,561",都市計画区域外,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第３条第１項第１号,石狩小学校敷地,北海道石狩市横町５４番２外８筆,石狩市,"19,190,510","5,818.66","19,190,510",0,0,0,0,"306,260",市街化区域,第一種住居地域,60,200
