省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,最高裁判所庁舎,東京都千代田区隼町９—３,東京都千代田区隼町４−２,"87,475,649,202",庁舎等,"36,624.93","83,812,856,061",1964.3.31,交換,市街化区域,商業地域,80,500,32,事務庁舎　外,6,"18,105.63","59,673.99","3,243,951,744",0,事務庁舎,ＳＲＣ,6,"4,040.29","11,348.22","933,353,176",1974.3.28,新築,"52,129,901","342,321,488",0,0,0,0,0,0,197,"24,390,008"
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,司法研修所庁舎,埼玉県和光市南２—１５３５—１６,埼玉県和光市南２丁目３−８,"13,099,581,365",庁舎等,"64,680.65","7,616,793,344",1993.1.27,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,46,事務庁舎　外,21,"16,409.80","60,113.76","4,834,719,547",0,研修施設,ＲＣ,7,"2,244.09","15,179.88","973,735,612",1994.3.15,所管換,"113,277,672","534,790,802",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,裁判所職員総合研修所庁舎,埼玉県和光市南２—１５３５—２８,埼玉県和光市南２丁目３−５,"10,537,496,283",庁舎等,"40,925.00","4,692,460,206",2001.3.30,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,48,研修施設　外,14,"10,866.30","40,077.25","4,680,271,729",0,研修施設,ＳＲＣ,6,"2,508.36","10,833.36","1,348,392,421",2004.2.26,所管換,"18,695,096","1,146,069,252",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,司法研修所別館,埼玉県和光市南２−１５３５−２０,埼玉県和光市南２−３−５,"5,872,464,630",庁舎等,"18,952.71","748,336,816",2009.4.1,所管換,市街化調整区域,都市計画用途地域指定なし,60,200,53,研修施設,8,"6,469.40","20,240.33","3,539,284,779",0,研修施設,ＳＲＣ,4,"3,140.53","10,817.48","1,986,744,687",2013.9.13,新築,"13,901,760","1,570,941,275",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都新宿区,東京都新宿区,"2,583,207,121",宿舎,"3,837.15","2,566,232,199",1947.12.19,購入,市街化区域,第一種中高層住居専用地域,60,300,10,宿舎　外,6,"1,036.25","1,251.46","156,822",0,宿舎,Ｗ,1,798.8,980.95,1,1947.12.19,購入,"15,841,410","976,690",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都文京区,東京都文京区,"468,161,730",宿舎,988.92,"458,957,772",1950.3.24,購入,非線引,第一種低層住居専用地域,60,150,15,宿舎　外,5,236.7,236.7,"7,546,792",1,宿舎,ＲＣ,1,210.52,210.52,"7,320,267",1977.3.26,新築,"753,704","903,462",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都品川区,東京都品川区,"600,587,715",宿舎,"1,644.18","590,188,276",1950.5.11,購入,市街化区域,第一種低層住居専用地域,60,150,8,宿舎　外,2,221.87,221.87,"6,578,225",1,宿舎,ＳＲＣ,1,208.09,208.09,"6,578,224",1976.3.15,新築,"218,520","3,602,694",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都品川区,東京都品川区,"8,499,138",,0,0,,,,,,,,宿舎　外,3,228.77,228.77,"6,578,226",1,宿舎,ＲＣ,1,208.09,208.09,"6,578,224",1976.3.15,新築,"317,782","1,603,130",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都目黒区,東京都目黒区,"768,510,614",宿舎,"1,435.91","754,908,143",1951.6.15,購入,市街化区域,第一種中高層住居専用地域,60,200,8,宿舎　外,2,232.01,232.01,"11,315,759",1,宿舎,ＲＣ,1,224.54,224.54,"11,219,343",1985.10.31,新築,"1,572,709","714,003",0,0,0,0,0,0,0,0
最高裁判所,一般会計,公用財産,最高裁判所事務総局経理局,宿舎,東京都目黒区,東京都目黒区,"22,044,156",,0,0,,,,,,,,宿舎　外,2,160.58,244.97,"15,854,931",1,宿舎,ＲＣ,2,153.07,237.46,"15,740,428",1985.10.31,新築,"1,329,692","4,859,533",0,0,0,0,0,0,0,0
