省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
参議院,一般会計,公用財産,参議院事務局管理部,参議院庁舎,東京都千代田区永田町１—２—１,東京都千代田区永田町１丁目７−１,"121,264,099,393",庁舎等,"51,041.85","116,996,086,896",1947.5.3,所管換,市街化区域,商業地域,80,500,20,事務庁舎　外,18,"12,250.91","52,117.38","1,961,773,635",0,本館,ＳＲＣ,3,"6,487.52","28,353.91","18,078,709",1947.5.3,所管換,"42,813,070","2,263,425,792",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,議員会館,東京都千代田区永田町２—１２—２,東京都千代田区永田町２丁目１−１,"85,131,204,931",庁舎等,"28,337.69","60,239,130,930",1984.10.1,整理替,市街化区域,商業地域,80,500,66,事務庁舎　外,4,"9,314.39","94,130.65","17,556,379,387",0,議員棟・駐車場棟,ＳＲＣ,12,"9,300.66","94,113.65","17,542,138,691",2010.6.30,新築,"75,318,720","7,260,375,894",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,第二別館,東京都千代田区永田町１—１５—１,東京都千代田区永田町１丁目１１−１６,"23,065,773,751",庁舎等,"10,064.64","20,512,541,491",1951.3.31,購入,市街化区域,商業地域,80,500,63,事務庁舎　外,5,"3,820.64","31,942.67","1,943,898,542",0,第二別館南棟,ＳＲＣ,9,"1,711.71","16,537.73","627,049,535",1984.10.1,整理替,"11,684,872","597,648,846",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,麹町議員宿舎,東京都千代田区麹町４—７—１外,東京都千代田区麹町４−７,"14,671,688,081",庁舎等,"10,905.78","12,639,185,245",1948.1.26,購入,市街化区域,第二種住居地域,60,400,60,事務庁舎　外,3,"4,262.71","26,403.48","1,892,305,216",0,議員宿舎,ＳＲＣ,9,"4,232.34","25,651.08","1,837,513,373",1983.9.30,新築,"4,673,024","135,524,596",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,清水谷議員宿舎,東京都千代田区紀尾井町１—２０,東京都千代田区紀尾井町１−１５,"5,931,568,892",庁舎等,"3,862.33","5,710,068,672",1952.5.12,購入,市街化区域,第二種住居地域,60,300,44,事務庁舎　外,3,"1,013.76","5,116.16","152,747,843",0,議員宿舎,ＲＣ,7,"1,006.47","5,108.87","152,747,841",1969.12.25,新築,"1,084,496","67,667,881",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,議長公邸,東京都千代田区永田町２—２０—３６外,東京都千代田区永田町２丁目１８−２,"44,679,225,113",宿舎,"20,360.46","44,591,719,960",1960.7.1,所管換,市街化区域,商業地域,80,500,2,宿舎,7,"1,544.92","2,324.08","7,708,210",1,宿舎,ＲＣ,2,"1,244.98","1,855.36","5,757,706",1961.7.25,新築,"32,141,340","47,655,603",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,副議長公邸,東京都港区麻布永坂町２５—１外,東京都港区麻布永坂町２５,"5,322,683,755",宿舎,"4,752.92","5,062,677,302",1950.2.28,購入,市街化区域,近隣商業地域,80,400,7,宿舎,4,"1,077.64","1,399.64","241,218,070",1,宿舎,ＲＣ,2,643.59,852.26,"173,693,399",1993.5.30,所管換,"2,946,810","15,841,573",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,諏訪町職員宿舎,東京都新宿区高田馬場１—１３９—１,東京都新宿区高田馬場１丁目４−１,"567,877,369",宿舎,"1,566.41","564,305,169",1949.1.20,購入,市街化区域,第一種中高層住居専用地域,60,300,11,宿舎,5,299.7,550.46,"55,549",15,宿舎,Ｓ,2,86.5,149.19,1,1962.12.25,新築,"1,010,715","2,505,936",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,瀬田第二職員宿舎,東京都世田谷区瀬田４—３３８—５,東京都世田谷区瀬田４丁目５−１９,"457,626,502",宿舎,972.62,"418,226,600",1988.9.26,用途変更,市街化区域,第一種中高層住居専用地域,60,200,55,宿舎,2,281,"1,078.87","39,271,545",14,宿舎,ＲＣ,4,274.45,"1,072.32","39,051,643",1989.9.4,新築,0,"128,357",0,0,0,0,0,0,0,0
参議院,一般会計,公用財産,参議院事務局管理部,第一永田寮,東京都千代田区永田町１—１５—１,東京都千代田区永田町１丁目１１−１６,"769,732,057",宿舎,375.18,"764,646,854",1984.10.23,用途変更,市街化区域,商業地域,80,500,18,宿舎,2,177.88,351.1,"4,152,527",15,宿舎,ＲＣ,2,173.19,346.41,"4,152,526",1984.10.23,用途変更,0,"932,676",0,0,0,0,0,0,0,0
