省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道浦河郡浦河町堺町西１丁目８３番５,"10,006,240",640.93,"10,006,240",0,0,0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市東区苗穂町８丁目９番８,"52,496,847","2,572.67","52,482,468",0,0,0,0,"14,379",0,0,0,市街化区域,工業地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市東区北２８条東２丁目７８０番１外,"572,135,954","6,387.67","206,960,508","1,764.69","5,965.19","361,803,255","739,123","2,633,068",0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２条西１４丁目２番、南３条西１４丁目２番,"361,765,117","2,948.26","358,523,156",336.22,336.22,"3,079,842","144,827","17,292",0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２条西１４丁目１番１外,"485,663,826","3,834.51","466,295,590",546.01,947.13,"17,406,534","1,345,201","616,501",0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２条西１４丁目１番３,"85,491,411",675.22,"82,110,128",124.51,124.51,"2,197,403","1,076,050","107,830",0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２条西１４丁目１番２,"74,860,370",599.19,"72,864,499",123.97,123.97,"842,596","1,093,344","59,931",0,0,0,市街化区域,近隣商業地域,80,300
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２０条西１２丁目８７０番１、８７１番２,"187,193,311","2,362.27","180,647,511",355.69,796.17,"6,295,646","250,126",28,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南２０条西１２丁目８７０番１、８７１番２,"2,048,320",0,0,6.78,138.58,"2,048,313",0,7,0,0,0,,,,
財務省,北海道財務局,本局,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,北海道札幌市中央区南１４条西１８丁目３４番４,"109,641,643","1,236.70","93,182,871",300.92,"1,290.50","15,132,553",0,"1,326,219",0,0,0,市街化区域,準住居地域,60,300
