省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
衆議院,一般会計,公用財産,衆議院事務局庶務部,衆議院,東京都千代田区永田町１—１４,東京都千代田区永田町１丁目７−１,"121,800,676,650",庁舎等,"50,554.91","115,879,942,505",1956.12.5,所管換,市街化区域,商業地域,80,500,18,事務庁舎　外,18,"11,856.39","47,887.00","1,663,222,607",0,議事堂,ＳＲＣ,3,"6,869.42","25,110.84","54,194,213",1947.5.3,所管換,"36,439,398","4,221,072,140",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第二議員会館,東京都千代田区永田町２—１２—３,東京都千代田区永田町２丁目１−２,"59,127,420,135",庁舎等,"18,897.20","38,785,255,784",1947.12.27,購入,市街化区域,商業地域,80,500,96,事務庁舎,2,"5,970.15","91,458.11","15,829,818,671",0,議員事務室,ＳＲＣ,12,"5,967.31","91,455.54","15,827,857,263",2010.6.30,新築,"24,783,202","4,487,562,478",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,自動車置場,東京都千代田区永田町１—４６—１,東京都千代田区永田町１−３,"20,888,780,972",庁舎等,"7,079.16","20,854,454,969",1949.7.28,所管換,市街化区域,商業地域,80,500,1,事務庁舎　外,2,632.87,632.87,"26,319,372",0,防災倉庫,Ｓ,1,497.15,497.15,"24,563,637",2003.3.7,新築,"946,240","7,060,391",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,議員会館附属,東京都千代田区永田町１—１９—２,東京都千代田区永田町１,"3,201,681,371",庁舎等,"1,426.41","3,200,450,381",1950.3.31,所管換,市街化区域,商業地域,80,500,0,,0,0,0,0,0,,,,0,0,0,,,"98,729","1,132,261",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第一議員会館,東京都千代田区永田町２—１—７９,東京都千代田区永田町２丁目２−１,"85,125,426,842",庁舎等,"26,407.83","57,633,583,728",1949.7.28,所管換,市街化区域,商業地域,80,500,84,事務庁舎,4,"11,657.97","111,814.84","20,131,146,838",0,議員事務室,ＳＲＣ,12,"11,647.55","111,804.69","20,123,632,266",2010.6.30,新築,"35,962,537","7,324,733,739",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,第二別館,東京都千代田区永田町１—５０—６,東京都千代田区永田町１丁目６−３,"29,947,072,659",庁舎等,"12,049.57","27,407,277,146",1948.6.26,購入,市街化区域,商業地域,80,500,71,事務庁舎　外,3,"5,232.48","43,354.38","1,670,123,014",0,事務局庁舎,ＳＲＣ,9,"4,081.27","36,459.22","1,535,714,528",1979.7.10,新築,"5,076,061","864,596,438",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,赤坂議員宿舎,東京都港区赤坂２—１７０８,東京都港区赤坂２丁目１７−１０,"14,807,541,033",庁舎等,"9,583.26","8,011,605,360",1947.12.27,購入,市街化区域,商業地域,80,400,151,事務庁舎　外,1,"3,589.97","57,943.07","5,784,814,174",0,議員宿舎,ＲＣ,28,"3,589.97","57,943.07","5,784,814,174",2007.3.31,新築,"16,554,891","994,566,608",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,九段議員宿舎,東京都千代田区富士見２—５—１,東京都千代田区富士見２丁目１４−３,"9,307,786,966",庁舎等,"8,737.71","9,299,562,228",1949.7.30,購入,市街化区域,第一種住居地域,60,400,0,,0,0,0,0,0,,,,0,0,0,,,"5,862,961","2,361,777",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,副議長公邸,東京都港区赤坂８—３２３,東京都港区赤坂８丁目１１−４０,"10,903,707,142",宿舎,"5,316.72","10,795,918,963",1949.10.7,購入,市街化区域,商業地域,80,500,3,宿舎,6,716.92,930.3,"52,067,726",1,宿舎,ＳＲＣ,2,562.23,742.56,"49,085,117",1982.3.25,新築,"3,190,774","52,529,679",0,0,0,0,0,0,0,0
衆議院,一般会計,公用財産,衆議院事務局庶務部,事務局分室,東京都千代田区一番町２２—１２,東京都千代田区一番町２２−１２,"2,849,373,524",庁舎等,"2,059.17","2,848,449,861",1950.3.31,購入,市街化区域,第二種住居地域,60,400,5,事務庁舎　外,4,341.87,474.1,4,0,会議施設,ＲＣ,2,267.76,399.99,1,1951.9.5,新築,"788,973","134,686",0,0,0,0,0,0,0,0
