省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市東区北４２条東１８丁目５６５番５０８　外１筆,"94,632,902","1,999.85","94,632,902",市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区中の島２条５丁目１０番　外１筆,"16,329,934",354.29,"16,329,934",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区中の島２条５丁目７番　外２筆,"349,786,020","9,402.85","349,786,020",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区平岸２条１２丁目２３番のうち,"130,255,631","2,783.24","130,255,631",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区羊ヶ丘７番２,"16,505,113","15,646.83","16,505,113",市街化調整区域,都市計画用途地域指定なし,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市豊平区美園９条８丁目２番１,"313,961,216","4,269.49","313,961,216",市街化区域,準住居地域,60,300,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区中ノ沢４丁目３番４１、同番４２,"11,103,285",467.31,"11,103,285",市街化区域,第一種低層住居専用地域,40,80,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区中ノ沢４丁目３番４６、同番４７,"12,572,366",529.14,"12,572,366",市街化区域,第一種低層住居専用地域,40,80,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区定山渓温泉西４丁目３５７番５　外１筆,"12,540,320","1,485.00","12,540,320",市街化区域,商業地域,80,400,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区澄川２条３丁目１３３番２１　外４筆,"180,909,927","2,700.39","180,909,927",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道札幌市南区澄川２条３丁目１４０番４０,"11,266,990",158.69,"11,266,990",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
