省庁名,会計名,分類種類名,部局名,口座名,登記上の表示,住居表示,口座別合計価格　（円）,土地用途,土地合計数量　（u）,土地合計価格　（円）,土地取得年月日,土地取得事由,都市計画区域,用途地域,建ぺい率,容積率,法定容積率に対する利用率,建物用途,棟数,建物合計数量（建）　（u）,建物合計数量（延）　（u）,建物合計価格　（円）,宿舎戸数,主要建物用途,構造,階数,主要建物数量（建）　（u）,主要建物数量（延）　（u）,主要建物価格　（円）　,主要建物取得年月日,主要建物取得事由,立木竹価格　（円）,工作物価格　（円）,船舶数量,船舶価格　（円）,航空機数量,航空機価格　（円）,地上権等数量,地上権等価格　（円）,特許権等数量,特許権等価格　（円）
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省本庁舎,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,"200,394,975,780",庁舎等,"34,781.39","199,208,324,341",1947.4.30,所属替,市街化区域,商業地域,80,500,33,事務庁舎　外,8,"13,162.85","57,982.37","209,657,380",0,庁舎,ＳＲＣ,5,"11,967.62","56,304.77","207,454,883",1947.4.30,所属替,"3,571,398","973,422,661",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,大臣官房会計課,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,0,,0,0,,,,,,,,,0,0,0,0,0,,,,0,0,0,,,0,0,0,0,0,0,0,0,57,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西早稲田車庫,東京都新宿区西早稲田２−４６−１,東京都新宿区西早稲田２丁目１９−１４,"91,510,660",庁舎等,190.26,"85,845,311",2000.12.1,所管換,市街化区域,第一種中高層住居専用地域,60,100,52,その他,1,99,99,"4,857,495",0,車庫,Ｓ,1,99,99,"4,857,495",2001.3.30,新築,0,"807,854",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,太子堂車庫,東京都世田谷区太子堂１−１−８６の内,東京都世田谷区太子堂１丁目１３−１５,"14,273,064",庁舎等,30.52,"13,080,261",1984.4.25,所属替,市街化区域,第一種住居地域,60,300,21,その他,1,19.88,19.44,"1,099,460",0,車庫,ＲＣ,1,19.88,19.44,"1,099,460",2006.3.27,新築,0,"93,343",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務本省研修所,東京都新宿区市谷本村町４２−２２,東京都新宿区市谷本村町８丁目１,"5,901,971,892",庁舎等,"10,813.48","5,623,009,600",2002.11.1,所管換,市街化区域,第二種住居地域,60,300,46,研修施設,10,"4,088.70","15,062.40","272,967,061",0,寄宿舎,ＲＣ,5,"1,958.53","8,182.10","129,518,827",1967.3.14,新築,"3,298,509","2,696,722",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省税関研修所,千葉県柏市柏の葉６−４−２外,千葉県柏市柏の葉６丁目４−２,"4,976,301,286",庁舎等,"41,002.15","4,023,786,992",1991.1.28,所管換,市街化区域,第二種住居地域,60,200,22,研修施設,12,"7,260.78","18,477.60","857,673,774",0,寄宿舎,ＲＣ,6,"1,049.94","5,949.03","259,771,534",1989.3.3,新築,"26,626,453","68,214,067",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,財務省税関研修所別館,千葉県柏市柏の葉６−３−６,千葉県柏市柏の葉６丁目３−６,"459,098,910",庁舎等,"3,410.05","229,155,360",1996.11.8,所管換,市街化区域,第二種住居地域,60,200,45,その他,1,904.73,"3,107.66","179,020,949",0,寄宿舎棟,ＲＣ,5,904.73,"3,107.66","179,020,949",1996.5.27,所管換,"3,467,812","47,454,789",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,関税中央分析所,千葉県柏市柏の葉６−３−５,千葉県柏市柏の葉６丁目３−５,"1,899,603,233",庁舎等,"12,735.59","1,222,616,640",2002.3.29,所管換,市街化区域,第二種住居地域,60,200,19,試験研究施設,2,"1,744.95","4,841.02","516,619,952",0,試験研究施設,ＲＣ,3,"1,725.68","4,821.75","510,452,327",2001.7.2,所管換,"4,810,007","155,556,634",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,中央合同庁舎第４号館,東京都千代田区霞が関３−２−１外,東京都千代田区霞が関３丁目１−１,"3,356,492,670",,0,0,,,,,,,,事務庁舎　外,5,"7,918.64","61,853.45","2,406,804,429",0,庁舎,ＳＲＣ,12,"3,544.48","53,496.16","2,405,683,889",1971.10.1,新築,"619,385","949,068,856",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,九段第３合同庁舎,東京都千代田区九段南１−１３−１,東京都千代田区九段南１丁目２−１,"8,349,540,042",庁舎,"4,258.50","5,127,453,238",2007.2.28,所管換,市街化区域,商業地域,80,700,0,事務庁舎　外,2,0,0,"2,398,315,379",0,庁舎,ＲＣ,23,0,0,"2,397,845,093",2007.2.28,新築,"4,723,633","819,047,792",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西ヶ原研修合同庁舎,東京都北区西ヶ原２−３−９外,東京都北区西ヶ原２−２−１,"1,836,882,522",庁舎等,"18,971.18","1,833,844,779",2012.3.30,所管換（無償）,市街化区域,第一種住居地域,60,200,0,研修施設,2,46.27,46.27,2,0,寄宿舎,ＲＣ,1,29.75,29.75,1,2012.3.30,所管換（無償）,"90,909","2,946,832",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,谷津書庫,千葉県習志野市谷津４−１８６−２,千葉県習志野市谷津４丁目５−３５,"196,454,322",庁舎等,"1,132.72","136,470,105",1992.6.5,交換,市街化区域,第一種住居地域,60,200,68,その他,1,633.59,"1,559.53","54,228,362",0,書庫,Ｓ,3,633.59,"1,559.53","54,228,362",1994.3.31,新築,"768,612","4,987,243",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,西巣鴨公務員宿舎,東京都豊島区西巣鴨１−２７２１−１９,東京都豊島区西巣鴨１丁目１０−１,"148,223,916",宿舎,344.09,"123,872,400",1953.5.9,購入,市街化区域,第一種中高層住居専用地域,60,300,71,宿舎,1,237.76,734.98,"23,865,266",31,宿舎,ＲＣ,3,237.76,734.98,"23,865,266",1987.3.31,新築,0,"486,250",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,十条公務員宿舎,東京都北区十条台２−１８９６,東京都北区十条台２丁目４,"3,378,018,972",宿舎,"12,494.36","3,353,923,526",1958.12.11,所管換,市街化区域,第一種住居地域,60,300,20,宿舎,13,"1,989.37","7,756.20","21,622,670",154,宿舎,ＲＣ,4,277.22,"1,108.89",1,1960.11.10,新築,"1,980,047","492,729",0,0,0,0,0,0,0,0
財務省,一般会計,公用財産,財務省大臣官房会計課,弦巻公務員宿舎,東京都世田谷区弦巻５−６６０−４・弦巻５−６０７−９,東京都世田谷区弦巻５丁目３３−８,"789,808,369",宿舎,"1,884.81","728,290,584",1972.8.10,交換,市街化区域,第一種中高層住居専用地域,60,200,38,宿舎,1,550.91,"1,467.71","57,517,231",37,宿舎,ＳＲＣ,3,550.91,"1,467.71","57,517,231",1973.3.30,新築,"92,469","3,908,085",0,0,0,0,0,0,0,0
